ticker,company_name,exchange,industry_raw,business_description,source,source_url,last_updated,fetch_time,confidence_raw,notes
DPP,CTCP Dược Đồng Nai,UPCOM,,,vnstock:kbs/vci,https://vnstocks.com/,2026-06-04,2026-06-04T02:26:27+00:00,low,company profile initialized from real universe source; KBS overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; VCI overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
SDA,CTCP Simco Sông Đà,UPCOM,,,vnstock:kbs/vci,https://vnstocks.com/,2026-06-04,2026-06-04T02:26:27+00:00,low,company profile initialized from real universe source; KBS overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; VCI overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
CLH,CTCP Xi măng La Hiên VVMI,HNX,,,vnstock:kbs/vci,https://vnstocks.com/,2026-06-04,2026-06-04T02:26:27+00:00,low,company profile initialized from real universe source; KBS overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; VCI overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
DND,CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai,UPCOM,,,vnstock:kbs/vci,https://vnstocks.com/,2026-06-04,2026-06-04T02:26:27+00:00,low,company profile initialized from real universe source; KBS overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; VCI overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
DBT,CTCP Dược phẩm Bến Tre,HOSE,,,vnstock:kbs/vci,https://vnstocks.com/,2026-06-04,2026-06-04T02:26:27+00:00,low,company profile initialized from real universe source; KBS overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; VCI overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
CCR,CTCP Cảng Cam Ranh,HNX,,,vnstock:kbs/vci,https://vnstocks.com/,2026-06-04,2026-06-04T02:26:27+00:00,low,company profile initialized from real universe source; KBS overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; VCI overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
NOS,CTCP Vận tải biển và Thương mại Phương Đông,UPCOM,,,vnstock:kbs/vci,https://vnstocks.com/,2026-06-04,2026-06-04T02:26:27+00:00,low,company profile initialized from real universe source; KBS overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; VCI overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
DPH,CTCP Dược phẩm Hải Phòng,UPCOM,,,vnstock:kbs/vci,https://vnstocks.com/,2026-06-04,2026-06-04T02:26:27+00:00,low,company profile initialized from real universe source; KBS overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; VCI overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
DSN,CTCP Công viên nước Đầm Sen,HOSE,,,vnstock:kbs/vci,https://vnstocks.com/,2026-06-04,2026-06-04T02:26:27+00:00,low,company profile initialized from real universe source; KBS overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; VCI overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
WSS,CTCP Chứng khoán Phố Wall,HNX,,,vnstock:kbs/vci,https://vnstocks.com/,2026-06-04,2026-06-04T02:26:27+00:00,low,company profile initialized from real universe source; KBS overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; VCI overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
STC,CTCP Sách và Thiết bị Trường học Thành phố Hồ Chí Minh,HNX,,,vnstock:kbs/vci,https://vnstocks.com/,2026-06-04,2026-06-04T02:26:27+00:00,low,company profile initialized from real universe source; KBS overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; VCI overview unavailable: REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
