ticker,period,period_type,revenue,gross_profit,operating_profit,net_profit,total_assets,total_liabilities,equity,cash,short_term_debt,long_term_debt,operating_cash_flow,inventory,source,source_url,fetch_time,confidence_raw,notes
VCB,2026-Q1,quarter,,,,,2550963342000000.0,2316932013000000.0,234031329000000.0,,,,,,vnstock:vci:finance,https://vnstocks.com/,2026-06-04T04:17:02+00:00,low,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
BID,2026-Q1,quarter,,,,,3388221517000000.0,3197598357000000.0,190623160000000.0,,,,,,vnstock:vci:finance,https://vnstocks.com/,2026-06-04T04:17:02+00:00,low,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
CTG,2026-Q1,quarter,,,,,2924176928000000.0,2735484770000000.0,188692158000000.0,,,,,,vnstock:vci:finance,https://vnstocks.com/,2026-06-04T04:17:02+00:00,low,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
MBB,2026-Q1,quarter,,,,,1611222764000000.0,1461477439000000.0,149745325000000.0,,,,,,vnstock:vci:finance,https://vnstocks.com/,2026-06-04T04:17:02+00:00,low,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
ACB,2026-Q1,quarter,,,,,1030900741000000.0,932149689000000.0,98751052000000.0,,,,,,vnstock:vci:finance,https://vnstocks.com/,2026-06-04T04:17:02+00:00,low,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
HPG,2026-Q1,quarter,53312910120686.0,8365068607995.0,10704033503572.0,,259327500205228.0,119545707998756.0,139781792206472.0,11455231038505.0,62799568273773.0,27817253418546.0,6816755450021.0,43515585272210.0,vnstock:vci:finance,https://vnstocks.com/,2026-06-04T04:17:02+00:00,low,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
HSG,2026-Q1,quarter,9230036690606.0,1051966182311.0,147084516665.0,,23224808093677.0,11745132156780.0,11479675936897.0,963144064326.0,8267543677285.0,0.0,-1187705487699.0,10179336416329.0,vnstock:vci:finance,https://vnstocks.com/,2026-06-04T04:17:02+00:00,low,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
VHM,2026-Q1,quarter,65114237000000.0,31369586000000.0,30774661000000.0,,869974503000000.0,597132268000000.0,272842235000000.0,35837536000000.0,55456879000000.0,106609958000000.0,37220145000000.0,138885119000000.0,vnstock:vci:finance,https://vnstocks.com/,2026-06-04T04:17:02+00:00,low,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
KDH,2026-Q1,quarter,281361228000.0,182836823000.0,76513759000.0,,39861897315000.0,18337716752000.0,21524180563000.0,3613808683000.0,1952419672000.0,13395790342000.0,-633698923000.0,29125945475000.0,vnstock:vci:finance,https://vnstocks.com/,2026-06-04T04:17:02+00:00,low,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
NLG,2026-Q1,quarter,1279401152222.0,380926280188.0,176253373546.0,,25894096680611.0,10983801528251.0,14910295152360.0,5027834155469.0,1211420751173.0,4275819166659.0,-519058317030.0,8381456484953.0,vnstock:vci:finance,https://vnstocks.com/,2026-06-04T04:17:02+00:00,low,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
SSI,2026-Q1,quarter,3178135157313.0,2280252117059.0,1595722713102.0,,93113743341650.0,53445549677868.0,39668193663782.0,918819193257.0,51965687273649.0,0.0,-1058707466231.0,,vnstock:vci:finance,https://vnstocks.com/,2026-06-04T04:17:02+00:00,low,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
VND,2026-Q1,quarter,1807010963787.0,1125823598498.0,681320746010.0,,47964656475082.0,26516412468543.0,21448244006539.0,1426063961516.0,22189009359822.0,0.0,4085585548712.0,,vnstock:vci:finance,https://vnstocks.com/,2026-06-04T04:17:02+00:00,low,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
GAS,2026-Q1,quarter,38034487298288.0,4508191324775.0,3754223754396.0,,92923423491919.0,22333645606660.0,70589777885259.0,7321907295672.0,1740922921014.0,1542529805063.0,-468939629618.0,3047822684577.0,vnstock:vci:finance,https://vnstocks.com/,2026-06-04T04:17:02+00:00,low,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
PVS,2026-Q1,quarter,8699805219801.0,854913598204.0,531492235371.0,,40730099546969.0,24053840401927.0,16676259145042.0,11434381985968.0,554144507864.0,768259100925.0,-27859910836.0,3090586411063.0,vnstock:vci:finance,https://vnstocks.com/,2026-06-04T04:17:02+00:00,low,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
FPT,2026-Q1,quarter,12485836704352.0,4244889890688.0,2747763827050.0,,68586094785217.0,28464058214856.0,40122036570361.0,7993577611642.0,14491358043012.0,1605069048520.0,-2847813717192.0,1094571460159.0,vnstock:vci:finance,https://vnstocks.com/,2026-06-04T04:17:02+00:00,low,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
MWG,2026-Q1,quarter,46709163270992.0,9710101439316.0,3347123417867.0,,83994558472327.0,48061216417223.0,35933342055104.0,4553652582201.0,28100653169211.0,0.0,1193254573697.0,27600707843304.0,vnstock:vci:finance,https://vnstocks.com/,2026-06-04T04:17:02+00:00,low,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
