ticker,exchange,company_name,listing_status,data_source,last_updated,source,source_url,fetch_time,confidence_raw,notes
VCB,HOSE,Ngân hàng TMCP Ngoại thương Việt Nam,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
BID,HOSE,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
CTG,HOSE,Ngân hàng TMCP Công Thương Việt Nam,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
MBB,HOSE,Ngân hàng TMCP Quân đội,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
ACB,HOSE,Ngân hàng TMCP Á Châu,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
HPG,HOSE,CTCP Tập đoàn Hòa Phát,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
HSG,HOSE,CTCP Tập đoàn Hoa Sen,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
VHM,HOSE,CTCP Vinhomes,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
KDH,HOSE,CTCP Đầu tư và Kinh doanh Nhà Khang Điền,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
NLG,HOSE,CTCP Đầu tư Nam Long,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
SSI,HOSE,CTCP Chứng khoán SSI,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
VND,HOSE,CTCP Chứng khoán VNDIRECT,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
GAS,HOSE,Tổng Công ty Khí Việt Nam - CTCP,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
PVS,HNX,Tổng Công ty cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
FPT,HOSE,CTCP FPT,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
MWG,HOSE,CTCP Đầu tư Thế giới Di động,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
VGC,HOSE,Tổng Công ty Viglacera - CTCP,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
GMD,HOSE,CTCP Tập đoàn Gemadept,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
VHC,HOSE,CTCP Vĩnh Hoàn,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
TCM,HOSE,CTCP Dệt may - Đầu tư - Thương mại Thành Công,LISTED,vnstock:kbs:symbols_by_exchange,2026-06-04,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,real universe row from vnstock Listing.symbols_by_exchange
