ticker,source_provider_id,source_family,observation_status,last_price_date,last_close,avg_volume_20d,avg_volume_60d,trading_days_60d,price_basis,is_current_enough,is_independent_current_candidate,is_historical_fallback_only,error_type,error_message,price_date_gap_days,price_pct_diff,volume_60d_pct_diff,price_match_status,volume_match_status,manual_review_flag
VIX,vnstock_primary_reference,vnstock_vci,PRIMARY_OK,2026-06-11,16.85,37589135.0,38012534.3167,60,unadjusted,True,False,False,,,,,,,,False
VND,vnstock_primary_reference,vnstock_vci,PRIMARY_OK,2026-06-11,17.2,19177213.55,13594958.6667,60,unadjusted,True,False,False,,,,,,,,False
VSC,vnstock_primary_reference,vnstock_vci,PRIMARY_OK,2026-06-11,18.45,3310805.0,4819121.6667,60,unadjusted,True,False,False,,,,,,,,False
VGI,vnstock_primary_reference,vnstock_vci,PRIMARY_OK,2026-06-11,89.4,811425.0,749600.0,60,unadjusted,True,False,False,,,,,,,,False
VCG,vnstock_primary_reference,vnstock_vci,PRIMARY_OK,2026-06-11,19.6,3771185.0,8778986.6667,60,unadjusted,True,False,False,,,,,,,,False
VNM,vnstock_primary_reference,vnstock_vci,PRIMARY_OK,2026-06-11,59.2,2920120.0,3562053.3333,60,unadjusted,True,False,False,,,,,,,,False
TVN,vnstock_primary_reference,vnstock_vci,PRIMARY_OK,2026-06-11,11.6,1312470.0,792523.3333,60,unadjusted,True,False,False,,,,,,,,False
VJC,vnstock_primary_reference,vnstock_vci,PRIMARY_OK,2026-06-11,177.5,1103555.0,1256716.6667,60,unadjusted,True,False,False,,,,,,,,False
VTZ,vnstock_primary_reference,vnstock_vci,PRIMARY_OK,2026-06-11,20.5,1022065.0,1063093.3333,60,unadjusted,True,False,False,,,,,,,,False
YEG,vnstock_primary_reference,vnstock_vci,PRIMARY_OK,2026-06-11,8.53,652105.35,924037.0,60,unadjusted,True,False,False,,,,,,,,False
VCI,vnstock_primary_reference,vnstock_vci,PRIMARY_OK,2026-06-11,23.4,6277985.0,8458236.95,60,unadjusted,True,False,False,,,,,,,,False
VFS,vnstock_primary_reference,vnstock_vci,PRIMARY_OK,2026-06-11,10.3,1456764.5,1405374.4,60,unadjusted,True,False,False,,,,,,,,False
