ticker,source_category,source_name,source_url,raw_list_type,event_type,severity,evidence_status,notes
ABS,hose,hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,CONTROL_LIST,CONTROL_LIST,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
DQC,hose,hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,CONTROL_LIST,CONTROL_LIST,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
DRH,hose,hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,CONTROL_LIST,CONTROL_LIST,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
HAS,hose,hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,CONTROL_LIST,CONTROL_LIST,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
HVN,hose,hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,CONTROL_LIST,CONTROL_LIST,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
SBV,hose,hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,CONTROL_LIST,CONTROL_LIST,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
TDH,hose,hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,CONTROL_LIST,CONTROL_LIST,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
VNE,hose,hose:control_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=34,CONTROL_LIST,CONTROL_LIST,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
APG,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,DISCLOSURE_VIOLATION_LIST,AUDIT_QUALIFIED_OPINION,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
YBM,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,DISCLOSURE_VIOLATION_LIST,AUDIT_QUALIFIED_OPINION,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
DSC,hose,hose:ssc_sanction_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=2,SSC_SANCTION_LIST,SSC_SANCTION,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
TCX,hose,hose:ssc_sanction_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=2,SSC_SANCTION_LIST,SSC_SANCTION,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
BCG,hose,hose:trading_restriction_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=38,TRADING_RESTRICTION_LIST,TRADING_RESTRICTION,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
DGC,hose,hose:trading_restriction_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=38,TRADING_RESTRICTION_LIST,TRADING_RESTRICTION,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
TCD,hose,hose:trading_restriction_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=38,TRADING_RESTRICTION_LIST,TRADING_RESTRICTION,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
VMD,hose,hose:trading_restriction_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=38,TRADING_RESTRICTION_LIST,TRADING_RESTRICTION,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
PTL,hose,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,WARNING_LIST,AUDIT_QUALIFIED_OPINION,high,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
AAT,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,DISCLOSURE_VIOLATION_LIST,DISCLOSURE_VIOLATION,medium,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
ABR,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,DISCLOSURE_VIOLATION_LIST,DISCLOSURE_VIOLATION,medium,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
ASM,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/violating?pageIndex=1&pageSize=500&year=2026&regType=1,DISCLOSURE_VIOLATION_LIST,DISCLOSURE_VIOLATION,medium,POSITIVE_CONTROL_CONFIRMED,selected from parsed official/public warning/status list; not manually chosen
