ticker,input_rank,rank_source,stage,stage_assignment_status,assignment_reason,official_files_per_ticker_min,official_files_per_ticker_max,target_max_tickers_for_stage,template_only,manual_review_required,no_financial_claim
VIX,1,rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VND,2,rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VCI,3,rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VFS,4,rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VDS,5,rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VSC,6,rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VIG,7,rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
TVS,8,rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VRE,9,rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VGI,10,rank,stage_4_deep_dive_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",5,8,10,False,False,True
VHM,11,rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
VCG,12,rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
VNM,13,rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
VIC,14,rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
VPI,15,rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
TVB,16,rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
WSS,17,rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
TVN,18,rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
VC3,19,rank,stage_3_final_watchlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",2,3,50,False,False,True
