ticker,stage,required_slots,slots_filled,slots_missing,latest_bctc_available,latest_audited_annual_fs_available,latest_bctn_available,same_period_previous_year_available,three_year_history_available,evidence_pack_status,manual_review_required,next_action
VIX,stage_4_deep_dive_shortlist,7,0,7,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VND,stage_4_deep_dive_shortlist,7,0,7,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VSC,stage_4_deep_dive_shortlist,7,0,7,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VGI,stage_4_deep_dive_shortlist,7,0,7,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VCG,stage_4_deep_dive_shortlist,7,0,7,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VNM,stage_4_deep_dive_shortlist,7,0,7,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
TVN,stage_4_deep_dive_shortlist,7,0,7,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VJC,stage_4_deep_dive_shortlist,7,0,7,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VTZ,stage_4_deep_dive_shortlist,7,0,7,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
YEG,stage_4_deep_dive_shortlist,7,0,7,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VCI,stage_3_final_watchlist,3,0,3,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VFS,stage_3_final_watchlist,3,0,3,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VDS,stage_3_final_watchlist,3,0,3,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VIG,stage_3_final_watchlist,3,0,3,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
TVS,stage_3_final_watchlist,3,0,3,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VRE,stage_3_final_watchlist,3,0,3,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VNE,stage_3_final_watchlist,3,0,3,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VOS,stage_3_final_watchlist,3,0,3,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VTP,stage_3_final_watchlist,3,0,3,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
TLH,stage_3_final_watchlist,3,0,3,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
TTF,stage_3_final_watchlist,3,0,3,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VGC,stage_3_final_watchlist,3,2,1,True,False,True,False,False,MINIMUM_EVIDENCE_PACK_READY,False,Evidence-file-ready only; parsed finance readiness still requires value extraction.
TNG,stage_3_final_watchlist,3,0,3,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VHC,stage_3_final_watchlist,3,0,3,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VGT,stage_3_final_watchlist,3,0,3,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
VEA,stage_3_final_watchlist,3,0,3,False,False,False,False,False,EVIDENCE_QUEUE_CREATED,True,Collect only staged manual seeds/links; do not bulk download PDFs.
