ticker,stage,document_priority,discovery_mode,preferred_source_tiers,force_download,plan_status,reason
VIX,stage_4_deep_dive_shortlist,P0_latest_consolidated_financial_statement,manual_seed_or_metadata_discovery_only,1:user_manual_seed_vietstock_category_page; 2:company_ir_direct_bctc_bctn_link; 3:vietstock_static_discovery; 4:exchange_direct_accessible_filing; 5:paid_manual_export_user_access,False,PLANNED_NO_DOWNLOAD,Create evidence availability map before any parse/download expansion.
VIX,stage_4_deep_dive_shortlist,P1_latest_audited_annual_financial_statement,manual_seed_or_metadata_discovery_only,1:user_manual_seed_vietstock_category_page; 2:company_ir_direct_bctc_bctn_link; 3:vietstock_static_discovery; 4:exchange_direct_accessible_filing; 5:paid_manual_export_user_access,False,PLANNED_NO_DOWNLOAD,Create evidence availability map before any parse/download expansion.
VIX,stage_4_deep_dive_shortlist,P2_latest_annual_report,manual_seed_or_metadata_discovery_only,1:user_manual_seed_vietstock_category_page; 2:company_ir_direct_bctc_bctn_link; 3:vietstock_static_discovery; 4:exchange_direct_accessible_filing; 5:paid_manual_export_user_access,False,PLANNED_NO_DOWNLOAD,Create evidence availability map before any parse/download expansion.
VIX,stage_4_deep_dive_shortlist,P3_same_period_previous_year_financial_statement,manual_seed_or_metadata_discovery_only,1:user_manual_seed_vietstock_category_page; 2:company_ir_direct_bctc_bctn_link; 3:vietstock_static_discovery; 4:exchange_direct_accessible_filing; 5:paid_manual_export_user_access,False,PLANNED_NO_DOWNLOAD,Create evidence availability map before any parse/download expansion.
VIX,stage_4_deep_dive_shortlist,P4_three_year_audited_annual_statements,manual_seed_or_metadata_discovery_only,1:user_manual_seed_vietstock_category_page; 2:company_ir_direct_bctc_bctn_link; 3:vietstock_static_discovery; 4:exchange_direct_accessible_filing; 5:paid_manual_export_user_access,False,PLANNED_NO_DOWNLOAD,Create evidence availability map before any parse/download expansion.
VND,stage_4_deep_dive_shortlist,P0_latest_consolidated_financial_statement,manual_seed_or_metadata_discovery_only,1:user_manual_seed_vietstock_category_page; 2:company_ir_direct_bctc_bctn_link; 3:vietstock_static_discovery; 4:exchange_direct_accessible_filing; 5:paid_manual_export_user_access,False,PLANNED_NO_DOWNLOAD,Create evidence availability map before any parse/download expansion.
VND,stage_4_deep_dive_shortlist,P1_latest_audited_annual_financial_statement,manual_seed_or_metadata_discovery_only,1:user_manual_seed_vietstock_category_page; 2:company_ir_direct_bctc_bctn_link; 3:vietstock_static_discovery; 4:exchange_direct_accessible_filing; 5:paid_manual_export_user_access,False,PLANNED_NO_DOWNLOAD,Create evidence availability map before any parse/download expansion.
VND,stage_4_deep_dive_shortlist,P2_latest_annual_report,manual_seed_or_metadata_discovery_only,1:user_manual_seed_vietstock_category_page; 2:company_ir_direct_bctc_bctn_link; 3:vietstock_static_discovery; 4:exchange_direct_accessible_filing; 5:paid_manual_export_user_access,False,PLANNED_NO_DOWNLOAD,Create evidence availability map before any parse/download expansion.
VND,stage_4_deep_dive_shortlist,P3_same_period_previous_year_financial_statement,manual_seed_or_metadata_discovery_only,1:user_manual_seed_vietstock_category_page; 2:company_ir_direct_bctc_bctn_link; 3:vietstock_static_discovery; 4:exchange_direct_accessible_filing; 5:paid_manual_export_user_access,False,PLANNED_NO_DOWNLOAD,Create evidence availability map before any parse/download expansion.
VND,stage_4_deep_dive_shortlist,P4_three_year_audited_annual_statements,manual_seed_or_metadata_discovery_only,1:user_manual_seed_vietstock_category_page; 2:company_ir_direct_bctc_bctn_link; 3:vietstock_static_discovery; 4:exchange_direct_accessible_filing; 5:paid_manual_export_user_access,False,PLANNED_NO_DOWNLOAD,Create evidence availability map before any parse/download expansion.
VSC,stage_4_deep_dive_shortlist,P0_latest_consolidated_financial_statement,manual_seed_or_metadata_discovery_only,1:user_manual_seed_vietstock_category_page; 2:company_ir_direct_bctc_bctn_link; 3:vietstock_static_discovery; 4:exchange_direct_accessible_filing; 5:paid_manual_export_user_access,False,PLANNED_NO_DOWNLOAD,Create evidence availability map before any parse/download expansion.
