ticker,exchange,company_name,sector_raw,industry_raw,period,period_type,fiscal_year,revenue,gross_profit,net_income,total_assets,total_liabilities,equity,cfo,capex,source_name,source_confidence,source_layer,provisional_only,fetched_at,finance_completeness_score,missing_fields,source_count
A32,UPCoM,Công ty Cổ phần 32,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng cá nhân / Giầy dép,UNKNOWN,2025,year,2025,,,,,,,,,vnstock_finance_v1,provisional_structured,provisional_structured,True,2026-05-27T09:35:24.866599,0.0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,0
AAA,HOSE,Công ty Cổ phần Nhựa An Phát Xanh,"Nguyên vật liệu / Hóa chất / Hóa chất / Nhựa, cao su & sợi",C,2025,year,2025,,,,,,,,,vnstock_finance_v1,provisional_structured,provisional_structured,True,2026-05-27T09:35:30.725000,0.0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,0
AAH,UPCoM,Công ty Cổ phần Hợp Nhất,Nguyên vật liệu / Tài nguyên Cơ bản / Khai khoáng / Khai thác Than,C,2025,year,2025,,,,,,,,,vnstock_finance_v1,provisional_structured,provisional_structured,True,2026-05-27T09:35:36.351298,0.0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,0
AAM,HOSE,Công ty Cổ Phần Thủy Sản MeKong,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,A,2025,year,2025,,,,,,,,,vnstock_finance_v1,provisional_structured,provisional_structured,True,2026-05-27T09:35:42.582824,0.0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,0
AAN,,Công ty Cổ phần Lương thực A An,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,A,2025,year,2025,,,,,,,,,vnstock_finance_v1,provisional_structured,provisional_structured,True,2026-05-27T09:35:48.432533,0.0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,0
AAS,UPCoM,Công ty Cổ phần Chứng khoán SmartInvest,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,C,2025,year,2025,,,,,,,,,vnstock_finance_v1,provisional_structured,provisional_structured,True,2026-05-27T09:35:55.511417,0.0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,0
AAT,HOSE,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng cá nhân / Hàng May mặc,UNKNOWN,2025,year,2025,,,,,,,,,vnstock_finance_v1,provisional_structured,provisional_structured,True,2026-05-27T09:36:02.623964,0.0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,0
AAV,HNX,Công ty Cổ phần AAV Group,Tài chính / Bất động sản / Bất động sản / Bất động sản,C,2025,year,2025,,,,,,,,,vnstock_finance_v1,provisional_structured,provisional_structured,True,2026-05-27T09:36:11.682538,0.0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,0
ABB,UPCoM,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng / Ngân hàng / Ngân hàng / Ngân hàng,B,2025,year,2025,,,,,,,,,vnstock_finance_v1,provisional_structured,provisional_structured,True,2026-05-27T09:36:18.700128,0.0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,0
ABC,UPCoM,Công ty Cổ phần Truyền thông VMG,Viễn thông / Viễn thông / Viễn thông di động / Viễn thông di động,UNKNOWN,2025,year,2025,,,,,,,,,vnstock_finance_v1,provisional_structured,provisional_structured,True,2026-05-27T09:36:25.099287,0.0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,0
ABI,UPCoM,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,Tài chính / Bảo hiểm / Bảo hiểm phi nhân thọ / Bảo hiểm phi nhân thọ,B,2025,year,2025,,,,,,,,,vnstock_finance_v1,provisional_structured,provisional_structured,True,2026-05-27T09:36:36.656900,0.0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,0
ABR,HOSE,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Tư vấn & Hỗ trợ Kinh doanh / Tư vấn & Hỗ trợ KD,UNKNOWN,2025,year,2025,,,,,,,,,vnstock_finance_v1,provisional_structured,provisional_structured,True,2026-05-27T09:36:45.952384,0.0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,0
