ticker,exchange,company_name,sector_raw,industry_raw,last_close,last_price_date,avg_volume_10d,avg_volume_20d,avg_volume_60d,trading_days_60d,source_name,source_confidence,source_layer,fetched_at,stale_price_flag,missing_price_flag,low_liquidity_flag
A32,UPCoM,Công ty Cổ phần 32,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng cá nhân / Giầy dép,UNKNOWN,,,5000.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:35:24.866599,,True,False
AAA,HOSE,Công ty Cổ phần Nhựa An Phát Xanh,"Nguyên vật liệu / Hóa chất / Hóa chất / Nhựa, cao su & sợi",C,,,741020.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:35:30.725000,,True,False
AAH,UPCoM,Công ty Cổ phần Hợp Nhất,Nguyên vật liệu / Tài nguyên Cơ bản / Khai khoáng / Khai thác Than,C,,,,,,,,provisional_structured,provisional_structured,2026-05-27T09:35:36.351298,,True,False
AAM,HOSE,Công ty Cổ Phần Thủy Sản MeKong,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,A,6.55,,3170.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:35:42.582824,True,False,False
AAN,,Công ty Cổ phần Lương thực A An,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,A,,,,,,,,provisional_structured,provisional_structured,2026-05-27T09:35:48.432533,,True,False
AAS,UPCoM,Công ty Cổ phần Chứng khoán SmartInvest,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,C,,,592430.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:35:55.511417,,True,False
AAT,HOSE,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng cá nhân / Hàng May mặc,UNKNOWN,,,19040.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:36:02.623964,,True,False
AAV,HNX,Công ty Cổ phần AAV Group,Tài chính / Bất động sản / Bất động sản / Bất động sản,C,,,317220.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:36:11.682538,,True,False
ABB,UPCoM,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng / Ngân hàng / Ngân hàng / Ngân hàng,B,,,670200.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:36:18.700128,,True,False
ABC,UPCoM,Công ty Cổ phần Truyền thông VMG,Viễn thông / Viễn thông / Viễn thông di động / Viễn thông di động,UNKNOWN,,,20270.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:36:25.099287,,True,False
ABI,UPCoM,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,Tài chính / Bảo hiểm / Bảo hiểm phi nhân thọ / Bảo hiểm phi nhân thọ,B,,,29170.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:36:36.656900,,True,False
ABR,HOSE,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Tư vấn & Hỗ trợ Kinh doanh / Tư vấn & Hỗ trợ KD,UNKNOWN,,,1220.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:36:45.952384,,True,False
ABS,HOSE,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,"Nguyên vật liệu / Hóa chất / Hóa chất / Sản phẩm hóa dầu, Nông dược & Hóa chất khác",A,,,230920.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:36:52.826268,,True,False
ABT,HOSE,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,A,,,3660.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:37:00.694540,,True,False
ABW,UPCoM,Công ty Cổ phần Chứng khoán An Bình,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,C,,,,,,,,provisional_structured,provisional_structured,2026-05-27T09:37:07.460204,,True,False
AC4,UPCoM,Công ty Cổ phần ACC - 244,Công nghiệp / Hàng hóa công nghiệp / Kỹ thuật xây dựng,Kỹ thuật xây dựng,,,,,,,,provisional_structured,provisional_structured,2026-05-27T04:00:37.122449,,True,False
ACB,HOSE,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng / Ngân hàng / Ngân hàng / Ngân hàng,B,,,22137880.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:37:14.542863,,True,False
ACC,HOSE,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Vật liệu xây dựng & Nội thất,C,,,7420.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:37:20.749160,,True,False
ACE,UPCoM,Công ty Cổ phần Bê tông ly tâm An Giang,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Vật liệu xây dựng & Nội thất,C,,,1410.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:37:26.214029,,True,False
ACG,HOSE,Công ty Cổ phần Gỗ An Cường,Nguyên vật liệu / Tài nguyên Cơ bản / Lâm nghiệp và Giấy / Lâm sản và Chế biến gỗ,UNKNOWN,,,5950.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:37:32.879783,,True,False
ACL,HOSE,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,A,,,1690.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:37:39.222450,,True,False
ACM,UPCoM,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,Nguyên vật liệu / Tài nguyên Cơ bản / Khai khoáng / Khai khoáng,C,,,92670.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:37:46.886540,,True,False
ACS,UPCoM,Công ty Cổ phần Xây lắp Thương mại 2,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,C,,,30.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:37:54.957239,,True,True
ACV,UPCoM,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,"Công nghiệp / Hàng & Dịch vụ Công nghiệp / Vận tải / Kho bãi, hậu cần và bảo dưỡng",UNKNOWN,,,952890.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:38:02.868122,,True,False
ADC,HNX,Công ty Cổ phần Mĩ thuật và Truyền thông,"Dịch vụ Tiêu dùng / Truyền thông / Truyền thông / Sách, ấn bản & sản phẩm văn hóa",UNKNOWN,,,130.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:38:11.176310,,True,True
ADG,HOSE,Công ty Cổ phần Clever Group,Dịch vụ Tiêu dùng / Truyền thông / Truyền thông / Dịch vụ truyền thông,UNKNOWN,,,1330.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:38:20.097818,,True,False
ADP,HOSE,Công ty Cổ phần Sơn Á Đông,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Vật liệu xây dựng & Nội thất,C,,,3300.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:38:27.370115,,True,False
ADS,HOSE,Công ty Cổ phần DAMSAN,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng cá nhân / Hàng May mặc,UNKNOWN,,,100480.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:38:35.506086,,True,False
AFC,UPCoM,Công ty Cổ phần Nông Lâm Nghiệp Bình Dương,Công nghiệp / Dịch vụ thương mại và chuyên nghiệp / Dịch vụ và thiết bị thương mại,Dịch vụ và thiết bị thương mại,,,,,,,,provisional_structured,provisional_structured,2026-05-27T04:00:49.557458,,True,False
AFX,HOSE,Công ty Cổ phần Xuất Nhập khẩu Nông sản Thực phẩm An Giang,Dịch vụ Tiêu dùng / Bán lẻ / Phân phối thực phẩm & dược phẩm / Phân phối thực phẩm,A,,,59790.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:38:41.967700,,True,False
AG1,UPCoM,Công ty Cổ phần 28.1,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng cá nhân / Hàng May mặc,UNKNOWN,,,12870.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:38:48.753014,,True,False
AGC,HNX,Công ty Cổ phần Cà phê An Giang,"Tiêu dùng thiết yếu / Thực phẩm, đồ uống và thuốc lá / Thực phẩm",Thực phẩm,,,,,,,,provisional_structured,provisional_structured,2026-05-27T04:00:54.165715,,True,False
AGD,HOSE,Công ty Cổ phần Gò Đàng,"Tiêu dùng thiết yếu / Thực phẩm, đồ uống và thuốc lá / Thực phẩm",Thực phẩm,,,,,,,,provisional_structured,provisional_structured,2026-05-27T03:57:13.365282,,True,False
AGE,,Công ty Cổ phần Môi trường Đô thị An Giang,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Tư vấn & Hỗ trợ Kinh doanh / Chất thải & Môi trường,UNKNOWN,,,,,,,,provisional_structured,provisional_structured,2026-05-27T09:38:54.350587,,True,False
AGF,UPCoM,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,A,,,240.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:39:01.429715,,True,True
AGG,HOSE,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Tài chính / Bất động sản / Bất động sản / Bất động sản,C,,,203870.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:39:07.800751,,True,False
AGM,UPCoM,Công ty Cổ phần Xuất nhập khẩu An Giang,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Thực phẩm,A,,,56090.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:39:17.420871,,True,False
AGP,UPCoM,Công ty Cổ phần Dược phẩm AGIMEXPHARM,Dược phẩm và Y tế / Y tế / Dược phẩm / Dược phẩm,A,,,2170.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:39:30.552603,,True,False
AGR,HOSE,Công ty Cổ phần Chứng khoán AGRIBANK,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,B,,,266050.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:39:41.262958,,True,False
AGX,UPCoM,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,Dịch vụ Tiêu dùng / Bán lẻ / Phân phối thực phẩm & dược phẩm / Phân phối thực phẩm,A,,,3090.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:39:51.288526,,True,False
AIC,UPCoM,Công ty Cổ phần Tập đoàn Bảo hiểm DBV,Tài chính / Bảo hiểm / Bảo hiểm phi nhân thọ / Bảo hiểm phi nhân thọ,C,8.9,,6564.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:40:08.029331,True,False,False
AIG,UPCoM,Công ty Cổ phần Nguyên liệu Á Châu AIG,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Thực phẩm,A,,,,,,,,provisional_structured,provisional_structured,2026-05-27T09:40:15.760715,,True,False
ALC,UPCoM,Công ty Cổ phần Âu Lạc,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Vận tải / Vận tải Thủy,UNKNOWN,,,,,,,,provisional_structured,provisional_structured,2026-05-27T09:40:25.683782,,True,False
ALP,HOSE,Công ty Cổ phần Đầu tư Alphanam,Công nghiệp / Hàng hóa công nghiệp / Kỹ thuật xây dựng,Kỹ thuật xây dựng,,,,,,,,provisional_structured,provisional_structured,2026-05-27T03:57:19.386425,,True,False
ALT,HNX,Công ty Cổ phần Văn hóa Tân Bình,"Dịch vụ Tiêu dùng / Truyền thông / Truyền thông / Sách, ấn bản & sản phẩm văn hóa",UNKNOWN,,,1130.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:40:33.572724,,True,False
ALV,UPCoM,Công ty Cổ phần Tập đoàn MCST,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,C,,,11240.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:40:42.579916,,True,False
AMC,HNX,Công ty Cổ phần Khoáng sản Á Châu,Nguyên vật liệu / Tài nguyên Cơ bản / Khai khoáng / Khai khoáng,C,,,190.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:40:50.927332,,True,True
AMD,UPCoM,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,Tài chính / Bất động sản / Bất động sản / Bất động sản,C,,,,,,,,provisional_structured,provisional_structured,2026-05-27T09:41:00.721546,,True,False
AME,HNX,Công ty cổ phần Alphanam E&C,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Điện tử & Thiết bị điện / Thiết bị điện,B,,,180.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:41:12.630176,,True,True
AMP,UPCoM,Công ty Cổ phần Armephaco,Dược phẩm và Y tế / Y tế / Dược phẩm / Dược phẩm,A,12.5,,2110.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:41:25.816459,True,False,False
AMS,UPCoM,Công ty Cổ phần Cơ khí Xây dựng AMECC,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Tư vấn & Hỗ trợ Kinh doanh / Nhà cung cấp thiết bị,C,,,105420.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:41:35.834202,,True,False
AMV,HNX,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Dược phẩm và Y tế / Y tế / Thiết bị và Dịch vụ Y tế / Thiết bị y tế,A,,,309260.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:41:49.486389,,True,False
ANC11601,HOSE,Trái Phiếu Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,,,,,,,,,,provisional_structured,provisional_structured,2026-05-27T03:57:20.727285,,True,False
ANT,HOSE,Công ty Cổ phần Rau quả Thực phẩm An Giang,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Thực phẩm,A,,,11470.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:42:02.791069,,True,False
ANV,HOSE,Công ty Cổ phần Nam Việt,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,A,,,396610.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:42:12.836086,,True,False
APC,UPCoM,Công ty Cổ phần Chiếu xạ An Phú,Dược phẩm và Y tế / Y tế / Dược phẩm / Công nghệ sinh học,A,,,670.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:42:20.610021,,True,True
APF,UPCoM,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Thực phẩm,A,,,29320.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:42:27.745205,,True,False
APG,HOSE,Công ty Cổ phần Chứng khoán APG,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,C,4.6,,248800.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:42:34.955936,True,False,False
APH,HOSE,Công ty Cổ phần Tập đoàn An Phát Holdings,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Hàng công nghiệp / Containers & Đóng gói,UNKNOWN,,,126550.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:42:40.960372,,True,False
API,HNX,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,Tài chính / Bất động sản / Bất động sản / Bất động sản,C,,,272710.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:42:47.746678,,True,False
APL,UPCoM,Công ty Cổ phần Cơ khí và Thiết bị áp lực - VVMI,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Công nghiệp nặng / Máy công nghiệp,UNKNOWN,,,,,,,,provisional_structured,provisional_structured,2026-05-27T09:42:53.801044,,True,False
APP,UPCoM,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ,"Nguyên vật liệu / Hóa chất / Hóa chất / Sản phẩm hóa dầu, Nông dược & Hóa chất khác",A,,,3200.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:43:00.258079,,True,False
APS,HNX,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,C,,,694190.0,,,,legacy_cafef_vnstock_cache,provisional_structured,provisional_structured,2026-05-27T09:43:12.107288,,True,False
APT,UPCoM,Công ty Cổ phần Kinh doanh thủy hải sản Sài Gòn,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,A,,,,,,,,provisional_structured,provisional_structured,2026-05-27T09:43:18.646534,,True,False
AQN,UPCoM,Công ty cổ phần 28 Quảng Ngãi,Tiêu dùng không thiết yếu / Thời trang và hàng lâu bền / Thời trang và dệt may,Thời trang và dệt may,,,,,,,,provisional_structured,provisional_structured,2026-05-27T04:01:41.991902,,True,False
