dataset_name,record_key,ticker,field_name,source_category,source_name,source_priority_rank,value,normalized_value,source_url,fetch_time,confidence_raw,evidence_status,reconciliation_status,notes
universe,ticker=VCB,VCB,ticker,vnstock,vnstock:kbs,5,VCB,vcb,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=VCB,VCB,exchange,vnstock,vnstock:kbs,5,HOSE,hose,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=VCB,VCB,company_name,vnstock,vnstock:kbs,5,Ngân hàng TMCP Ngoại thương Việt Nam,ngân hàng tmcp ngoại thương việt nam,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=VCB,VCB,listing_status,vnstock,vnstock:kbs,5,LISTED,listed,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=VCB,VCB,source,vnstock,vnstock:kbs,5,vnstock:kbs,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=VCB,VCB,source_url,vnstock,vnstock:kbs,5,https://vnstocks.com/,https://vnstocks.com/,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=VCB,VCB,fetch_time,vnstock,vnstock:kbs,5,2026-06-04T03:25:28+00:00,2026-06-04t03:25:28+00:00,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=VCB,VCB,confidence_raw,vnstock,vnstock:kbs,5,medium,medium,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=BID,BID,ticker,vnstock,vnstock:kbs,5,BID,bid,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=BID,BID,exchange,vnstock,vnstock:kbs,5,HOSE,hose,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
