source_name,source_category,dataset_name,probe_status,http_status_or_error,is_accessible,requires_js,requires_login,blocked_or_captcha,schema_detected,supported_fields,unsupported_fields,sample_url,notes
vnstock,vnstock,financial_statement_summary,SOURCE_AVAILABLE,,True,False,False,False,True,revenue|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,missing fields remain blank until source provides them,https://vnstocks.com/,python package dependency available
vnstock,vnstock,disclosure_status,SOURCE_AVAILABLE,,True,False,False,False,True,event_date|event_type|severity|title|description,missing fields remain blank until source provides them,https://vnstocks.com/,python package dependency available
cafef,cafef,financial_statement_summary,SOURCE_BLOCKED_OR_JS_REQUIRED,200,False,False,True,False,True,revenue|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,,https://s.cafef.vn/,"source appears blocked, login-gated, captcha-gated, or JS-required"
cafef,cafef,disclosure_status,SOURCE_BLOCKED_OR_JS_REQUIRED,200,False,False,True,False,True,,,https://s.cafef.vn/,"source appears blocked, login-gated, captcha-gated, or JS-required"
vietstock,vietstock,financial_statement_summary,SOURCE_BLOCKED_OR_JS_REQUIRED,200,False,False,True,True,True,revenue|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,,https://finance.vietstock.vn/,"source appears blocked, login-gated, captcha-gated, or JS-required"
vietstock,vietstock,disclosure_status,SOURCE_BLOCKED_OR_JS_REQUIRED,200,False,False,True,True,True,,,https://finance.vietstock.vn/,"source appears blocked, login-gated, captcha-gated, or JS-required"
hose,hose,financial_statement_summary,UNSUPPORTED_DATASET,,False,False,False,False,False,,revenue|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,,no probe URL configured
hose,hose,disclosure_status,SOURCE_SCHEMA_UNKNOWN,200,True,False,False,False,False,,,https://www.hsx.vn/,public URL accessible but expected schema markers were not detected
hnx,hnx,financial_statement_summary,UNSUPPORTED_DATASET,,False,False,False,False,False,,revenue|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,,no probe URL configured
hnx,hnx,disclosure_status,SOURCE_UNAVAILABLE,URLError:[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028),False,False,False,False,False,,,https://www.hnx.vn/,URLError:[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)
ssc,ssc,financial_statement_summary,UNSUPPORTED_DATASET,,False,False,False,False,False,,revenue|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,,no probe URL configured
ssc,ssc,disclosure_status,SOURCE_BLOCKED_OR_JS_REQUIRED,200,False,True,False,False,False,,,https://ssc.gov.vn/,"source appears blocked, login-gated, captcha-gated, or JS-required"
