ticker,period,document_type,source_url,issue,manual_review_required,priority,notes
BID,DISCOVERY,ir_page,https://www.bidv.com.vn/vn/quan-he-nha-dau-tu,SOURCE_BLOCKED_OR_JS_REQUIRED,True,high,"REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTML page appears blocked, JS-only, login, or CAPTCHA"
BID,DISCOVERY,financial_statement,https://www.bidv.com.vn/vn/quan-he-nha-dau-tu/thong-tin-tai-chinh,SOURCE_BLOCKED_OR_JS_REQUIRED,True,high,"REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTML page appears blocked, JS-only, login, or CAPTCHA"
CTG,DISCOVERY,ir_page,https://www.vietinbank.vn/web/home/vn/quan-he-nha-dau-tu/,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
CTG,DISCOVERY,financial_statement,https://www.vietinbank.vn/web/home/vn/quan-he-nha-dau-tu/bao-cao-tai-chinh,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
MBB,DISCOVERY,ir_page,https://www.mbbank.com.vn/vi/investor,SOURCE_BLOCKED_OR_JS_REQUIRED,True,high,"REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTML page appears blocked, JS-only, login, or CAPTCHA"
MBB,DISCOVERY,financial_statement,https://www.mbbank.com.vn/vi/investor/financial-reports,SOURCE_BLOCKED_OR_JS_REQUIRED,True,high,"REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTML page appears blocked, JS-only, login, or CAPTCHA"
ACB,DISCOVERY,financial_statement,https://www.acb.com.vn/ve-acb/nha-dau-tu/bao-cao-tai-chinh,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
HPG,DISCOVERY,ir_page,https://www.hoaphat.com.vn/quan-he-co-dong,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:500
HPG,DISCOVERY,financial_statement,https://www.hoaphat.com.vn/bao-cao-tai-chinh,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
HSG,DISCOVERY,ir_page,https://www.hoasengroup.vn/vi/quan-he-co-dong/,SOURCE_BLOCKED_OR_JS_REQUIRED,True,high,"REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTML page appears blocked, JS-only, login, or CAPTCHA"
HSG,DISCOVERY,financial_statement,https://www.hoasengroup.vn/vi/bao-cao-tai-chinh/,SOURCE_BLOCKED_OR_JS_REQUIRED,True,high,"REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTML page appears blocked, JS-only, login, or CAPTCHA"
VHM,DISCOVERY,ir_page,https://vinhomes.vn/vi/quan-he-co-dong,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:403
VHM,DISCOVERY,financial_statement,https://vinhomes.vn/vi/quan-he-co-dong/bao-cao-tai-chinh,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:403
KDH,DISCOVERY,ir_page,https://www.khangdien.com.vn/quan-he-co-dong/,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
NLG,DISCOVERY,ir_page,https://www.namlongvn.com/investor-relations/,SOURCE_BLOCKED_OR_JS_REQUIRED,True,high,"REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTML page appears blocked, JS-only, login, or CAPTCHA"
NLG,DISCOVERY,financial_statement,https://www.namlongvn.com/financial-reports/,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
SSI,DISCOVERY,ir_page,https://www.ssi.com.vn/quan-he-nha-dau-tu,SOURCE_BLOCKED_OR_JS_REQUIRED,True,high,"REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTML page appears blocked, JS-only, login, or CAPTCHA"
SSI,DISCOVERY,financial_statement,https://www.ssi.com.vn/quan-he-nha-dau-tu/bao-cao-tai-chinh,SOURCE_BLOCKED_OR_JS_REQUIRED,True,high,"REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTML page appears blocked, JS-only, login, or CAPTCHA"
VND,DISCOVERY,ir_page,https://www.vndirect.com.vn/quan-he-nha-dau-tu/,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
GAS,DISCOVERY,ir_page,https://www.pvgas.com.vn/quan-he-co-dong,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
GAS,DISCOVERY,financial_statement,https://www.pvgas.com.vn/quan-he-co-dong/bao-cao-tai-chinh,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
PVS,DISCOVERY,ir_page,https://www.ptsc.com.vn/quan-he-co-dong,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
FPT,DISCOVERY,ir_page,https://fpt.com/vi/nha-dau-tu,SOURCE_BLOCKED_OR_JS_REQUIRED,True,high,"REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTML page appears blocked, JS-only, login, or CAPTCHA"
FPT,DISCOVERY,annual_report,https://fpt.com/vi/nha-dau-tu/bao-cao,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
FPT,DISCOVERY,ir_page,https://fpt.com/en/investor-relations,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
VGC,DISCOVERY,financial_statement,https://viglacera.com.vn/vi/bao-cao-tai-chinh/,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
GMD,DISCOVERY,ir_page,https://www.gemadept.com.vn/quan-he-co-dong,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
GMD,DISCOVERY,financial_statement,https://www.gemadept.com.vn/bao-cao-tai-chinh,SOURCE_BLOCKED_OR_JS_REQUIRED,True,high,"REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTML page appears blocked, JS-only, login, or CAPTCHA"
VHC,DISCOVERY,ir_page,https://www.vinhhoan.com/investor-relations/,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
VHC,DISCOVERY,financial_statement,https://www.vinhhoan.com/financial-reports/,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
TCM,DISCOVERY,financial_statement,https://www.thanhcong.com.vn/financial-reports/,SOURCE_UNAVAILABLE,True,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed; HTTP_STATUS:404
