ticker,seed_url,seed_scheme,final_url,final_scheme,http_status,download_status,bad_seed_reason,manual_review_required,notes
VCB,https://www.vietcombank.com.vn/vi-VN/Nha-dau-tu/Thong-tin-tai-chinh,https,https://www.vietcombank.com.vn/vi-VN/Error-404,https,200,HTML_SNAPSHOT_SAVED,ERROR_PAGE_200,True,bad seed URL does not prove clean finance evidence
BID,https://www.bidv.com.vn/vn/quan-he-nha-dau-tu,https,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https,200,SOURCE_BLOCKED_OR_JS_REQUIRED,JS_OR_BLOCKED,True,bad seed URL does not prove clean finance evidence
BID,https://www.bidv.com.vn/vn/quan-he-nha-dau-tu/thong-tin-tai-chinh,https,https://bidv.com.vn/vn/quan-he-nha-dau-tu/thong-tin-tai-chinh,https,200,SOURCE_BLOCKED_OR_JS_REQUIRED,JS_OR_BLOCKED,True,bad seed URL does not prove clean finance evidence
CTG,https://www.vietinbank.vn/web/home/vn/quan-he-nha-dau-tu/,https,https://www.vietinbank.vn/web/home/vn/quan-he-nha-dau-tu,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
CTG,https://www.vietinbank.vn/web/home/vn/quan-he-nha-dau-tu/bao-cao-tai-chinh,https,https://www.vietinbank.vn/web/home/vn/quan-he-nha-dau-tu/bao-cao-tai-chinh,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
MBB,https://www.mbbank.com.vn/vi/investor,https,https://www.mbbank.com.vn/Error?aspxerrorpath=/vi/investor,https,200,SOURCE_BLOCKED_OR_JS_REQUIRED,JS_OR_BLOCKED;ERROR_PAGE_200,True,bad seed URL does not prove clean finance evidence
MBB,https://www.mbbank.com.vn/vi/investor/financial-reports,https,https://www.mbbank.com.vn/Error?aspxerrorpath=/vi/investor/financial-reports,https,200,SOURCE_BLOCKED_OR_JS_REQUIRED,JS_OR_BLOCKED;ERROR_PAGE_200,True,bad seed URL does not prove clean finance evidence
ACB,https://www.acb.com.vn/ve-acb/nha-dau-tu/bao-cao-tai-chinh,https,https://acb.com.vn/ve-acb/nha-dau-tu/bao-cao-tai-chinh,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
HPG,https://www.hoaphat.com.vn/quan-he-co-dong,https,https://www.hoaphat.com.vn/quan-he-co-dong,https,500,SOURCE_UNAVAILABLE,HTTP_500,True,bad seed URL does not prove clean finance evidence
HPG,https://www.hoaphat.com.vn/bao-cao-tai-chinh,https,https://www.hoaphat.com.vn/bao-cao-tai-chinh,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
HSG,https://www.hoasengroup.vn/vi/quan-he-co-dong/,https,https://hoasengroup.vn/vi/quan-he-co-dong/,https,200,SOURCE_BLOCKED_OR_JS_REQUIRED,JS_OR_BLOCKED,True,bad seed URL does not prove clean finance evidence
HSG,https://www.hoasengroup.vn/vi/bao-cao-tai-chinh/,https,https://hoasengroup.vn/vi/bai-viet/bao-cao-tai-chinh-hop-nhat-quy-2-nien-do-2008-2009/2960/,https,200,SOURCE_BLOCKED_OR_JS_REQUIRED,JS_OR_BLOCKED;OLD_YEAR_REDIRECT,True,bad seed URL does not prove clean finance evidence
VHM,https://vinhomes.vn/vi/quan-he-co-dong,https,https://vinhomes.vn/vi/quan-he-co-dong,https,403,SOURCE_UNAVAILABLE,HTTP_403,True,bad seed URL does not prove clean finance evidence
VHM,https://vinhomes.vn/vi/quan-he-co-dong/bao-cao-tai-chinh,https,https://vinhomes.vn/vi/quan-he-co-dong/bao-cao-tai-chinh,https,403,SOURCE_UNAVAILABLE,HTTP_403,True,bad seed URL does not prove clean finance evidence
KDH,https://www.khangdien.com.vn/quan-he-co-dong/,https,https://www.khangdien.com.vn/quan-he-co-dong/,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
NLG,https://www.namlongvn.com/investor-relations/,https,https://www.namlongvn.com/en/investor-relations/,https,200,SOURCE_BLOCKED_OR_JS_REQUIRED,JS_OR_BLOCKED,True,bad seed URL does not prove clean finance evidence
NLG,https://www.namlongvn.com/financial-reports/,https,https://www.namlongvn.com/financial-reports/,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
SSI,https://www.ssi.com.vn/quan-he-nha-dau-tu,https,https://www.ssi.com.vn/quan-he-nha-dau-tu,https,200,SOURCE_BLOCKED_OR_JS_REQUIRED,JS_OR_BLOCKED,True,bad seed URL does not prove clean finance evidence
SSI,https://www.ssi.com.vn/quan-he-nha-dau-tu/bao-cao-tai-chinh,https,https://www.ssi.com.vn/quan-he-nha-dau-tu/bao-cao-tai-chinh,https,200,SOURCE_BLOCKED_OR_JS_REQUIRED,JS_OR_BLOCKED,True,bad seed URL does not prove clean finance evidence
VND,https://www.vndirect.com.vn/quan-he-nha-dau-tu/,https,https://www.vndirect.com.vn/quan-he-nha-dau-tu/,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
VND,https://www.vndirect.com.vn/bao-cao-tai-chinh/,https,https://www.vndirect.com.vn/bao-cao-tai-chinh-nam-2015-va-bao-cao-ty-le-an-toan-tai-chinh-ngay-31-12-2015/,https,200,HTML_SNAPSHOT_SAVED,OLD_YEAR_REDIRECT,True,bad seed URL does not prove clean finance evidence
GAS,https://www.pvgas.com.vn/quan-he-co-dong,https,https://www.pvgas.com.vn/quan-he-co-dong,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
GAS,https://www.pvgas.com.vn/quan-he-co-dong/bao-cao-tai-chinh,https,https://www.pvgas.com.vn/quan-he-co-dong/bao-cao-tai-chinh,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
PVS,https://www.ptsc.com.vn/quan-he-co-dong,https,https://www.ptsc.com.vn/quan-he-co-dong,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
FPT,https://fpt.com/vi/nha-dau-tu,https,https://fpt.com/vi/nha-dau-tu,https,200,SOURCE_BLOCKED_OR_JS_REQUIRED,JS_OR_BLOCKED,True,bad seed URL does not prove clean finance evidence
FPT,https://fpt.com/vi/nha-dau-tu/bao-cao,https,https://fpt.com/vi/nha-dau-tu/bao-cao,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
FPT,https://fpt.com/en/investor-relations,https,https://fpt.com/en/investor-relations,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
MWG,https://mwg.vn/quan-he-co-dong/,https,https://mwg.vn/tin-tuc,https,200,HTML_SNAPSHOT_SAVED,GENERIC_NEWS_PAGE,True,bad seed URL does not prove clean finance evidence
MWG,https://mwg.vn/eng/investor-relations/,https,https://mwg.vn/eng/news,https,200,HTML_SNAPSHOT_SAVED,GENERIC_NEWS_PAGE,True,bad seed URL does not prove clean finance evidence
VGC,https://viglacera.com.vn/vi/bao-cao-tai-chinh/,https,https://viglacera.com.vn/bao-cao-tai-chinh,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
GMD,https://www.gemadept.com.vn/quan-he-co-dong,https,https://www.gemadept.com.vn/quan-he-co-dong,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
GMD,https://www.gemadept.com.vn/bao-cao-tai-chinh,https,https://www.gemadept.com.vn/co-dong/bao-cao-tai-chinh/,https,200,SOURCE_BLOCKED_OR_JS_REQUIRED,JS_OR_BLOCKED,True,bad seed URL does not prove clean finance evidence
VHC,https://www.vinhhoan.com/investor-relations/,https,https://www.vinhhoan.com/investor-relations/,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
VHC,https://www.vinhhoan.com/financial-reports/,https,https://www.vinhhoan.com/financial-reports/,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
TCM,https://www.thanhcong.com.vn/financial-reports/,https,https://www.thanhcong.com.vn/financial-reports/,https,404,SOURCE_UNAVAILABLE,HTTP_404,True,bad seed URL does not prove clean finance evidence
