ticker,period,document_type,source_url,candidate_url,issue,manual_review_required,priority,notes
VCB,,,https://www.vietcombank.com.vn/vi-VN/Nha-dau-tu/Thong-tin-tai-chinh,,ERROR_PAGE_200,True,high,bad seed URL does not prove clean finance evidence
BID,,,https://www.bidv.com.vn/vn/quan-he-nha-dau-tu,,JS_OR_BLOCKED,True,high,bad seed URL does not prove clean finance evidence
BID,,,https://www.bidv.com.vn/vn/quan-he-nha-dau-tu/thong-tin-tai-chinh,,JS_OR_BLOCKED,True,high,bad seed URL does not prove clean finance evidence
CTG,,,https://www.vietinbank.vn/web/home/vn/quan-he-nha-dau-tu/,,HTTP_404,True,high,bad seed URL does not prove clean finance evidence
CTG,,,https://www.vietinbank.vn/web/home/vn/quan-he-nha-dau-tu/bao-cao-tai-chinh,,HTTP_404,True,high,bad seed URL does not prove clean finance evidence
MBB,,,https://www.mbbank.com.vn/vi/investor,,JS_OR_BLOCKED;ERROR_PAGE_200,True,high,bad seed URL does not prove clean finance evidence
MBB,,,https://www.mbbank.com.vn/vi/investor/financial-reports,,JS_OR_BLOCKED;ERROR_PAGE_200,True,high,bad seed URL does not prove clean finance evidence
ACB,,,https://www.acb.com.vn/ve-acb/nha-dau-tu/bao-cao-tai-chinh,,HTTP_404,True,high,bad seed URL does not prove clean finance evidence
HPG,,,https://www.hoaphat.com.vn/quan-he-co-dong,,HTTP_500,True,high,bad seed URL does not prove clean finance evidence
HPG,,,https://www.hoaphat.com.vn/bao-cao-tai-chinh,,HTTP_404,True,high,bad seed URL does not prove clean finance evidence
HSG,,,https://www.hoasengroup.vn/vi/quan-he-co-dong/,,JS_OR_BLOCKED,True,high,bad seed URL does not prove clean finance evidence
HSG,,,https://www.hoasengroup.vn/vi/bao-cao-tai-chinh/,,JS_OR_BLOCKED;OLD_YEAR_REDIRECT,True,high,bad seed URL does not prove clean finance evidence
VHM,,,https://vinhomes.vn/vi/quan-he-co-dong,,HTTP_403,True,high,bad seed URL does not prove clean finance evidence
VHM,,,https://vinhomes.vn/vi/quan-he-co-dong/bao-cao-tai-chinh,,HTTP_403,True,high,bad seed URL does not prove clean finance evidence
KDH,,,https://www.khangdien.com.vn/quan-he-co-dong/,,HTTP_404,True,high,bad seed URL does not prove clean finance evidence
NLG,,,https://www.namlongvn.com/investor-relations/,,JS_OR_BLOCKED,True,high,bad seed URL does not prove clean finance evidence
NLG,,,https://www.namlongvn.com/financial-reports/,,HTTP_404,True,high,bad seed URL does not prove clean finance evidence
SSI,,,https://www.ssi.com.vn/quan-he-nha-dau-tu,,JS_OR_BLOCKED,True,high,bad seed URL does not prove clean finance evidence
SSI,,,https://www.ssi.com.vn/quan-he-nha-dau-tu/bao-cao-tai-chinh,,JS_OR_BLOCKED,True,high,bad seed URL does not prove clean finance evidence
VND,,,https://www.vndirect.com.vn/quan-he-nha-dau-tu/,,HTTP_404,True,high,bad seed URL does not prove clean finance evidence
VND,,,https://www.vndirect.com.vn/bao-cao-tai-chinh/,,OLD_YEAR_REDIRECT,True,high,bad seed URL does not prove clean finance evidence
GAS,,,https://www.pvgas.com.vn/quan-he-co-dong,,HTTP_404,True,high,bad seed URL does not prove clean finance evidence
GAS,,,https://www.pvgas.com.vn/quan-he-co-dong/bao-cao-tai-chinh,,HTTP_404,True,high,bad seed URL does not prove clean finance evidence
PVS,,,https://www.ptsc.com.vn/quan-he-co-dong,,HTTP_404,True,high,bad seed URL does not prove clean finance evidence
FPT,,,https://fpt.com/vi/nha-dau-tu,,JS_OR_BLOCKED,True,high,bad seed URL does not prove clean finance evidence
FPT,,,https://fpt.com/vi/nha-dau-tu/bao-cao,,HTTP_404,True,high,bad seed URL does not prove clean finance evidence
FPT,,,https://fpt.com/en/investor-relations,,HTTP_404,True,high,bad seed URL does not prove clean finance evidence
MWG,,,https://mwg.vn/quan-he-co-dong/,,GENERIC_NEWS_PAGE,True,high,bad seed URL does not prove clean finance evidence
MWG,,,https://mwg.vn/eng/investor-relations/,,GENERIC_NEWS_PAGE,True,high,bad seed URL does not prove clean finance evidence
VGC,,,https://viglacera.com.vn/vi/bao-cao-tai-chinh/,,HTTP_404,True,high,bad seed URL does not prove clean finance evidence
