ticker,source_page_url,source_snapshot_path,official_domain,candidate_url,candidate_scheme,candidate_domain,candidate_is_https,anchor_text,file_extension,candidate_document_type,period_guess,score,score_band,manual_review_required,reason,notes
VCB,https://www.vietcombank.com.vn/vi-VN/Nha-dau-tu,data\raw\official_finance_documents\01ic\vcb_discovery_ir_page_dc63ce385590d0ed.html,vietcombank.com.vn,https://www.vietcombank.com.vn/vi-VN/Nha-dau-tu,https,vietcombank.com.vn,True,og:url,html,filing_page,DISCOVERY_REVIEW,25,LOW_CONFIDENCE_CANDIDATE,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_HTML_SNAPSHOT_SAVED;SOURCE_FROM_ERROR_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
VCB,https://www.vietcombank.com.vn/vi-VN/Nha-dau-tu,data\raw\official_finance_documents\01ic\vcb_discovery_ir_page_dc63ce385590d0ed.html,vietcombank.com.vn,https://www.vietcombank.com.vn/en/Nha-dau-tu,https,vietcombank.com.vn,True,alternate,html,filing_page,DISCOVERY_REVIEW,25,LOW_CONFIDENCE_CANDIDATE,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_HTML_SNAPSHOT_SAVED;SOURCE_FROM_ERROR_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
VCB,https://www.vietcombank.com.vn/vi-VN/Nha-dau-tu,data\raw\official_finance_documents\01ic\vcb_discovery_ir_page_dc63ce385590d0ed.html,vietcombank.com.vn,https://www.vietcombank.com.vn/vi-VN/Nha-dau-tu/Phat-trien-ben-vung,https,vietcombank.com.vn,True,Tìm hiểu thêm,html,filing_page,DISCOVERY_REVIEW,25,LOW_CONFIDENCE_CANDIDATE,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_HTML_SNAPSHOT_SAVED;SOURCE_FROM_ERROR_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
VCB,https://www.vietcombank.com.vn/vi-VN/Nha-dau-tu,data\raw\official_finance_documents\01ic\vcb_discovery_ir_page_dc63ce385590d0ed.html,vietcombank.com.vn,https://www.vietcombank.com.vn/vi-VN/KHUT/Dac-quyen,https,vietcombank.com.vn,True,Đặc quyền,html,filing_page,DISCOVERY_REVIEW,40,LOW_CONFIDENCE_CANDIDATE,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;SOURCE_FROM_ERROR_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
VCB,https://www.vietcombank.com.vn/vi-VN/Error-404,data\raw\official_finance_documents\01ic\vcb_discovery_financial_statement_b2b17957868aca74.html,vietcombank.com.vn,https://www.vietcombank.com.vn/vi-VN/Nha-dau-tu,https,vietcombank.com.vn,True,Nhà đầu tư,html,filing_page,DISCOVERY_REVIEW,25,LOW_CONFIDENCE_CANDIDATE,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_HTML_SNAPSHOT_SAVED;SOURCE_FROM_ERROR_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,https://bidv.com.vn/vn/quan-he-nha-dau-tu,data\raw\official_finance_documents\01ic\bid_discovery_ir_page_87baf802a1007346.html,bidv.com.vn,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https,bidv.com.vn,True,alternate,html,filing_page,DISCOVERY_REVIEW,20,LOW_CONFIDENCE_CANDIDATE,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,https://bidv.com.vn/vn/quan-he-nha-dau-tu,data\raw\official_finance_documents\01ic\bid_discovery_ir_page_87baf802a1007346.html,bidv.com.vn,https://bidv.com.vn/wps/contenthandler/!ut/p/digest!s0Ct92FIOOQuP_hG2ajIjQ/sp/mashup:ra:collection?soffset=0&eoffset=6&themeID=ZJ_K9641I01O8R8006UTR9EQI1SV4&locale=en&mime-type=text%2Fcss&lm=1716895150000&entry=wp_contextmenu_css__0.0%3Ahead_css&entry=wp_federated_documents_picker__0.0%3Ahead_css&entry=wp_dnd_css__0.0%3Ahead_css&entry=wcm_inplaceEdit__0.0%3Ahead_css&entry=wp_content_targeting_cam__0.0%3Ahead_css&deferred=true,https,bidv.com.vn,True,alternate,html,filing_page,DISCOVERY_REVIEW,20,LOW_CONFIDENCE_CANDIDATE,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,https://bidv.com.vn/vn/quan-he-nha-dau-tu,data\raw\official_finance_documents\01ic\bid_discovery_ir_page_87baf802a1007346.html,bidv.com.vn,https://bidv.com.vn/vn/quan-he-nha-dau-tu/!ut/p/z0/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziLQwdjQydLYz8_YPcDAzMXA1MQo1DvE2dgkz0C7IdFQEuNXsn/,https,bidv.com.vn,True,alternate,html,filing_page,DISCOVERY_REVIEW,20,LOW_CONFIDENCE_CANDIDATE,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,https://bidv.com.vn/vn/quan-he-nha-dau-tu,data\raw\official_finance_documents\01ic\bid_discovery_ir_page_87baf802a1007346.html,bidv.com.vn,https://bidv.com.vn/vn/quan-he-nha-dau-tu/bao-cao-va-tai-lieu/,https,bidv.com.vn,True,"Báo cáo & 
            Tài liệu",html,filing_page,DISCOVERY_REVIEW,20,LOW_CONFIDENCE_CANDIDATE,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,https://bidv.com.vn/vn/quan-he-nha-dau-tu,data\raw\official_finance_documents\01ic\bid_discovery_ir_page_87baf802a1007346.html,bidv.com.vn,https://bidv.com.vn/vn/quan-he-nha-dau-tu/lich-su-kien/,https,bidv.com.vn,True,Lịch Sự kiện,html,filing_page,DISCOVERY_REVIEW,20,LOW_CONFIDENCE_CANDIDATE,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
