ticker,period,period_type,field_name,value_vnd,raw_value,unit_raw,unit_multiplier,currency,source_category,source_name,source_url,final_url,local_path,file_hash,page_number,table_index,row_index,raw_label,raw_context,parser_name,parse_status,confidence_raw,manual_review_required,review_reason,fetch_time,notes
FPT,2026-Q1,quarter,,,,,,,official_company_document,official_pdf_parser_01if,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,,,,,,official_pdf_text_line_parser_01if,DOCUMENT_NOT_TEXT_EXTRACTABLE,low,True,NO_TEXT_EXTRACTED_NO_OCR,2026-06-07T04:37:54+00:00,no values inferred or fabricated
FPT,2026-Q1,quarter,,,,,,,official_company_document,official_pdf_parser_01if,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,,,,,,official_pdf_text_line_parser_01if,TABLE_EXTRACTION_UNAVAILABLE,low,True,NO_TABLE_BACKEND_OR_NO_TABLES_EXTRACTED,2026-06-07T04:37:54+00:00,no values inferred or fabricated
KDH,2026-Q1,quarter,,,,,,,official_company_document,official_pdf_parser_01if,https://www.khangdien.com.vn/wp-content/uploads/2026/04/20260429-kdh-bctc-hop-nhat-q12026-giai-trinh-trong-tm-sign.pdf,https://www.khangdien.com.vn/wp-content/uploads/2026/04/20260429-kdh-bctc-hop-nhat-q12026-giai-trinh-trong-tm-sign.pdf,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,,,,,,official_pdf_text_line_parser_01if,DOCUMENT_NOT_TEXT_EXTRACTABLE,low,True,NO_TEXT_EXTRACTED_NO_OCR,2026-06-07T04:37:54+00:00,no values inferred or fabricated
KDH,2026-Q1,quarter,,,,,,,official_company_document,official_pdf_parser_01if,https://www.khangdien.com.vn/wp-content/uploads/2026/04/20260429-kdh-bctc-hop-nhat-q12026-giai-trinh-trong-tm-sign.pdf,https://www.khangdien.com.vn/wp-content/uploads/2026/04/20260429-kdh-bctc-hop-nhat-q12026-giai-trinh-trong-tm-sign.pdf,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,,,,,,official_pdf_text_line_parser_01if,TABLE_EXTRACTION_UNAVAILABLE,low,True,NO_TABLE_BACKEND_OR_NO_TABLES_EXTRACTED,2026-06-07T04:37:54+00:00,no values inferred or fabricated
NLG,2026-Q1,quarter,,,,,,,official_company_document,official_pdf_parser_01if,https://www.namlongvn.com/uploads/2026/04/20260424-NLG-Bao-cao-tai-chinh-Q1.2026-Hop-nhat-EN.pdf,https://www.namlongvn.com/uploads/2026/04/20260424-NLG-Bao-cao-tai-chinh-Q1.2026-Hop-nhat-EN.pdf/,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,,,,,,official_pdf_text_line_parser_01if,DOCUMENT_NOT_TEXT_EXTRACTABLE,low,True,NO_TEXT_EXTRACTED_NO_OCR,2026-06-07T04:37:55+00:00,no values inferred or fabricated
NLG,2026-Q1,quarter,,,,,,,official_company_document,official_pdf_parser_01if,https://www.namlongvn.com/uploads/2026/04/20260424-NLG-Bao-cao-tai-chinh-Q1.2026-Hop-nhat-EN.pdf,https://www.namlongvn.com/uploads/2026/04/20260424-NLG-Bao-cao-tai-chinh-Q1.2026-Hop-nhat-EN.pdf/,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,,,,,,official_pdf_text_line_parser_01if,TABLE_EXTRACTION_UNAVAILABLE,low,True,NO_TABLE_BACKEND_OR_NO_TABLES_EXTRACTED,2026-06-07T04:37:55+00:00,no values inferred or fabricated
SSI,2026-Q1,quarter,,,,,,,official_company_document,official_pdf_parser_01if,https://www.ssi.com.vn/upload/files/IR/20260423_SSI_Bao_cao_tai_chinh_hop_nhat_Quy_1_nam_2026.pdf,https://www.ssi.com.vn/upload/files/IR/20260423_SSI_Bao_cao_tai_chinh_hop_nhat_Quy_1_nam_2026.pdf,data\raw\official_finance_documents\01ie\ssi_2026_q1_financial_statement_be5e66907904207a.pdf,be5e66907904207a2eabf7189b6bd3b94f31712019b20a1d377b12762cb7e462,,,,,,official_pdf_text_line_parser_01if,DOCUMENT_NOT_TEXT_EXTRACTABLE,low,True,NO_TEXT_EXTRACTED_NO_OCR,2026-06-07T04:37:55+00:00,no values inferred or fabricated
SSI,2026-Q1,quarter,,,,,,,official_company_document,official_pdf_parser_01if,https://www.ssi.com.vn/upload/files/IR/20260423_SSI_Bao_cao_tai_chinh_hop_nhat_Quy_1_nam_2026.pdf,https://www.ssi.com.vn/upload/files/IR/20260423_SSI_Bao_cao_tai_chinh_hop_nhat_Quy_1_nam_2026.pdf,data\raw\official_finance_documents\01ie\ssi_2026_q1_financial_statement_be5e66907904207a.pdf,be5e66907904207a2eabf7189b6bd3b94f31712019b20a1d377b12762cb7e462,,,,,,official_pdf_text_line_parser_01if,TABLE_EXTRACTION_UNAVAILABLE,low,True,NO_TABLE_BACKEND_OR_NO_TABLES_EXTRACTED,2026-06-07T04:37:55+00:00,no values inferred or fabricated
NLG,2025-Q4,quarter,,,,,,,official_company_document,official_pdf_parser_01if,https://www.namlongvn.com/uploads/2026/01/20260129-NLG-CBTT-Bao-cao-tai-chinh-Quy-4.2025-Hop-nhat-EN.pdf,https://www.namlongvn.com/uploads/2026/01/20260129-NLG-CBTT-Bao-cao-tai-chinh-Quy-4.2025-Hop-nhat-EN.pdf/,data\raw\official_finance_documents\01ie\nlg_2025_q4_financial_statement_dc2f591d86825eb6.pdf,dc2f591d86825eb6a725b08147bf4e26c047f858f599d57108da4c73738c2268,,,,,,official_pdf_text_line_parser_01if,DOCUMENT_NOT_TEXT_EXTRACTABLE,low,True,NO_TEXT_EXTRACTED_NO_OCR,2026-06-07T04:37:55+00:00,no values inferred or fabricated
NLG,2025-Q4,quarter,,,,,,,official_company_document,official_pdf_parser_01if,https://www.namlongvn.com/uploads/2026/01/20260129-NLG-CBTT-Bao-cao-tai-chinh-Quy-4.2025-Hop-nhat-EN.pdf,https://www.namlongvn.com/uploads/2026/01/20260129-NLG-CBTT-Bao-cao-tai-chinh-Quy-4.2025-Hop-nhat-EN.pdf/,data\raw\official_finance_documents\01ie\nlg_2025_q4_financial_statement_dc2f591d86825eb6.pdf,dc2f591d86825eb6a725b08147bf4e26c047f858f599d57108da4c73738c2268,,,,,,official_pdf_text_line_parser_01if,TABLE_EXTRACTION_UNAVAILABLE,low,True,NO_TABLE_BACKEND_OR_NO_TABLES_EXTRACTED,2026-06-07T04:37:55+00:00,no values inferred or fabricated
