ticker,period,local_path,file_hash,page_number,backend,table_index,row_index,row_text,label_guess,numeric_values,unit_guess,notes
PVS,2025-Q4,data\raw\official_finance_documents\01ie\pvs_2025_q4_financial_statement_37e86358f3dcdfe4.pdf,37e86358f3dcdfe45fc887f401edd21e4f0f9b27f531451e04c6c3592f108fa4,104,pdfplumber,1,68,T (+84) 28 3910 2828 | F (+84) 28 3 | 910 2929 ww | w.ptsc.com.vn | 1,,28 391|0 282|910 292,million VND,normalized from python-native pdf table cells; no OCR
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_7f82e3a18a6d115b.pdf,7f82e3a18a6d115b2a412a78ec3d38a0e27528317e327a4ddc4eea61203d3b7a,94,pdfplumber,1,14,profit after | tax | in the Aud | ited,profit after tax in the Aud ited,,million VND,normalized from python-native pdf table cells; no OCR
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_7f82e3a18a6d115b.pdf,7f82e3a18a6d115b2a412a78ec3d38a0e27528317e327a4ddc4eea61203d3b7a,94,pdfplumber,1,58,"(Vietnam) Limited. | Accor | dingly, the n | et profit after tax | of the | audited Consol | idate | d financial","(Vietnam) Limited. Accor dingly, the n et profit after tax of the audited Consol idate d financial",,million VND,normalized from python-native pdf table cells; no OCR
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_7f82e3a18a6d115b.pdf,7f82e3a18a6d115b2a412a78ec3d38a0e27528317e327a4ddc4eea61203d3b7a,94,pdfplumber,1,75,T (+84) 28 3910 2828 F | (+84) 2 | 8 3910 2929 w | ww.ptsc.com.vn,,28 391|0 282|8 391|0 292,million VND,normalized from python-native pdf table cells; no OCR
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_7f82e3a18a6d115b.pdf,7f82e3a18a6d115b2a412a78ec3d38a0e27528317e327a4ddc4eea61203d3b7a,95,pdfplumber,1,5,statement for | the 4t | h Qua | rter of 2 | 024. Th | ese changes are | primarily | due to PTSC | finalizing,statement for the 4t h Qua rter of 2,024,million VND,normalized from python-native pdf table cells; no OCR
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_7f82e3a18a6d115b.pdf,7f82e3a18a6d115b2a412a78ec3d38a0e27528317e327a4ddc4eea61203d3b7a,95,pdfplumber,1,9,revenue and | expens | e item | s based | on the f | inalized values | and adjust | ments accordi | ng to the,revenue and expens e item s based on the f inalized values and adjust ments accordi ng to the,,million VND,normalized from python-native pdf table cells; no OCR
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_7f82e3a18a6d115b.pdf,7f82e3a18a6d115b2a412a78ec3d38a0e27528317e327a4ddc4eea61203d3b7a,95,pdfplumber,1,11,audited finan | cial sta | temen | t in 202 | 4 of sub | sidiaries.,audited finan cial sta temen,202,million VND,normalized from python-native pdf table cells; no OCR
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_7f82e3a18a6d115b.pdf,7f82e3a18a6d115b2a412a78ec3d38a0e27528317e327a4ddc4eea61203d3b7a,95,pdfplumber,1,17,"An inc | rease o | f 194, | 647 mill | ion VN | D, representing | a 18.36% r | ise compared | to the net",An inc rease o,194|647,million VND,normalized from python-native pdf table cells; no OCR
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_7f82e3a18a6d115b.pdf,7f82e3a18a6d115b2a412a78ec3d38a0e27528317e327a4ddc4eea61203d3b7a,95,pdfplumber,1,67,T (+84) 28 3910 | 2828 F | (+84) 2 | 8 3910 292 | 9 www. | ptsc.com.vn,,28 391|8 391|0 292,million VND,normalized from python-native pdf table cells; no OCR
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_fb734e773d9f5ba4.pdf,fb734e773d9f5ba43472bd2a2ec42bb7c95344dbf365546136fc4cd0f774c5b7,94,pdfplumber,1,14,profit after | tax | in the Aud | ited,profit after tax in the Aud ited,,million VND,normalized from python-native pdf table cells; no OCR
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_fb734e773d9f5ba4.pdf,fb734e773d9f5ba43472bd2a2ec42bb7c95344dbf365546136fc4cd0f774c5b7,94,pdfplumber,1,58,"(Vietnam) Limited. | Accor | dingly, the n | et profit after tax | of the | audited Consol | idate | d financial","(Vietnam) Limited. Accor dingly, the n et profit after tax of the audited Consol idate d financial",,million VND,normalized from python-native pdf table cells; no OCR
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_fb734e773d9f5ba4.pdf,fb734e773d9f5ba43472bd2a2ec42bb7c95344dbf365546136fc4cd0f774c5b7,94,pdfplumber,1,75,T (+84) 28 3910 2828 F | (+84) 2 | 8 3910 2929 w | ww.ptsc.com.vn,,28 391|0 282|8 391|0 292,million VND,normalized from python-native pdf table cells; no OCR
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_fb734e773d9f5ba4.pdf,fb734e773d9f5ba43472bd2a2ec42bb7c95344dbf365546136fc4cd0f774c5b7,95,pdfplumber,1,5,statement for | the 4t | h Qua | rter of 2 | 024. Th | ese changes are | primarily | due to PTSC | finalizing,statement for the 4t h Qua rter of 2,024,million VND,normalized from python-native pdf table cells; no OCR
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_fb734e773d9f5ba4.pdf,fb734e773d9f5ba43472bd2a2ec42bb7c95344dbf365546136fc4cd0f774c5b7,95,pdfplumber,1,9,revenue and | expens | e item | s based | on the f | inalized values | and adjust | ments accordi | ng to the,revenue and expens e item s based on the f inalized values and adjust ments accordi ng to the,,million VND,normalized from python-native pdf table cells; no OCR
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_fb734e773d9f5ba4.pdf,fb734e773d9f5ba43472bd2a2ec42bb7c95344dbf365546136fc4cd0f774c5b7,95,pdfplumber,1,11,audited finan | cial sta | temen | t in 202 | 4 of sub | sidiaries.,audited finan cial sta temen,202,million VND,normalized from python-native pdf table cells; no OCR
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_fb734e773d9f5ba4.pdf,fb734e773d9f5ba43472bd2a2ec42bb7c95344dbf365546136fc4cd0f774c5b7,95,pdfplumber,1,17,"An inc | rease o | f 194, | 647 mill | ion VN | D, representing | a 18.36% r | ise compared | to the net",An inc rease o,194|647,million VND,normalized from python-native pdf table cells; no OCR
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_fb734e773d9f5ba4.pdf,fb734e773d9f5ba43472bd2a2ec42bb7c95344dbf365546136fc4cd0f774c5b7,95,pdfplumber,1,67,T (+84) 28 3910 | 2828 F | (+84) 2 | 8 3910 292 | 9 www. | ptsc.com.vn,,28 391|8 391|0 292,million VND,normalized from python-native pdf table cells; no OCR
