ticker,period,local_path,file_hash,page_count,backend,text_chars,table_count,extract_status,error,notes
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,46,pymupdf,99,0,TEXT_EXTRACTED,,python-native non-OCR extraction
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,46,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,46,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,43,pymupdf,164,0,TEXT_EXTRACTED,,python-native non-OCR extraction
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,43,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
KDH,2026-Q1,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,43,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2026-Q1,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,48,pymupdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2026-Q1,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,48,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2026-Q1,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,48,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2026-Q1,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,48,overall,0,0,SCANNED_OR_IMAGE_ONLY_REVIEW,,no non-OCR Python backend extracted usable text or tables
SSI,2026-Q1,data\raw\official_finance_documents\01ie\ssi_2026_q1_financial_statement_be5e66907904207a.pdf,be5e66907904207a2eabf7189b6bd3b94f31712019b20a1d377b12762cb7e462,75,pymupdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2026-Q1,data\raw\official_finance_documents\01ie\ssi_2026_q1_financial_statement_be5e66907904207a.pdf,be5e66907904207a2eabf7189b6bd3b94f31712019b20a1d377b12762cb7e462,75,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2026-Q1,data\raw\official_finance_documents\01ie\ssi_2026_q1_financial_statement_be5e66907904207a.pdf,be5e66907904207a2eabf7189b6bd3b94f31712019b20a1d377b12762cb7e462,75,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2026-Q1,data\raw\official_finance_documents\01ie\ssi_2026_q1_financial_statement_be5e66907904207a.pdf,be5e66907904207a2eabf7189b6bd3b94f31712019b20a1d377b12762cb7e462,75,overall,0,0,SCANNED_OR_IMAGE_ONLY_REVIEW,,no non-OCR Python backend extracted usable text or tables
NLG,2025-Q4,data\raw\official_finance_documents\01ie\nlg_2025_q4_financial_statement_dc2f591d86825eb6.pdf,dc2f591d86825eb6a725b08147bf4e26c047f858f599d57108da4c73738c2268,48,pymupdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2025-Q4,data\raw\official_finance_documents\01ie\nlg_2025_q4_financial_statement_dc2f591d86825eb6.pdf,dc2f591d86825eb6a725b08147bf4e26c047f858f599d57108da4c73738c2268,48,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2025-Q4,data\raw\official_finance_documents\01ie\nlg_2025_q4_financial_statement_dc2f591d86825eb6.pdf,dc2f591d86825eb6a725b08147bf4e26c047f858f599d57108da4c73738c2268,48,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2025-Q4,data\raw\official_finance_documents\01ie\nlg_2025_q4_financial_statement_dc2f591d86825eb6.pdf,dc2f591d86825eb6a725b08147bf4e26c047f858f599d57108da4c73738c2268,48,overall,0,0,SCANNED_OR_IMAGE_ONLY_REVIEW,,no non-OCR Python backend extracted usable text or tables
PVS,2025-Q4,data\raw\official_finance_documents\01ie\pvs_2025_q4_financial_statement_37e86358f3dcdfe4.pdf,37e86358f3dcdfe45fc887f401edd21e4f0f9b27f531451e04c6c3592f108fa4,105,pymupdf,3839,0,TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025-Q4,data\raw\official_finance_documents\01ie\pvs_2025_q4_financial_statement_37e86358f3dcdfe4.pdf,37e86358f3dcdfe45fc887f401edd21e4f0f9b27f531451e04c6c3592f108fa4,105,pdfplumber,5593,0,TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025-Q4,data\raw\official_finance_documents\01ie\pvs_2025_q4_financial_statement_37e86358f3dcdfe4.pdf,37e86358f3dcdfe45fc887f401edd21e4f0f9b27f531451e04c6c3592f108fa4,105,pypdf,3982,0,TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2025-Q4,data\raw\official_finance_documents\01ie\ssi_2025_q4_financial_statement_8e274d934023ff51.pdf,8e274d934023ff5129a99729f181b75df47dafda50ee26d831979466ae432d22,75,pymupdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2025-Q4,data\raw\official_finance_documents\01ie\ssi_2025_q4_financial_statement_8e274d934023ff51.pdf,8e274d934023ff5129a99729f181b75df47dafda50ee26d831979466ae432d22,75,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2025-Q4,data\raw\official_finance_documents\01ie\ssi_2025_q4_financial_statement_8e274d934023ff51.pdf,8e274d934023ff5129a99729f181b75df47dafda50ee26d831979466ae432d22,75,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2025-Q4,data\raw\official_finance_documents\01ie\ssi_2025_q4_financial_statement_8e274d934023ff51.pdf,8e274d934023ff5129a99729f181b75df47dafda50ee26d831979466ae432d22,75,overall,0,0,SCANNED_OR_IMAGE_ONLY_REVIEW,,no non-OCR Python backend extracted usable text or tables
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_81c6aae9cf6573bc.pdf,81c6aae9cf6573bc8bc726488e9abd5303ef51d242670241663ec29589d38670,70,pymupdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_81c6aae9cf6573bc.pdf,81c6aae9cf6573bc8bc726488e9abd5303ef51d242670241663ec29589d38670,70,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_81c6aae9cf6573bc.pdf,81c6aae9cf6573bc8bc726488e9abd5303ef51d242670241663ec29589d38670,70,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_81c6aae9cf6573bc.pdf,81c6aae9cf6573bc8bc726488e9abd5303ef51d242670241663ec29589d38670,70,overall,0,0,SCANNED_OR_IMAGE_ONLY_REVIEW,,no non-OCR Python backend extracted usable text or tables
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_7f82e3a18a6d115b.pdf,7f82e3a18a6d115b2a412a78ec3d38a0e27528317e327a4ddc4eea61203d3b7a,95,pymupdf,5076,0,TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_7f82e3a18a6d115b.pdf,7f82e3a18a6d115b2a412a78ec3d38a0e27528317e327a4ddc4eea61203d3b7a,95,pdfplumber,7490,0,TEXT_EXTRACTED,,python-native non-OCR extraction
