ticker,period,period_type,source_document_type,source_url,final_url,local_path,file_hash,page_number,text_length,normalized_text_length,digit_count,numeric_token_count,numeric_density,money_unit_hits,finance_keyword_hits,negative_keyword_hits,candidate_score,candidate_status,reject_reason,text_preview
FPT,2026-Q1,quarter,annual_report,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,1,100,90,18,1,0.0455,0,0,0,1.35,REJECTED_PAGE,LOW_NUMERIC_TOKEN_COUNT,CÔNG TY CỔ PHẦN FPT Digitally signed by CÔNG TY CỔ PHẦN FPT Date: 2026.04.24 18:26:49 +07'00'
FPT,2026-Q1,quarter,annual_report,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,2,0,0,0,0,0.0,0,0,0,1.0,REJECTED_PAGE,TEXT_TOO_SPARSE_FOR_NUMERIC_TABLE_DUMP,
FPT,2026-Q1,quarter,annual_report,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,3,0,0,0,0,0.0,0,0,0,1.0,REJECTED_PAGE,TEXT_TOO_SPARSE_FOR_NUMERIC_TABLE_DUMP,
FPT,2026-Q1,quarter,annual_report,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,4,0,0,0,0,0.0,0,0,0,1.0,REJECTED_PAGE,TEXT_TOO_SPARSE_FOR_NUMERIC_TABLE_DUMP,
FPT,2026-Q1,quarter,annual_report,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,5,0,0,0,0,0.0,0,0,0,1.0,REJECTED_PAGE,TEXT_TOO_SPARSE_FOR_NUMERIC_TABLE_DUMP,
FPT,2026-Q1,quarter,annual_report,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,6,0,0,0,0,0.0,0,0,0,1.0,REJECTED_PAGE,TEXT_TOO_SPARSE_FOR_NUMERIC_TABLE_DUMP,
FPT,2026-Q1,quarter,annual_report,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,7,0,0,0,0,0.0,0,0,0,1.0,REJECTED_PAGE,TEXT_TOO_SPARSE_FOR_NUMERIC_TABLE_DUMP,
FPT,2026-Q1,quarter,annual_report,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,8,0,0,0,0,0.0,0,0,0,1.0,REJECTED_PAGE,TEXT_TOO_SPARSE_FOR_NUMERIC_TABLE_DUMP,
FPT,2026-Q1,quarter,annual_report,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,9,0,0,0,0,0.0,0,0,0,1.0,REJECTED_PAGE,TEXT_TOO_SPARSE_FOR_NUMERIC_TABLE_DUMP,
FPT,2026-Q1,quarter,annual_report,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,10,0,0,0,0,0.0,0,0,0,1.0,REJECTED_PAGE,TEXT_TOO_SPARSE_FOR_NUMERIC_TABLE_DUMP,
