ticker,period,period_type,source_document_type,source_url,final_url,local_path,file_hash,page_number,table_index,row_count,col_count,numeric_cell_count,numeric_cell_ratio,finance_anchor_hits,money_unit_hits,table_score,table_status,reject_reason,table_preview
PVS,2025-Q4,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/BCTC Hop nhat Q4 2025_web.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/BCTC%20Hop%20nhat%20Q4%202025_web.pdf,data\raw\official_finance_documents\01ie\pvs_2025_q4_financial_statement_37e86358f3dcdfe4.pdf,37e86358f3dcdfe45fc887f401edd21e4f0f9b27f531451e04c6c3592f108fa4,104,1,41,7,10,0.0448,1,2,17.4484,REJECTED_TABLE,GARBLED_PDF_TEXT,(cid:1200)P (cid:264)OÀN CÔNG | NGHI(cid:1226)P – | N(cid:258)NG L(cid:1132)(cid:1254) | NG C(cid:1244)NG HÒA | XÃ H | (cid:1244)I CH(cid:1258) NGH(cid:428)A | VI(cid:1226)T NA | QU(cid:1236)C | GIA VI(cid:1226)T | NAM | (cid:264)(cid:1245) | c l(cid:1201)p - | T(cid:1269) do - H(cid:1189)nh ph | úc | T(cid:1240)NG C | ÔNG TY C | (cid:1240) PH(cid:1194)N | D(cid:1230)CH V(cid:1256) K(cid:1274) TH
PVS,2025-Q4,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/BCTC Hop nhat Q4 2025_web.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/BCTC%20Hop%20nhat%20Q4%202025_web.pdf,data\raw\official_finance_documents\01ie\pvs_2025_q4_financial_statement_37e86358f3dcdfe4.pdf,37e86358f3dcdfe45fc887f401edd21e4f0f9b27f531451e04c6c3592f108fa4,105,1,20,8,1,0.0098,0,0,1.098,REJECTED_TABLE,GARBLED_PDF_TEXT,"Business | performa | nce | acros | s core service | segments, | including Mecha | nical and | construction; S | upply ba | se | servi | ces; Transpo | rtation, ins | tallation, opera | tion and | maintenance for | offshore f"
PVS,2025,annual,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC Hop nhat nam 2024_SKT.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC%20Hop%20nhat%20nam%202024_SKT.pdf,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_7f82e3a18a6d115b.pdf,7f82e3a18a6d115b2a412a78ec3d38a0e27528317e327a4ddc4eea61203d3b7a,94,1,44,8,10,0.0388,1,2,17.3876,REJECTED_TABLE,GARBLED_PDF_TEXT,T(cid:1200)P (cid:264) | OÀN | D(cid:1194)U KHÍ | C(cid:1244)NG HÒA | XÃ H | (cid:1244)I CH(cid:1258) NGH(cid:428) | A VI | (cid:1226)T NAM | QU(cid:1236)C | GIA V | I(cid:1226)T NAM | (cid:264)(cid:1245)c | l(cid:1201)p - | T(cid:1269) do - H(cid:1189)nh p | húc | T(cid:1240)NG C | ÔNG T | Y C(cid:1240) PH(cid:1194)N
PVS,2025,annual,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC Hop nhat nam 2024_SKT.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC%20Hop%20nhat%20nam%202024_SKT.pdf,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_7f82e3a18a6d115b.pdf,7f82e3a18a6d115b2a412a78ec3d38a0e27528317e327a4ddc4eea61203d3b7a,95,1,36,9,12,0.0498,2,2,22.4979,REJECTED_TABLE,GARBLED_PDF_TEXT,"A decrea | se of 1 | 56,94 | 4 millio | n VND, | equivalent to a | reduction o | f 11.12% com | pared to | the accumula | ted ne | t prof | it after | tax in | 2024, as repor | ted in the | consolidated | financial"
PVS,2025,annual,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC Hop nhat nam 2024_SKT_EN.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC%20Hop%20nhat%20nam%202024_SKT_EN.pdf,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_fb734e773d9f5ba4.pdf,fb734e773d9f5ba43472bd2a2ec42bb7c95344dbf365546136fc4cd0f774c5b7,94,1,44,8,10,0.0388,1,2,17.3876,REJECTED_TABLE,GARBLED_PDF_TEXT,T(cid:1200)P (cid:264) | OÀN | D(cid:1194)U KHÍ | C(cid:1244)NG HÒA | XÃ H | (cid:1244)I CH(cid:1258) NGH(cid:428) | A VI | (cid:1226)T NAM | QU(cid:1236)C | GIA V | I(cid:1226)T NAM | (cid:264)(cid:1245)c | l(cid:1201)p - | T(cid:1269) do - H(cid:1189)nh p | húc | T(cid:1240)NG C | ÔNG T | Y C(cid:1240) PH(cid:1194)N
PVS,2025,annual,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC Hop nhat nam 2024_SKT_EN.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC%20Hop%20nhat%20nam%202024_SKT_EN.pdf,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_fb734e773d9f5ba4.pdf,fb734e773d9f5ba43472bd2a2ec42bb7c95344dbf365546136fc4cd0f774c5b7,95,1,36,9,12,0.0498,2,2,22.4979,REJECTED_TABLE,GARBLED_PDF_TEXT,"A decrea | se of 1 | 56,94 | 4 millio | n VND, | equivalent to a | reduction o | f 11.12% com | pared to | the accumula | ted ne | t prof | it after | tax in | 2024, as repor | ted in the | consolidated | financial"
PVS,2025-Q2,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/BCTC Q2_Webiste.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/BCTC%20Q2_Webiste.pdf,data\raw\official_finance_documents\01ie\pvs_2025_q2_financial_statement_4b78ed50d5120d57.pdf,4b78ed50d5120d5774dd26b50cda33e33fa1125959ccabc0f942c5328387638b,98,1,42,12,10,0.0301,1,0,13.3012,REJECTED_TABLE,GARBLED_PDF_TEXT,(cid:1200)P | (cid:264)OÀN CÔNG | NGHI(cid:1226)P – | N(cid:258)N | G L(cid:1132)(cid:1254)NG | C(cid:1244)NG | HÒA | XÃ H | (cid:1244)I CH(cid:1258) NG | H(cid:428)A | VI(cid:1226)T NAM | QU(cid:1236)C | GIA VI(cid:1226)T N | AM | (cid:264)(cid:1245) | c l(cid:1201)p - | T(cid:1269) do - H(cid:1189)n | h ph
PVS,2025-Q2,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/BCTC Q2_Webiste.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/BCTC%20Q2_Webiste.pdf,data\raw\official_finance_documents\01ie\pvs_2025_q2_financial_statement_4b78ed50d5120d57.pdf,4b78ed50d5120d5774dd26b50cda33e33fa1125959ccabc0f942c5328387638b,99,1,12,5,1,0.025,0,0,1.25,REJECTED_TABLE,GARBLED_PDF_TEXT,"T(cid:1241)n | g công ty | C(cid:1241) ph(cid:1195)n D(cid:1231)c | h v(cid:1257) K(cid:1275) thu(cid:1201)t D(cid:1195)u k | hí Vi(cid:1227)t Nam | Petr | oVietnam | Technical Se | rvices Corporation | respectfully | N(cid:751)i nh | (cid:821)n: | KT. | - Nh(cid:1133) t | rên; | PHÓ | - BKS, | H(cid:264)QT;"
PVS,2026-Q1,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/658 PTSC-BTK.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/658%20PTSC-BTK.pdf,data\raw\official_finance_documents\01ie\pvs_2026_q1_financial_statement_163b34a26aa6ccc7.pdf,163b34a26aa6ccc732ee81f04ce116457ab7c375094f231c2cbc2f66093c091e,1,1,42,10,6,0.0199,0,0,3.1993,REJECTED_TABLE,LOW_NUMERIC_CELL_COUNT,ĐO | ÀN | C | ÔNG NGHIỆP | – NĂNG LƯỢNG | CỘN | G HÒA | XÃ HỘI | CHỦ NGHĨA V | IỆT NAM | Q | UỐC GIA VIỆT | NAM | Độ | c lập - Tự | do - Hạnh ph | úc | TỔ
PVS,2026-Q1,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/658 PTSC-BTK.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/658%20PTSC-BTK.pdf,data\raw\official_finance_documents\01ie\pvs_2026_q1_financial_statement_163b34a26aa6ccc7.pdf,163b34a26aa6ccc732ee81f04ce116457ab7c375094f231c2cbc2f66093c091e,2,1,36,9,4,0.0183,1,0,2.6835,REJECTED_TABLE,LOW_NUMERIC_CELL_COUNT,corporate inc | ome t | ax in the inc | ome stat | ement o | f The C | onsoli | dated Financial | Statements | changes by 10 | % or | more compa | red to th | e same | period | report | of the previous y | ear.
