ticker,period,field_name,issue,manual_review_required,notes
FPT,2026-Q1,revenue,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
FPT,2026-Q1,gross_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
FPT,2026-Q1,operating_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
FPT,2026-Q1,net_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
FPT,2026-Q1,total_assets,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
FPT,2026-Q1,total_liabilities,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
FPT,2026-Q1,equity,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
FPT,2026-Q1,cash,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
FPT,2026-Q1,short_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
FPT,2026-Q1,long_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
FPT,2026-Q1,operating_cash_flow,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
FPT,2026-Q1,inventory,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
KDH,2026-Q1,revenue,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
KDH,2026-Q1,gross_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
KDH,2026-Q1,operating_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
KDH,2026-Q1,net_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
KDH,2026-Q1,total_assets,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
KDH,2026-Q1,total_liabilities,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
KDH,2026-Q1,equity,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
KDH,2026-Q1,cash,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
KDH,2026-Q1,short_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
KDH,2026-Q1,long_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
KDH,2026-Q1,operating_cash_flow,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
KDH,2026-Q1,inventory,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2026-Q1,revenue,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2026-Q1,gross_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2026-Q1,operating_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2026-Q1,net_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2026-Q1,total_assets,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2026-Q1,total_liabilities,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2026-Q1,equity,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2026-Q1,cash,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2026-Q1,short_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2026-Q1,long_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2026-Q1,operating_cash_flow,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2026-Q1,inventory,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2026-Q1,revenue,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2026-Q1,gross_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2026-Q1,operating_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2026-Q1,net_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2026-Q1,total_assets,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2026-Q1,total_liabilities,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2026-Q1,equity,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2026-Q1,cash,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2026-Q1,short_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2026-Q1,long_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2026-Q1,operating_cash_flow,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2026-Q1,inventory,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q4,revenue,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q4,gross_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q4,operating_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q4,net_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q4,total_assets,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q4,total_liabilities,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q4,equity,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q4,cash,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q4,short_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q4,long_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q4,operating_cash_flow,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q4,inventory,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q4,revenue,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q4,gross_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q4,operating_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q4,net_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q4,total_assets,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q4,total_liabilities,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q4,equity,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q4,cash,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q4,short_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q4,long_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q4,operating_cash_flow,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025-Q4,inventory,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q4,revenue,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q4,gross_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q4,operating_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q4,net_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q4,total_assets,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q4,total_liabilities,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q4,equity,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q4,cash,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q4,short_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q4,long_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q4,operating_cash_flow,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
SSI,2025-Q4,inventory,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025,revenue,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025,gross_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025,operating_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025,net_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025,total_assets,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025,total_liabilities,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025,equity,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025,cash,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025,short_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025,long_term_debt,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025,operating_cash_flow,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
PVS,2025,inventory,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q3,revenue,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q3,gross_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q3,operating_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
NLG,2025-Q3,net_profit,FIELD_NOT_FOUND,True,missing field was not inferred or zero-filled
