ticker,period,local_path,file_hash,page_count,backend,text_chars,table_count,extract_status,error,notes
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,46,pymupdf,99,0,TEXT_EXTRACTED,,python-native non-OCR extraction
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,46,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,46,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,46,pdfplumber_numeric_table_dump,100,0,NO_TABLES_EXTRACTED,,raw table extraction for numeric evidence dump; no OCR
NLG,2026-Q1,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,48,pymupdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2026-Q1,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,48,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2026-Q1,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,48,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2026-Q1,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,48,overall,0,0,SCANNED_OR_IMAGE_ONLY_REVIEW,,no non-OCR Python backend extracted usable text or tables
NLG,2026-Q1,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,48,pdfplumber_numeric_table_dump,0,0,NO_TABLES_EXTRACTED,,raw table extraction for numeric evidence dump; no OCR
SSI,2026-Q1,data\raw\official_finance_documents\01ie\ssi_2026_q1_financial_statement_be5e66907904207a.pdf,be5e66907904207a2eabf7189b6bd3b94f31712019b20a1d377b12762cb7e462,75,pymupdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2026-Q1,data\raw\official_finance_documents\01ie\ssi_2026_q1_financial_statement_be5e66907904207a.pdf,be5e66907904207a2eabf7189b6bd3b94f31712019b20a1d377b12762cb7e462,75,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2026-Q1,data\raw\official_finance_documents\01ie\ssi_2026_q1_financial_statement_be5e66907904207a.pdf,be5e66907904207a2eabf7189b6bd3b94f31712019b20a1d377b12762cb7e462,75,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2026-Q1,data\raw\official_finance_documents\01ie\ssi_2026_q1_financial_statement_be5e66907904207a.pdf,be5e66907904207a2eabf7189b6bd3b94f31712019b20a1d377b12762cb7e462,75,overall,0,0,SCANNED_OR_IMAGE_ONLY_REVIEW,,no non-OCR Python backend extracted usable text or tables
SSI,2026-Q1,data\raw\official_finance_documents\01ie\ssi_2026_q1_financial_statement_be5e66907904207a.pdf,be5e66907904207a2eabf7189b6bd3b94f31712019b20a1d377b12762cb7e462,75,pdfplumber_numeric_table_dump,0,0,NO_TABLES_EXTRACTED,,raw table extraction for numeric evidence dump; no OCR
PVS,2026-Q1,data\raw\official_finance_documents\01ie\pvs_2026_q1_financial_statement_163b34a26aa6ccc7.pdf,163b34a26aa6ccc732ee81f04ce116457ab7c375094f231c2cbc2f66093c091e,119,pymupdf,17863,0,TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2026-Q1,data\raw\official_finance_documents\01ie\pvs_2026_q1_financial_statement_163b34a26aa6ccc7.pdf,163b34a26aa6ccc732ee81f04ce116457ab7c375094f231c2cbc2f66093c091e,119,pdfplumber,19956,0,TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2026-Q1,data\raw\official_finance_documents\01ie\pvs_2026_q1_financial_statement_163b34a26aa6ccc7.pdf,163b34a26aa6ccc732ee81f04ce116457ab7c375094f231c2cbc2f66093c091e,119,pypdf,18896,0,TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2026-Q1,data\raw\official_finance_documents\01ie\pvs_2026_q1_financial_statement_163b34a26aa6ccc7.pdf,163b34a26aa6ccc732ee81f04ce116457ab7c375094f231c2cbc2f66093c091e,119,pdfplumber_numeric_table_dump,18102,4,TABLES_EXTRACTED,,raw table extraction for numeric evidence dump; no OCR
NLG,2026,data\raw\official_finance_documents\01ie\nlg_2026_financial_statement_30c127471ae5b412.pdf,30c127471ae5b412126932996a2429debb86537f6ed2244376d45dd2993c8a21,64,pymupdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2026,data\raw\official_finance_documents\01ie\nlg_2026_financial_statement_30c127471ae5b412.pdf,30c127471ae5b412126932996a2429debb86537f6ed2244376d45dd2993c8a21,64,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2026,data\raw\official_finance_documents\01ie\nlg_2026_financial_statement_30c127471ae5b412.pdf,30c127471ae5b412126932996a2429debb86537f6ed2244376d45dd2993c8a21,64,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2026,data\raw\official_finance_documents\01ie\nlg_2026_financial_statement_30c127471ae5b412.pdf,30c127471ae5b412126932996a2429debb86537f6ed2244376d45dd2993c8a21,64,overall,0,0,SCANNED_OR_IMAGE_ONLY_REVIEW,,no non-OCR Python backend extracted usable text or tables
NLG,2026,data\raw\official_finance_documents\01ie\nlg_2026_financial_statement_30c127471ae5b412.pdf,30c127471ae5b412126932996a2429debb86537f6ed2244376d45dd2993c8a21,64,pdfplumber_numeric_table_dump,0,0,NO_TABLES_EXTRACTED,,raw table extraction for numeric evidence dump; no OCR
SSI,2026,data\raw\official_finance_documents\01ie\ssi_2026_financial_statement_406da3dfc1130da4.pdf,406da3dfc1130da4c47b4e08c81c7ab1fd82a8e0bbe225af08b6fcb62cb91625,102,pymupdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2026,data\raw\official_finance_documents\01ie\ssi_2026_financial_statement_406da3dfc1130da4.pdf,406da3dfc1130da4c47b4e08c81c7ab1fd82a8e0bbe225af08b6fcb62cb91625,102,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2026,data\raw\official_finance_documents\01ie\ssi_2026_financial_statement_406da3dfc1130da4.pdf,406da3dfc1130da4c47b4e08c81c7ab1fd82a8e0bbe225af08b6fcb62cb91625,102,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
SSI,2026,data\raw\official_finance_documents\01ie\ssi_2026_financial_statement_406da3dfc1130da4.pdf,406da3dfc1130da4c47b4e08c81c7ab1fd82a8e0bbe225af08b6fcb62cb91625,102,overall,0,0,SCANNED_OR_IMAGE_ONLY_REVIEW,,no non-OCR Python backend extracted usable text or tables
SSI,2026,data\raw\official_finance_documents\01ie\ssi_2026_financial_statement_406da3dfc1130da4.pdf,406da3dfc1130da4c47b4e08c81c7ab1fd82a8e0bbe225af08b6fcb62cb91625,102,pdfplumber_numeric_table_dump,0,0,NO_TABLES_EXTRACTED,,raw table extraction for numeric evidence dump; no OCR
PVS,2026,data\raw\official_finance_documents\01ie\pvs_2026_financial_statement_f9c385f606f89a8f.pdf,f9c385f606f89a8ffa2cd28d3b4a9f4fac881953e27fb9c862e150f35fbe878f,146,pymupdf,15422,0,TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2026,data\raw\official_finance_documents\01ie\pvs_2026_financial_statement_f9c385f606f89a8f.pdf,f9c385f606f89a8ffa2cd28d3b4a9f4fac881953e27fb9c862e150f35fbe878f,146,pdfplumber,14996,0,TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2026,data\raw\official_finance_documents\01ie\pvs_2026_financial_statement_f9c385f606f89a8f.pdf,f9c385f606f89a8ffa2cd28d3b4a9f4fac881953e27fb9c862e150f35fbe878f,146,pypdf,15406,0,TEXT_EXTRACTED,,python-native non-OCR extraction
