ticker,primary_source_family,primary_last_price_date,primary_last_close,provider_name,source_family,candidate_independent_from_primary,provider_last_price_date,provider_last_close,price_date_gap_days,price_abs_diff,price_pct_diff,provider_is_current_enough,comparison_status,manual_review_flag
VIX,vnstock_vci,2026-06-11,16.85,vnstock,vnstock_vci,False,2026-06-11,16.85,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
VND,vnstock_vci,2026-06-11,17.2,vnstock,vnstock_vci,False,2026-06-11,17.2,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
VSC,vnstock_vci,2026-06-11,18.45,vnstock,vnstock_vci,False,2026-06-11,18.45,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
VGI,vnstock_vci,2026-06-11,89.4,vnstock,vnstock_vci,False,2026-06-11,89.4,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
VCG,vnstock_vci,2026-06-11,19.6,vnstock,vnstock_vci,False,2026-06-11,19.6,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
VNM,vnstock_vci,2026-06-11,59.2,vnstock,vnstock_vci,False,2026-06-11,59.2,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
TVN,vnstock_vci,2026-06-11,11.6,vnstock,vnstock_vci,False,2026-06-11,11.6,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
VJC,vnstock_vci,2026-06-11,177.5,vnstock,vnstock_vci,False,2026-06-11,177.5,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
VTZ,vnstock_vci,2026-06-11,20.5,vnstock,vnstock_vci,False,2026-06-11,20.5,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
YEG,vnstock_vci,2026-06-11,8.53,vnstock,vnstock_vci,False,2026-06-11,8.53,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
VCI,vnstock_vci,2026-06-11,23.4,vnstock,vnstock_vci,False,2026-06-11,23.4,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
VFS,vnstock_vci,2026-06-11,10.3,vnstock,vnstock_vci,False,2026-06-11,10.3,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
VDS,vnstock_vci,2026-06-11,13.85,vnstock,vnstock_vci,False,2026-06-11,13.85,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
VIG,vnstock_vci,2026-06-11,4.4,vnstock,vnstock_vci,False,2026-06-11,4.4,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
TVS,vnstock_vci,2026-06-11,12.95,vnstock,vnstock_vci,False,2026-06-11,12.95,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
VRE,vnstock_vci,2026-06-11,29.15,vnstock,vnstock_vci,False,2026-06-11,29.15,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
VNE,vnstock_vci,2026-06-11,3.01,vnstock,vnstock_vci,False,2026-06-11,3.01,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
VOS,vnstock_vci,2026-06-11,11.8,vnstock,vnstock_vci,False,2026-06-11,11.8,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
VTP,vnstock_vci,2026-06-11,64.0,vnstock,vnstock_vci,False,2026-06-11,64.0,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
TLH,vnstock_vci,2026-06-11,4.38,vnstock,vnstock_vci,False,2026-06-11,4.38,0,0.0,0.0,True,NOT_INDEPENDENT_SAME_SOURCE_FAMILY,False
VIX,vnstock_vci,2026-06-11,16.85,vnquant,cafef_structured_or_market,True,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
VIX,vnstock_vci,2026-06-11,16.85,vnquant,vndirect_market,True,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
VND,vnstock_vci,2026-06-11,17.2,vnquant,cafef_structured_or_market,True,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
VND,vnstock_vci,2026-06-11,17.2,vnquant,vndirect_market,True,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
VSC,vnstock_vci,2026-06-11,18.45,vnquant,cafef_structured_or_market,True,,,,,,False,FETCH_SKIPPED_NETWORK_DISABLED,False
