ticker,provider_name,source_family,attempt_status,network_used,cache_used,fetch_attempted,fetch_error_type,fetch_error_message,rows_returned,last_price_date,last_close,avg_volume_20d,avg_volume_60d,raw_cache_path
VIX,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,16.85,37589135.0,38012534.3167,
VND,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,17.2,19177213.55,13594958.6667,
VSC,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,18.45,3310805.0,4819121.6667,
VGI,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,89.4,811425.0,749600.0,
VCG,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,19.6,3771185.0,8778986.6667,
VNM,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,59.2,2920120.0,3562053.3333,
TVN,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,11.6,1312470.0,792523.3333,
VJC,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,177.5,1103555.0,1256716.6667,
VTZ,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,20.5,1022065.0,1063093.3333,
YEG,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,8.53,652105.35,924037.0,
VCI,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,23.4,6277985.0,8458236.95,
VFS,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,10.3,1456764.5,1405374.4,
VDS,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,13.85,496080.0,672768.3333,
VIG,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,4.4,46965.0,61148.3333,
TVS,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,12.95,44445.0,66781.6667,
VRE,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,29.15,5038620.0,6965415.0,
VNE,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,3.01,1593910.0,844325.0,
VOS,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,11.8,655025.0,1005491.6667,
VTP,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,64.0,559980.0,539107.8333,
TLH,vnstock,vnstock_vci,PRIMARY_REFERENCE_ONLY,False,False,False,,,1,2026-06-11,4.38,157870.0,181486.6667,
VIX,vnquant,cafef_structured_or_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VIX,vnquant,vndirect_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VND,vnquant,cafef_structured_or_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VND,vnquant,vndirect_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VSC,vnquant,cafef_structured_or_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VSC,vnquant,vndirect_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VGI,vnquant,cafef_structured_or_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VGI,vnquant,vndirect_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
