ticker,source_family,provider_count,current_observation_count,current_match_with_primary_count,independent_current_confirmation,independence_reason,confidence_contribution
TLH,cafef_structured_or_market,1,0,0,False,No current observation was available.,NO_CURRENT_CONFIDENCE_UPGRADE
TLH,static_github_historical,1,0,0,False,Static historical fallback is not current confirmation.,NO_CURRENT_CONFIDENCE_UPGRADE
TLH,unknown_brokerage_api,1,0,0,False,Source-family is not cleared as independent from vnstock VCI.,NO_CURRENT_CONFIDENCE_UPGRADE
TLH,vndirect_market,1,0,0,False,No current observation was available.,NO_CURRENT_CONFIDENCE_UPGRADE
TLH,vnstock_vci,1,1,0,False,Same primary source-family as vnstock VCI; not independent.,NO_CURRENT_CONFIDENCE_UPGRADE
TVN,cafef_structured_or_market,1,0,0,False,No current observation was available.,NO_CURRENT_CONFIDENCE_UPGRADE
TVN,static_github_historical,1,0,0,False,Static historical fallback is not current confirmation.,NO_CURRENT_CONFIDENCE_UPGRADE
TVN,unknown_brokerage_api,1,0,0,False,Source-family is not cleared as independent from vnstock VCI.,NO_CURRENT_CONFIDENCE_UPGRADE
TVN,vndirect_market,1,0,0,False,No current observation was available.,NO_CURRENT_CONFIDENCE_UPGRADE
TVN,vnstock_vci,1,1,0,False,Same primary source-family as vnstock VCI; not independent.,NO_CURRENT_CONFIDENCE_UPGRADE
TVS,cafef_structured_or_market,1,0,0,False,No current observation was available.,NO_CURRENT_CONFIDENCE_UPGRADE
TVS,static_github_historical,1,0,0,False,Static historical fallback is not current confirmation.,NO_CURRENT_CONFIDENCE_UPGRADE
TVS,unknown_brokerage_api,1,0,0,False,Source-family is not cleared as independent from vnstock VCI.,NO_CURRENT_CONFIDENCE_UPGRADE
TVS,vndirect_market,1,0,0,False,No current observation was available.,NO_CURRENT_CONFIDENCE_UPGRADE
TVS,vnstock_vci,1,1,0,False,Same primary source-family as vnstock VCI; not independent.,NO_CURRENT_CONFIDENCE_UPGRADE
VCG,cafef_structured_or_market,1,0,0,False,No current observation was available.,NO_CURRENT_CONFIDENCE_UPGRADE
VCG,static_github_historical,1,0,0,False,Static historical fallback is not current confirmation.,NO_CURRENT_CONFIDENCE_UPGRADE
VCG,unknown_brokerage_api,1,0,0,False,Source-family is not cleared as independent from vnstock VCI.,NO_CURRENT_CONFIDENCE_UPGRADE
VCG,vndirect_market,1,0,0,False,No current observation was available.,NO_CURRENT_CONFIDENCE_UPGRADE
