ticker,provider_name,source_family,provider_last_price_date,provider_last_close,provider_avg_volume_20d,provider_avg_volume_60d,provider_trading_days_60d,raw_adjustment_status,raw_or_adjusted_price,observation_status,source_url_or_endpoint_family
VIX,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
VND,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
VSC,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
VGI,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
VCG,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
VNM,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
TVN,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
VJC,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
VTZ,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
YEG,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
VCI,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
VFS,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
VDS,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
VIG,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
TVS,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
VRE,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
VNE,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
VOS,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
VTP,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
TLH,vnquant,cafef_structured_or_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_cafef
VIX,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
VND,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
VSC,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
VGI,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
VCG,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
VNM,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
TVN,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
VJC,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
VTZ,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
YEG,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
VCI,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
VFS,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
VDS,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
VIG,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
TVS,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
VRE,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
VNE,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
VOS,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
VTP,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
TLH,vnquant,vndirect_market,,,,,,,,NO_PROVIDER_OBSERVATION,vnquant_vndirect
VIX,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
VND,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
VSC,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
VGI,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
VCG,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
VNM,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
TVN,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
VJC,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
VTZ,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
YEG,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
VCI,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
VFS,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
VDS,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
VIG,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
TVS,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
VRE,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
VNE,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
VOS,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
VTP,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
TLH,vietfin,unknown_brokerage_api,,,,,,,,NO_PROVIDER_OBSERVATION,vietfin_unknown
VIX,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
VND,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
VSC,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
VGI,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
VCG,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
VNM,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
TVN,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
VJC,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
VTZ,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
YEG,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
VCI,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
VFS,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
VDS,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
VIG,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
TVS,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
VRE,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
VNE,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
VOS,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
VTP,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
TLH,vnstock_market_data,static_github_historical,,,,,,,,HISTORICAL_FALLBACK_ONLY,vnstock_market_data_static
