ticker,primary_source_family,primary_last_price_date,primary_last_close,source_family,provider_name,provider_last_price_date,provider_last_close,price_date_gap_days,price_abs_diff,price_pct_diff,provider_is_current_enough,candidate_independent_from_primary,comparison_status,confidence_contribution,manual_review_flag
VIX,vnstock_vci,2026-06-11,16.85,cafef_structured_or_market,vnquant,,,,,,False,True,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VND,vnstock_vci,2026-06-11,17.2,cafef_structured_or_market,vnquant,,,,,,False,True,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VSC,vnstock_vci,2026-06-11,18.45,cafef_structured_or_market,vnquant,,,,,,False,True,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VGI,vnstock_vci,2026-06-11,89.4,cafef_structured_or_market,vnquant,,,,,,False,True,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VCG,vnstock_vci,2026-06-11,19.6,cafef_structured_or_market,vnquant,,,,,,False,True,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VNM,vnstock_vci,2026-06-11,59.2,cafef_structured_or_market,vnquant,,,,,,False,True,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
TVN,vnstock_vci,2026-06-11,11.6,cafef_structured_or_market,vnquant,,,,,,False,True,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VJC,vnstock_vci,2026-06-11,177.5,cafef_structured_or_market,vnquant,,,,,,False,True,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VTZ,vnstock_vci,2026-06-11,20.5,cafef_structured_or_market,vnquant,,,,,,False,True,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
YEG,vnstock_vci,2026-06-11,8.53,cafef_structured_or_market,vnquant,,,,,,False,True,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VCI,vnstock_vci,2026-06-11,23.4,cafef_structured_or_market,vnquant,,,,,,False,True,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VFS,vnstock_vci,2026-06-11,10.3,cafef_structured_or_market,vnquant,,,,,,False,True,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
