ticker,rank,url,attempt_status,http_status,row_count,error
VIX,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VIX.csv,FETCHED,200,3362,
VND,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VND.csv,FETCHED,200,3298,
VCI,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VCI.csv,FETCHED,200,1495,
VFS,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VFS.csv,FETCHED,200,751,
VDS,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VDS.csv,FETCHED,200,3265,
VSC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VSC.csv,FETCHED,200,3855,
VIG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VIG.csv,FETCHED,200,3389,
TVS,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TVS.csv,FETCHED,200,2111,
VRE,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VRE.csv,FETCHED,200,1410,
VGI,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VGI.csv,FETCHED,200,1192,
VHM,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VHM.csv,FETCHED,200,1283,
VCG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VCG.csv,FETCHED,200,3696,
VNM,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VNM.csv,FETCHED,200,4347,
VIC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VIC.csv,FETCHED,200,3933,
VPI,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VPI.csv,FETCHED,200,1389,
TVB,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TVB.csv,FETCHED,200,2004,
WSS,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/WSS.csv,FETCHED,200,3379,
TVN,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TVN.csv,FETCHED,200,1863,
VC3,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VC3.csv,FETCHED,200,3877,
VJC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VJC.csv,FETCHED,200,1585,
VNE,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VNE.csv,FETCHED,200,3961,
VTZ,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VTZ.csv,FETCHED,200,397,
VOS,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VOS.csv,FETCHED,200,3197,
VTP,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VTP.csv,FETCHED,200,1148,
TLH,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TLH.csv,FETCHED,200,3318,
YEG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/YEG.csv,FETCHED,200,1255,
TTF,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TTF.csv,FETCHED,200,3833,
TIG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TIG.csv,FETCHED,200,3177,
VGC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VGC.csv,FETCHED,200,1917,
TNG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TNG.csv,FETCHED,200,3892,
VHC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VHC.csv,FETCHED,200,3865,
VGT,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VGT.csv,FETCHED,200,1622,
VEA,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VEA.csv,FETCHED,200,1251,
TV2,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TV2.csv,FETCHED,200,3417,
VPG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VPG.csv,FETCHED,200,1358,
TTA,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TTA.csv,FETCHED,200,695,
VGS,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VGS.csv,FETCHED,200,3637,
VTD,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VTD.csv,FETCHED,200,912,
TLD,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TLD.csv,FETCHED,200,1387,
VC7,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VC7.csv,FETCHED,200,3866,
VHE,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VHE.csv,FETCHED,200,1114,
VHG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VHG.csv,FETCHED,200,3836,
VTO,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VTO.csv,FETCHED,200,3919,
VIP,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VIP.csv,FETCHED,200,4115,
TVC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TVC.csv,FETCHED,200,2193,
TNI,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TNI.csv,FETCHED,200,1524,
TDP,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TDP.csv,FETCHED,200,1108,
TNT,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TNT.csv,FETCHED,200,3273,
