ticker,rank,exchange,sector_raw,legacy_last_close,public_last_close,legacy_last_price_date,public_last_price_date,legacy_avg_volume_20d,public_avg_volume_20d,legacy_avg_volume_60d,public_avg_volume_60d,price_abs_diff,price_relative_diff_pct,volume_60d_relative_diff_pct,price_crosscheck_status,volume_crosscheck_status,manual_review_required,reason
VIX,1,HOSE,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,,10800.0,,2023-06-30,,21138920.0,,18557321.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VND,2,HOSE,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,,18900.0,,2023-06-30,,34590290.0,,27268383.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VCI,3,HOSE,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,,36600.0,,2023-06-30,,5320650.0,,5030320.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VFS,4,HNX,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,,21400.0,,2023-06-30,,200220.0,,146956.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VDS,5,HOSE,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,,13650.0,,2023-06-30,,848545.0,,1003775.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VSC,6,HOSE,"Công nghiệp / Hàng & Dịch vụ Công nghiệp / Vận tải / Kho bãi, hậu cần và bảo dưỡng",20.6,35550.0,,2023-06-30,,1395310.0,,635756.6667,14950.0,42.053446,,MAJOR_DIFF,LEGACY_MARKET_MISSING,True,price_compared_after_legacy_x1000_unit_alignment; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VIG,7,HNX,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,,7600.0,,2023-06-30,,717395.0,,666396.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TVS,8,HOSE,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,,23400.0,,2023-06-30,,109880.0,,60266.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VRE,9,HOSE,Tài chính / Bất động sản / Bất động sản / Bất động sản,,26800.0,,2023-06-30,,3600260.0,,3029891.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VGI,10,UPCoM,Viễn thông / Viễn thông / Viễn thông di động / Viễn thông di động,95.8,23400.0,,2023-06-30,,698825.0,,589195.0,72400.0,75.574113,,MAJOR_DIFF,LEGACY_MARKET_MISSING,True,price_compared_after_legacy_x1000_unit_alignment; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
