balanced_rank,raw_rank,ticker,exchange,sector_raw,sector_bucket,firm_type,raw_evidence_priority_score,balanced_evidence_priority_score,liquidity_score,data_completeness_score,finance_sanity_score,source_coverage_score,market_crosscheck_status,finance_crosscheck_status,balance_action,evidence_stage,manual_review_required,reason,stage,eligibility_status,demotion_reason,current_market_rank
1,1,VIX,HOSE,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,Tài chính,securities,77.0,77.0,100.0,100.0,100.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_4_deep_dive_shortlist,True,Balanced evidence workload allocation only. raw_rank=1; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_4_deep_dive_shortlist,,,1
2,2,VND,HOSE,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,Tài chính,securities,75.5233,75.5233,95.0778,100.0,100.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_4_deep_dive_shortlist,True,Balanced evidence workload allocation only. raw_rank=2; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_4_deep_dive_shortlist,,,2
3,3,VSC,HOSE,"Công nghiệp / Hàng & Dịch vụ Công nghiệp / Vận tải / Kho bãi, hậu cần và bảo dưỡng",Công nghiệp,non_financial,67.1866,67.1866,86.872,87.5,90.0,33.3333,MAJOR_DIFF,ONE_SOURCE_ONLY,KEPT,stage_4_deep_dive_shortlist,True,Balanced evidence workload allocation only. raw_rank=3; balance_action=KEPT; market_crosscheck=MAJOR_DIFF; finance_crosscheck=ONE_SOURCE_ONLY.,stage_4_deep_dive_shortlist,,,3
4,4,VGI,UPCoM,Viễn thông / Viễn thông / Viễn thông di động / Viễn thông di động,Viễn thông,non_financial,65.0207,65.0207,79.6525,87.5,90.0,33.3333,MAJOR_DIFF,ONE_SOURCE_ONLY,KEPT,stage_4_deep_dive_shortlist,True,Balanced evidence workload allocation only. raw_rank=4; balance_action=KEPT; market_crosscheck=MAJOR_DIFF; finance_crosscheck=ONE_SOURCE_ONLY.,stage_4_deep_dive_shortlist,,,4
5,5,VCG,HOSE,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,Công nghiệp,non_financial,64.3865,64.3865,87.5382,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_4_deep_dive_shortlist,True,Balanced evidence workload allocation only. raw_rank=5; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_4_deep_dive_shortlist,,,5
6,6,VNM,HOSE,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Thực phẩm,Hàng Tiêu dùng,non_financial,64.0526,64.0526,86.4252,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_4_deep_dive_shortlist,True,Balanced evidence workload allocation only. raw_rank=6; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_4_deep_dive_shortlist,,,6
7,7,TVN,UPCoM,Nguyên vật liệu / Tài nguyên Cơ bản / Kim loại / Thép và sản phẩm thép,Nguyên vật liệu,non_financial,62.377,62.377,80.8401,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_4_deep_dive_shortlist,True,Balanced evidence workload allocation only. raw_rank=7; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_4_deep_dive_shortlist,,,7
8,8,VJC,HOSE,Dịch vụ Tiêu dùng / Du lịch và Giải trí / Du lịch & Giải trí / Hàng không,Dịch vụ Tiêu dùng,non_financial,62.0209,62.0209,79.6531,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_4_deep_dive_shortlist,True,Balanced evidence workload allocation only. raw_rank=8; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_4_deep_dive_shortlist,,,8
9,9,VTZ,HNX,"Nguyên vật liệu / Hóa chất / Hóa chất / Nhựa, cao su & sợi",Nguyên vật liệu,non_financial,61.7962,61.7962,78.904,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_4_deep_dive_shortlist,True,Balanced evidence workload allocation only. raw_rank=9; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_4_deep_dive_shortlist,,,9
10,10,YEG,HOSE,Dịch vụ Tiêu dùng / Truyền thông / Truyền thông / Giải trí & Truyền thông,Dịch vụ Tiêu dùng,non_financial,61.2305,61.2305,77.0182,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_4_deep_dive_shortlist,True,Balanced evidence workload allocation only. raw_rank=10; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_4_deep_dive_shortlist,,,10
11,11,VCI,HOSE,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,Tài chính,securities,73.9998,73.9998,89.9995,100.0,100.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_3_final_watchlist,True,Balanced evidence workload allocation only. raw_rank=11; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_3_final_watchlist,,,11
12,12,VFS,HNX,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,Tài chính,securities,70.6902,70.6902,78.9672,100.0,100.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_3_final_watchlist,True,Balanced evidence workload allocation only. raw_rank=12; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_3_final_watchlist,,,12
13,13,VDS,HOSE,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,Tài chính,securities,69.4851,69.4851,74.9502,100.0,100.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_3_final_watchlist,True,Balanced evidence workload allocation only. raw_rank=13; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_3_final_watchlist,,,13
14,14,VIG,HNX,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,Tài chính,securities,65.8916,65.8916,62.9721,100.0,100.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_3_final_watchlist,True,Balanced evidence workload allocation only. raw_rank=14; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_3_final_watchlist,,,14
15,15,TVS,HOSE,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,Tài chính,securities,65.463,65.463,61.5432,100.0,100.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_3_final_watchlist,True,Balanced evidence workload allocation only. raw_rank=15; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_3_final_watchlist,,,15
16,16,VRE,HOSE,Tài chính / Bất động sản / Bất động sản / Bất động sản,Tài chính,real_estate,65.0584,65.0584,89.7781,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_3_final_watchlist,True,Balanced evidence workload allocation only. raw_rank=16; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_3_final_watchlist,,,16
17,17,VNE,HOSE,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,Công nghiệp,non_financial,61.8502,61.8502,79.0841,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_3_final_watchlist,True,Balanced evidence workload allocation only. raw_rank=17; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_3_final_watchlist,,,17
18,18,VOS,HOSE,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Vận tải / Vận tải Thủy,Công nghiệp,non_financial,61.4635,61.4635,77.7951,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_3_final_watchlist,True,Balanced evidence workload allocation only. raw_rank=18; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_3_final_watchlist,,,18
19,19,VTP,HOSE,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Vận tải / Chuyển phát nhanh,Công nghiệp,non_financial,61.4548,61.4548,77.7659,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,KEPT,stage_3_final_watchlist,True,Balanced evidence workload allocation only. raw_rank=19; balance_action=KEPT; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.,stage_3_final_watchlist,,,19
20,20,TLH,HOSE,Nguyên vật liệu / Tài nguyên Cơ bản / Kim loại / Thép và sản phẩm thép,Nguyên vật liệu,non_financial,61.3652,61.3652,67.4672,87.5,90.0,33.3333,MAJOR_DIFF,ONE_SOURCE_ONLY,KEPT,stage_3_final_watchlist,True,Balanced evidence workload allocation only. raw_rank=20; balance_action=KEPT; market_crosscheck=MAJOR_DIFF; finance_crosscheck=ONE_SOURCE_ONLY.,stage_3_final_watchlist,,,20
21,27,TTF,HOSE,Nguyên vật liệu / Tài nguyên Cơ bản / Lâm nghiệp và Giấy / Lâm sản và Chế biến gỗ,Nguyên vật liệu,non_financial,61.1348,61.1348,76.6992,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,21
22,29,VGC,HOSE,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Vật liệu xây dựng & Nội thất,Công nghiệp,non_financial,61.0463,61.0463,76.4042,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,22
23,30,TNG,HNX,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng cá nhân / Hàng May mặc,Hàng Tiêu dùng,non_financial,61.0272,61.0272,76.3406,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,23
24,31,VHC,HOSE,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,Hàng Tiêu dùng,non_financial,60.5543,60.5543,74.7644,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,24
