ticker,rank,fetch_status,fetch_error,cache_used,raw_rows,created_at
VIX,1,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
VND,2,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
VSC,3,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
VGI,4,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
VCG,5,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
VNM,6,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
TVN,7,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
VJC,8,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
VTZ,9,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
YEG,10,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
VCI,11,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
VFS,12,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
VDS,13,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
VIG,14,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
TVS,15,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
VRE,16,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
VNE,17,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
VOS,18,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
VTP,19,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
TLH,20,FETCH_OK,,False,89,2026-06-11T11:31:29+00:00
