ticker,market_source,fetch_status,fetch_error,last_close,last_price_date,last_volume,avg_volume_20d,avg_volume_60d,trading_days_20d,trading_days_60d,lookback_start,lookback_end,missing_market_flag,stale_price_flag,stale_days,raw_rows,cache_used,created_at
VIX,vnstock_quote_vci_history,FETCH_OK,,16.85,2026-06-11,28072000.0,37589135.0,38012534.3167,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
VND,vnstock_quote_vci_history,FETCH_OK,,17.2,2026-06-11,11655200.0,19177213.55,13594958.6667,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
VSC,vnstock_quote_vci_history,FETCH_OK,,18.45,2026-06-11,2013800.0,3310805.0,4819121.6667,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
VGI,vnstock_quote_vci_history,FETCH_OK,,89.4,2026-06-11,348800.0,811425.0,749600.0,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
VCG,vnstock_quote_vci_history,FETCH_OK,,19.6,2026-06-11,1538900.0,3771185.0,8778986.6667,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
VNM,vnstock_quote_vci_history,FETCH_OK,,59.2,2026-06-11,1804500.0,2920120.0,3562053.3333,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
TVN,vnstock_quote_vci_history,FETCH_OK,,11.6,2026-06-11,1129100.0,1312470.0,792523.3333,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
VJC,vnstock_quote_vci_history,FETCH_OK,,177.5,2026-06-11,817800.0,1103555.0,1256716.6667,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
VTZ,vnstock_quote_vci_history,FETCH_OK,,20.5,2026-06-11,844300.0,1022065.0,1063093.3333,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
YEG,vnstock_quote_vci_history,FETCH_OK,,8.53,2026-06-11,549300.0,652105.35,924037.0,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
VCI,vnstock_quote_vci_history,FETCH_OK,,23.4,2026-06-11,3601800.0,6277985.0,8458236.95,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
VFS,vnstock_quote_vci_history,FETCH_OK,,10.3,2026-06-11,438800.0,1456764.5,1405374.4,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
VDS,vnstock_quote_vci_history,FETCH_OK,,13.85,2026-06-11,416200.0,496080.0,672768.3333,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
VIG,vnstock_quote_vci_history,FETCH_OK,,4.4,2026-06-11,17400.0,46965.0,61148.3333,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
TVS,vnstock_quote_vci_history,FETCH_OK,,12.95,2026-06-11,4300.0,44445.0,66781.6667,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
VRE,vnstock_quote_vci_history,FETCH_OK,,29.15,2026-06-11,1916700.0,5038620.0,6965415.0,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
VNE,vnstock_quote_vci_history,FETCH_OK,,3.01,2026-06-11,382400.0,1593910.0,844325.0,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
VOS,vnstock_quote_vci_history,FETCH_OK,,11.8,2026-06-11,302700.0,655025.0,1005491.6667,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
VTP,vnstock_quote_vci_history,FETCH_OK,,64.0,2026-06-11,219400.0,559980.0,539107.8333,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
TLH,vnstock_quote_vci_history,FETCH_OK,,4.38,2026-06-11,127900.0,157870.0,181486.6667,20,60,2026-02-11,2026-06-11,False,False,0,89,False,2026-06-11T11:31:29+00:00
