ticker,attempt_status,has_snapshot,last_price_date,last_close,avg_volume_20d,avg_volume_60d,trading_days_60d,missing_market_flag,stale_price_flag,gate_eligibility_status,gate_reason_codes,evidence_stage_after_gate,sector,firm_type,pilot_audit_status,pilot_audit_notes
VIX,FETCH_OK,True,2026-06-11,16.85,37589135.0,38012534.3167,60,False,False,STAGE2_ELIGIBLE,,stage_4_deep_dive_shortlist,Tài chính,securities,PASS,
VND,FETCH_OK,True,2026-06-11,17.2,19177213.55,13594958.6667,60,False,False,STAGE2_ELIGIBLE,,stage_4_deep_dive_shortlist,Tài chính,securities,PASS,
VSC,FETCH_OK,True,2026-06-11,18.45,3310805.0,4819121.6667,60,False,False,STAGE2_ELIGIBLE,,stage_4_deep_dive_shortlist,Công nghiệp,non_financial,PASS,
VGI,FETCH_OK,True,2026-06-11,89.4,811425.0,749600.0,60,False,False,STAGE2_ELIGIBLE,,stage_4_deep_dive_shortlist,Viễn thông,non_financial,PASS,
VCG,FETCH_OK,True,2026-06-11,19.6,3771185.0,8778986.6667,60,False,False,STAGE2_ELIGIBLE,,stage_4_deep_dive_shortlist,Công nghiệp,non_financial,PASS,
VNM,FETCH_OK,True,2026-06-11,59.2,2920120.0,3562053.3333,60,False,False,STAGE2_ELIGIBLE,,stage_4_deep_dive_shortlist,Hàng Tiêu dùng,non_financial,PASS,
TVN,FETCH_OK,True,2026-06-11,11.6,1312470.0,792523.3333,60,False,False,STAGE2_ELIGIBLE,,stage_4_deep_dive_shortlist,Nguyên vật liệu,non_financial,PASS,
VJC,FETCH_OK,True,2026-06-11,177.5,1103555.0,1256716.6667,60,False,False,STAGE2_ELIGIBLE,,stage_4_deep_dive_shortlist,Dịch vụ Tiêu dùng,non_financial,PASS,
VTZ,FETCH_OK,True,2026-06-11,20.5,1022065.0,1063093.3333,60,False,False,STAGE2_ELIGIBLE,,stage_4_deep_dive_shortlist,Nguyên vật liệu,non_financial,PASS,
YEG,FETCH_OK,True,2026-06-11,8.53,652105.35,924037.0,60,False,False,STAGE2_ELIGIBLE,,stage_4_deep_dive_shortlist,Dịch vụ Tiêu dùng,non_financial,PASS,
VCI,FETCH_OK,True,2026-06-11,23.4,6277985.0,8458236.95,60,False,False,STAGE2_ELIGIBLE,,stage_3_final_watchlist,Tài chính,securities,PASS,
VFS,FETCH_OK,True,2026-06-11,10.3,1456764.5,1405374.4,60,False,False,STAGE2_ELIGIBLE,,stage_3_final_watchlist,Tài chính,securities,PASS,
VDS,FETCH_OK,True,2026-06-11,13.85,496080.0,672768.3333,60,False,False,STAGE2_ELIGIBLE,,stage_3_final_watchlist,Tài chính,securities,PASS,
VIG,FETCH_OK,True,2026-06-11,4.4,46965.0,61148.3333,60,False,False,STAGE2_ELIGIBLE,,stage_3_final_watchlist,Tài chính,securities,PASS,
TVS,FETCH_OK,True,2026-06-11,12.95,44445.0,66781.6667,60,False,False,STAGE2_ELIGIBLE,,stage_3_final_watchlist,Tài chính,securities,PASS,
VRE,FETCH_OK,True,2026-06-11,29.15,5038620.0,6965415.0,60,False,False,STAGE2_ELIGIBLE,,stage_3_final_watchlist,Tài chính,real_estate,PASS,
VNE,FETCH_OK,True,2026-06-11,3.01,1593910.0,844325.0,60,False,False,STAGE2_ELIGIBLE,,stage_3_final_watchlist,Công nghiệp,non_financial,PASS,
VOS,FETCH_OK,True,2026-06-11,11.8,655025.0,1005491.6667,60,False,False,STAGE2_ELIGIBLE,,stage_3_final_watchlist,Công nghiệp,non_financial,PASS,
VTP,FETCH_OK,True,2026-06-11,64.0,559980.0,539107.8333,60,False,False,STAGE2_ELIGIBLE,,stage_3_final_watchlist,Công nghiệp,non_financial,PASS,
TLH,FETCH_OK,True,2026-06-11,4.38,157870.0,181486.6667,60,False,False,STAGE2_ELIGIBLE,,stage_3_final_watchlist,Nguyên vật liệu,non_financial,PASS,
