ticker,primary_last_price_date,primary_last_close,primary_avg_volume_20d,primary_avg_volume_60d,primary_trading_days_60d,reference_source_name,reference_last_price_date,reference_last_close,reference_avg_volume_20d,reference_avg_volume_60d,price_date_gap_days,price_abs_diff,price_pct_diff,volume_60d_pct_diff,reference_is_current_enough,reference_is_stale,comparison_status,comparison_reason,manual_review_flag
VIX,2026-06-11,16.85,37589135.0,38012534.3167,60,raw_cache_current_market_03,2026-06-11,16.85,37589135.0,38012534.3167,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VIX,2026-06-11,16.85,37589135.0,38012534.3167,60,provisional_crosscheck_02_public_historical,2023-06-30,10800.0,21138920.0,18557321.6667,1077,10783.15,-0.99844,1.048385,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VIX,2026-06-11,16.85,37589135.0,38012534.3167,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VIX,2026-06-11,16.85,37589135.0,38012534.3167,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VND,2026-06-11,17.2,19177213.55,13594958.6667,60,raw_cache_current_market_03,2026-06-11,17.2,19177213.55,13594958.6667,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VND,2026-06-11,17.2,19177213.55,13594958.6667,60,provisional_crosscheck_02_public_historical,2023-06-30,18900.0,34590290.0,27268383.3333,1077,18882.8,-0.99909,-0.501439,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VND,2026-06-11,17.2,19177213.55,13594958.6667,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VND,2026-06-11,17.2,19177213.55,13594958.6667,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VSC,2026-06-11,18.45,3310805.0,4819121.6667,60,raw_cache_current_market_03,2026-06-11,18.45,3310805.0,4819121.6667,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VSC,2026-06-11,18.45,3310805.0,4819121.6667,60,provisional_crosscheck_02_public_historical,2023-06-30,35550.0,1395310.0,635756.6667,1077,35531.55,-0.999481,6.580135,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VSC,2026-06-11,18.45,3310805.0,4819121.6667,60,provisional_crosscheck_02_legacy_market,,20.6,,,,2.15,-0.104369,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VSC,2026-06-11,18.45,3310805.0,4819121.6667,60,legacy_cafef_vnstock_cache,,20.6,,,,2.15,-0.104369,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VGI,2026-06-11,89.4,811425.0,749600.0,60,raw_cache_current_market_03,2026-06-11,89.4,811425.0,749600.0,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VGI,2026-06-11,89.4,811425.0,749600.0,60,provisional_crosscheck_02_public_historical,2023-06-30,23400.0,698825.0,589195.0,1077,23310.6,-0.996179,0.272244,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VGI,2026-06-11,89.4,811425.0,749600.0,60,provisional_crosscheck_02_legacy_market,,95.8,,,,6.4,-0.066806,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VGI,2026-06-11,89.4,811425.0,749600.0,60,legacy_cafef_vnstock_cache,,95.8,,,,6.4,-0.066806,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VCG,2026-06-11,19.6,3771185.0,8778986.6667,60,raw_cache_current_market_03,2026-06-11,19.6,3771185.0,8778986.6667,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VCG,2026-06-11,19.6,3771185.0,8778986.6667,60,provisional_crosscheck_02_public_historical,2023-06-30,20850.0,11205840.0,9264398.3333,1077,20830.4,-0.99906,-0.052395,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VCG,2026-06-11,19.6,3771185.0,8778986.6667,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VCG,2026-06-11,19.6,3771185.0,8778986.6667,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VNM,2026-06-11,59.2,2920120.0,3562053.3333,60,raw_cache_current_market_03,2026-06-11,59.2,2920120.0,3562053.3333,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VNM,2026-06-11,59.2,2920120.0,3562053.3333,60,provisional_crosscheck_02_public_historical,2023-06-30,71000.0,5254155.0,2628806.6667,1077,70940.8,-0.999166,0.355008,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VNM,2026-06-11,59.2,2920120.0,3562053.3333,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VNM,2026-06-11,59.2,2920120.0,3562053.3333,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
TVN,2026-06-11,11.6,1312470.0,792523.3333,60,raw_cache_current_market_03,2026-06-11,11.6,1312470.0,792523.3333,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
TVN,2026-06-11,11.6,1312470.0,792523.3333,60,provisional_crosscheck_02_public_historical,2023-06-30,6200.0,675870.0,463705.0,1077,6188.4,-0.998129,0.709111,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
TVN,2026-06-11,11.6,1312470.0,792523.3333,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
TVN,2026-06-11,11.6,1312470.0,792523.3333,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VJC,2026-06-11,177.5,1103555.0,1256716.6667,60,raw_cache_current_market_03,2026-06-11,177.5,1103555.0,1256716.6667,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VJC,2026-06-11,177.5,1103555.0,1256716.6667,60,provisional_crosscheck_02_public_historical,2023-06-30,94300.0,756090.0,534961.6667,1077,94122.5,-0.998118,1.349171,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VJC,2026-06-11,177.5,1103555.0,1256716.6667,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VJC,2026-06-11,177.5,1103555.0,1256716.6667,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VTZ,2026-06-11,20.5,1022065.0,1063093.3333,60,raw_cache_current_market_03,2026-06-11,20.5,1022065.0,1063093.3333,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
