ticker,raw_rank,original_stage,new_stage,eligibility_status,demotion_reason,exchange,missing_market_flag,stale_price_flag,stale_days,trading_days_60d,avg_volume_60d,finance_quality_status,finance_core_metrics_present,finance_years_any_core_metric,finance_minimum_pass,finance_crosscheck_status,finance_confidence,manual_review_required
VIX,1,stage_4_deep_dive_shortlist,stage_4_deep_dive_shortlist,STAGE2_ELIGIBLE,,HOSE,False,False,0,60,38012534.3167,PARTIAL_PROVISIONAL_DATA,6,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
VND,2,stage_4_deep_dive_shortlist,stage_4_deep_dive_shortlist,STAGE2_ELIGIBLE,,HOSE,False,False,0,60,13594958.6667,PARTIAL_PROVISIONAL_DATA,6,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
VSC,3,stage_4_deep_dive_shortlist,stage_4_deep_dive_shortlist,STAGE2_ELIGIBLE,,HOSE,False,False,0,60,4819121.6667,OK_FOR_PROVISIONAL_SCREEN,5,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
VGI,4,stage_4_deep_dive_shortlist,stage_4_deep_dive_shortlist,STAGE2_ELIGIBLE,,UPCoM,False,False,0,60,749600.0,OK_FOR_PROVISIONAL_SCREEN,5,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
VCG,5,stage_4_deep_dive_shortlist,stage_4_deep_dive_shortlist,STAGE2_ELIGIBLE,,HOSE,False,False,0,60,8778986.6667,PARTIAL_PROVISIONAL_DATA,5,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
VNM,6,stage_4_deep_dive_shortlist,stage_4_deep_dive_shortlist,STAGE2_ELIGIBLE,,HOSE,False,False,0,60,3562053.3333,PARTIAL_PROVISIONAL_DATA,5,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
TVN,7,stage_4_deep_dive_shortlist,stage_4_deep_dive_shortlist,STAGE2_ELIGIBLE,,UPCoM,False,False,0,60,792523.3333,PARTIAL_PROVISIONAL_DATA,5,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
VJC,8,stage_4_deep_dive_shortlist,stage_4_deep_dive_shortlist,STAGE2_ELIGIBLE,,HOSE,False,False,0,60,1256716.6667,PARTIAL_PROVISIONAL_DATA,5,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
VTZ,9,stage_4_deep_dive_shortlist,stage_4_deep_dive_shortlist,STAGE2_ELIGIBLE,,HNX,False,False,0,60,1063093.3333,PARTIAL_PROVISIONAL_DATA,5,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
YEG,10,stage_4_deep_dive_shortlist,stage_4_deep_dive_shortlist,STAGE2_ELIGIBLE,,HOSE,False,False,0,60,924037.0,PARTIAL_PROVISIONAL_DATA,5,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
VCI,11,stage_3_final_watchlist,stage_3_final_watchlist,STAGE2_ELIGIBLE,,HOSE,False,False,0,60,8458236.95,PARTIAL_PROVISIONAL_DATA,6,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
VFS,12,stage_3_final_watchlist,stage_3_final_watchlist,STAGE2_ELIGIBLE,,HNX,False,False,0,60,1405374.4,PARTIAL_PROVISIONAL_DATA,6,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
VDS,13,stage_3_final_watchlist,stage_3_final_watchlist,STAGE2_ELIGIBLE,,HOSE,False,False,0,60,672768.3333,PARTIAL_PROVISIONAL_DATA,6,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
VIG,14,stage_3_final_watchlist,stage_3_final_watchlist,STAGE2_ELIGIBLE,,HNX,False,False,0,60,61148.3333,PARTIAL_PROVISIONAL_DATA,6,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
TVS,15,stage_3_final_watchlist,stage_3_final_watchlist,STAGE2_ELIGIBLE,,HOSE,False,False,0,60,66781.6667,PARTIAL_PROVISIONAL_DATA,6,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
VRE,16,stage_3_final_watchlist,stage_3_final_watchlist,STAGE2_ELIGIBLE,,HOSE,False,False,0,60,6965415.0,PARTIAL_PROVISIONAL_DATA,5,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
VNE,17,stage_3_final_watchlist,stage_3_final_watchlist,STAGE2_ELIGIBLE,,HOSE,False,False,0,60,844325.0,PARTIAL_PROVISIONAL_DATA,5,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
VOS,18,stage_3_final_watchlist,stage_3_final_watchlist,STAGE2_ELIGIBLE,,HOSE,False,False,0,60,1005491.6667,PARTIAL_PROVISIONAL_DATA,5,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
VTP,19,stage_3_final_watchlist,stage_3_final_watchlist,STAGE2_ELIGIBLE,,HOSE,False,False,0,60,539107.8333,PARTIAL_PROVISIONAL_DATA,5,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
TLH,20,stage_3_final_watchlist,stage_3_final_watchlist,STAGE2_ELIGIBLE,,HOSE,False,False,0,60,181486.6667,OK_FOR_PROVISIONAL_SCREEN,5,4,True,ONE_SOURCE_ONLY,PROVISIONAL_LOW,False
