ticker,input_order,input_source
VIX,1,data\reports\provisional_current_market_03c_replay\replay_manifest.json
VND,2,data\reports\provisional_current_market_03c_replay\replay_manifest.json
VSC,3,data\reports\provisional_current_market_03c_replay\replay_manifest.json
VGI,4,data\reports\provisional_current_market_03c_replay\replay_manifest.json
VCG,5,data\reports\provisional_current_market_03c_replay\replay_manifest.json
VNM,6,data\reports\provisional_current_market_03c_replay\replay_manifest.json
TVN,7,data\reports\provisional_current_market_03c_replay\replay_manifest.json
VJC,8,data\reports\provisional_current_market_03c_replay\replay_manifest.json
VTZ,9,data\reports\provisional_current_market_03c_replay\replay_manifest.json
YEG,10,data\reports\provisional_current_market_03c_replay\replay_manifest.json
VCI,11,data\reports\provisional_current_market_03c_replay\replay_manifest.json
VFS,12,data\reports\provisional_current_market_03c_replay\replay_manifest.json
VDS,13,data\reports\provisional_current_market_03c_replay\replay_manifest.json
VIG,14,data\reports\provisional_current_market_03c_replay\replay_manifest.json
TVS,15,data\reports\provisional_current_market_03c_replay\replay_manifest.json
VRE,16,data\reports\provisional_current_market_03c_replay\replay_manifest.json
VNE,17,data\reports\provisional_current_market_03c_replay\replay_manifest.json
VOS,18,data\reports\provisional_current_market_03c_replay\replay_manifest.json
VTP,19,data\reports\provisional_current_market_03c_replay\replay_manifest.json
TLH,20,data\reports\provisional_current_market_03c_replay\replay_manifest.json
