ticker,data_category,required_fields,available_fields,missing_fields,coverage_ratio,confidence_label
VIX,market_price,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,,1.0,PROVISIONAL_PRIMARY
VND,market_price,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,,1.0,PROVISIONAL_PRIMARY
VSC,market_price,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,,1.0,PROVISIONAL_PRIMARY
VGI,market_price,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,,1.0,PROVISIONAL_PRIMARY
VCG,market_price,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,,1.0,PROVISIONAL_PRIMARY
VNM,market_price,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,,1.0,PROVISIONAL_PRIMARY
TVN,market_price,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,,1.0,PROVISIONAL_PRIMARY
VJC,market_price,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,,1.0,PROVISIONAL_PRIMARY
VTZ,market_price,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,,1.0,PROVISIONAL_PRIMARY
YEG,market_price,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,ticker;last_close;last_price_date;avg_volume_20d;avg_volume_60d;trading_days_60d;missing_market_flag;stale_price_flag,,1.0,PROVISIONAL_PRIMARY
