ticker,period,period_type,fiscal_year,revenue,gross_profit,net_income,total_assets,total_liabilities,equity,cfo,capex,source_name,source_layer,finance_data_confidence,finance_quality_status,missing_fields
VIX,2025,year,2025,8279145384688.0,7157519236312.0,5410022178202.0,34167047236850.0,12712284159210.0,21454763077640.0,0.0,-15491070000.0,vnstock_finance_v1,provisional_structured,ONE_SOURCE_ONLY,PARTIAL_PROVISIONAL_DATA,
VND,2025,year,2025,6640220901429.0,4088486965027.0,2022085027284.0,51628903137232.0,30725994598868.0,20902908538364.0,785560400000.0,-45669222931.0,vnstock_finance_v1,provisional_structured,ONE_SOURCE_ONLY,PARTIAL_PROVISIONAL_DATA,
VSC,2025,year,2025,3205511845727.0,1140685339256.0,,12962909058393.0,6576307949975.0,6386601108418.0,0.0,-1071112631909.0,vnstock_finance_v1,provisional_structured,PROVISIONAL_LOW,OK_FOR_PROVISIONAL_SCREEN,net_income
VGI,2025,year,2025,44271363552131.0,22711371968318.0,,81510550856141.0,38672356541926.0,42838194314215.0,0.0,-6435035605389.0,vnstock_finance_v1,provisional_structured,PROVISIONAL_LOW,OK_FOR_PROVISIONAL_SCREEN,net_income
VCG,2025,year,2025,16071172929626.0,2270613775969.0,,31268714831689.0,18786598084997.0,12482116746692.0,0.0,-628933005988.0,vnstock_finance_v1,provisional_structured,PROVISIONAL_LOW,PARTIAL_PROVISIONAL_DATA,net_income
VNM,2025,year,2025,63723520008574.0,26209474194531.0,,53312370717301.0,18829355431194.0,34483015286107.0,0.0,-1762010725342.0,vnstock_finance_v1,provisional_structured,PROVISIONAL_LOW,PARTIAL_PROVISIONAL_DATA,net_income
TVN,2025,year,2025,44766761818674.0,1819638997364.0,,28075672053934.0,17748105083760.0,10327566970174.0,71659045427.0,-81813944821.0,vnstock_finance_v1,provisional_structured,PROVISIONAL_LOW,PARTIAL_PROVISIONAL_DATA,net_income
VJC,2025,year,2025,82092949674406.0,8468904187677.0,,139391011113158.0,114581827820985.0,24809183292173.0,0.0,-31207402078673.0,vnstock_finance_v1,provisional_structured,PROVISIONAL_LOW,PARTIAL_PROVISIONAL_DATA,net_income
VTZ,2025,year,2025,4916549993186.0,212695577547.0,,3270383629794.0,2401699416313.0,868684213481.0,0.0,-81510512618.0,vnstock_finance_v1,provisional_structured,PROVISIONAL_LOW,PARTIAL_PROVISIONAL_DATA,net_income
YEG,2025,year,2025,1639063078002.0,215034708603.0,,2796381272646.0,675630266168.0,2120751006478.0,0.0,-98219383903.0,vnstock_finance_v1,provisional_structured,PROVISIONAL_LOW,PARTIAL_PROVISIONAL_DATA,net_income
VCI,2025,year,2025,4980201525108.0,2589221010350.0,1341954507258.0,36005864835815.0,17995968295866.0,18009896539949.0,6170889959.0,-59608859357.0,vnstock_finance_v1,provisional_structured,ONE_SOURCE_ONLY,PARTIAL_PROVISIONAL_DATA,
VFS,2025,year,2025,509076050477.0,422180829835.0,148950281510.0,4663696866870.0,2930910692589.0,1732786174281.0,0.0,-4247019680.0,vnstock_finance_v1,provisional_structured,ONE_SOURCE_ONLY,PARTIAL_PROVISIONAL_DATA,
VDS,2025,year,2025,1041834370118.0,499813773355.0,283126066290.0,8121452969623.0,5022323459557.0,3099129510066.0,0.0,-10395248615.0,vnstock_finance_v1,provisional_structured,ONE_SOURCE_ONLY,PARTIAL_PROVISIONAL_DATA,
VIG,2025,year,2025,38546905313.0,12190611776.0,261258286.0,365883849241.0,8816082282.0,357067766959.0,0.0,-130572000.0,vnstock_finance_v1,provisional_structured,ONE_SOURCE_ONLY,PARTIAL_PROVISIONAL_DATA,
TVS,2025,year,2025,1007499706143.0,602194893322.0,286413538716.0,7641043978707.0,4701724857637.0,2939319121070.0,0.0,-5536040000.0,vnstock_finance_v1,provisional_structured,ONE_SOURCE_ONLY,PARTIAL_PROVISIONAL_DATA,
VRE,2025,year,2025,8837380000000.0,4732043000000.0,,61279149000000.0,12910946000000.0,48368203000000.0,0.0,-2686260000000.0,vnstock_finance_v1,provisional_structured,PROVISIONAL_LOW,PARTIAL_PROVISIONAL_DATA,net_income
VNE,2025,year,2025,513091188547.0,61855719710.0,,3137634695139.0,2331643967349.0,805990727790.0,0.0,-23918286419.0,vnstock_finance_v1,provisional_structured,PROVISIONAL_LOW,PARTIAL_PROVISIONAL_DATA,net_income
VOS,2025,year,2025,3104348961289.0,191031345100.0,,3907346317234.0,1791602874120.0,2115743443114.0,0.0,-1288230628798.0,vnstock_finance_v1,provisional_structured,PROVISIONAL_LOW,PARTIAL_PROVISIONAL_DATA,net_income
VTP,2025,year,2025,20574073291686.0,1136555301180.0,,7518675499825.0,5750465769030.0,1768209730795.0,0.0,-532913816769.0,vnstock_finance_v1,provisional_structured,PROVISIONAL_LOW,PARTIAL_PROVISIONAL_DATA,net_income
TLH,2025,year,2025,5320362163776.0,180095170331.0,,2848024440425.0,1584243937559.0,1263780502866.0,0.0,-8542612942.0,vnstock_finance_v1,provisional_structured,PROVISIONAL_LOW,OK_FOR_PROVISIONAL_SCREEN,net_income
