ticker,market_data_confidence,finance_data_confidence,metadata_confidence,readiness_status,critical_failures,warnings,missing_fields
VIX,PROVISIONAL_PRIMARY,ONE_SOURCE_ONLY,PROVISIONAL_LOW,READY_FOR_SHADOW,,,
VND,PROVISIONAL_PRIMARY,ONE_SOURCE_ONLY,PROVISIONAL_LOW,READY_FOR_SHADOW,,,
VSC,PROVISIONAL_PRIMARY,PROVISIONAL_LOW,PROVISIONAL_LOW,CONDITIONAL_READY,,FINANCE_FIELD_MISSING,net_income
VGI,PROVISIONAL_PRIMARY,PROVISIONAL_LOW,PROVISIONAL_LOW,CONDITIONAL_READY,,FINANCE_FIELD_MISSING,net_income
VCG,PROVISIONAL_PRIMARY,PROVISIONAL_LOW,PROVISIONAL_LOW,CONDITIONAL_READY,,FINANCE_FIELD_MISSING,net_income
VNM,PROVISIONAL_PRIMARY,PROVISIONAL_LOW,PROVISIONAL_LOW,CONDITIONAL_READY,,FINANCE_FIELD_MISSING,net_income
TVN,PROVISIONAL_PRIMARY,PROVISIONAL_LOW,PROVISIONAL_LOW,CONDITIONAL_READY,,FINANCE_FIELD_MISSING,net_income
VJC,PROVISIONAL_PRIMARY,PROVISIONAL_LOW,PROVISIONAL_LOW,CONDITIONAL_READY,,FINANCE_FIELD_MISSING,net_income
VTZ,PROVISIONAL_PRIMARY,PROVISIONAL_LOW,PROVISIONAL_LOW,CONDITIONAL_READY,,FINANCE_FIELD_MISSING,net_income
YEG,PROVISIONAL_PRIMARY,PROVISIONAL_LOW,PROVISIONAL_LOW,CONDITIONAL_READY,,FINANCE_FIELD_MISSING,net_income
VCI,PROVISIONAL_PRIMARY,ONE_SOURCE_ONLY,PROVISIONAL_LOW,READY_FOR_SHADOW,,,
VFS,PROVISIONAL_PRIMARY,ONE_SOURCE_ONLY,PROVISIONAL_LOW,READY_FOR_SHADOW,,,
VDS,PROVISIONAL_PRIMARY,ONE_SOURCE_ONLY,PROVISIONAL_LOW,READY_FOR_SHADOW,,,
VIG,PROVISIONAL_PRIMARY,ONE_SOURCE_ONLY,PROVISIONAL_LOW,READY_FOR_SHADOW,,,
TVS,PROVISIONAL_PRIMARY,ONE_SOURCE_ONLY,PROVISIONAL_LOW,READY_FOR_SHADOW,,,
VRE,PROVISIONAL_PRIMARY,PROVISIONAL_LOW,PROVISIONAL_LOW,CONDITIONAL_READY,,FINANCE_FIELD_MISSING,net_income
VNE,PROVISIONAL_PRIMARY,PROVISIONAL_LOW,PROVISIONAL_LOW,CONDITIONAL_READY,,FINANCE_FIELD_MISSING,net_income
VOS,PROVISIONAL_PRIMARY,PROVISIONAL_LOW,PROVISIONAL_LOW,CONDITIONAL_READY,,FINANCE_FIELD_MISSING,net_income
VTP,PROVISIONAL_PRIMARY,PROVISIONAL_LOW,PROVISIONAL_LOW,CONDITIONAL_READY,,FINANCE_FIELD_MISSING,net_income
TLH,PROVISIONAL_PRIMARY,PROVISIONAL_LOW,PROVISIONAL_LOW,CONDITIONAL_READY,,FINANCE_FIELD_MISSING,net_income
