ticker,data_category,source_name,source_family,source_status,rows_returned,fields_returned,missing_fields,stale_flag,error_message,confidence_label
VIX,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
VND,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
VSC,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
VGI,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
VCG,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
VNM,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
TVN,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
VJC,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
VTZ,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
YEG,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
VCI,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
VFS,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
VDS,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
VIG,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
TVS,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
VRE,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
VNE,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
VOS,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
VTP,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
TLH,market_price,vnstock_quote_vci_history,vnstock_quote_vci_history,OK,1,8,,False,,PROVISIONAL_PRIMARY
VIX,structured_finance,vnstock_finance_v1,legacy_structured_cache,OK,1,8,,False,,ONE_SOURCE_ONLY
VND,structured_finance,vnstock_finance_v1,legacy_structured_cache,OK,1,8,,False,,ONE_SOURCE_ONLY
VSC,structured_finance,vnstock_finance_v1,legacy_structured_cache,PARTIAL,1,7,net_income,False,missing_or_partial_provisional_finance,PROVISIONAL_LOW
VGI,structured_finance,vnstock_finance_v1,legacy_structured_cache,PARTIAL,1,7,net_income,False,missing_or_partial_provisional_finance,PROVISIONAL_LOW
VCG,structured_finance,vnstock_finance_v1,legacy_structured_cache,PARTIAL,1,7,net_income,False,missing_or_partial_provisional_finance,PROVISIONAL_LOW
VNM,structured_finance,vnstock_finance_v1,legacy_structured_cache,PARTIAL,1,7,net_income,False,missing_or_partial_provisional_finance,PROVISIONAL_LOW
TVN,structured_finance,vnstock_finance_v1,legacy_structured_cache,PARTIAL,1,7,net_income,False,missing_or_partial_provisional_finance,PROVISIONAL_LOW
VJC,structured_finance,vnstock_finance_v1,legacy_structured_cache,PARTIAL,1,7,net_income,False,missing_or_partial_provisional_finance,PROVISIONAL_LOW
VTZ,structured_finance,vnstock_finance_v1,legacy_structured_cache,PARTIAL,1,7,net_income,False,missing_or_partial_provisional_finance,PROVISIONAL_LOW
YEG,structured_finance,vnstock_finance_v1,legacy_structured_cache,PARTIAL,1,7,net_income,False,missing_or_partial_provisional_finance,PROVISIONAL_LOW
VCI,structured_finance,vnstock_finance_v1,legacy_structured_cache,OK,1,8,,False,,ONE_SOURCE_ONLY
VFS,structured_finance,vnstock_finance_v1,legacy_structured_cache,OK,1,8,,False,,ONE_SOURCE_ONLY
VDS,structured_finance,vnstock_finance_v1,legacy_structured_cache,OK,1,8,,False,,ONE_SOURCE_ONLY
VIG,structured_finance,vnstock_finance_v1,legacy_structured_cache,OK,1,8,,False,,ONE_SOURCE_ONLY
TVS,structured_finance,vnstock_finance_v1,legacy_structured_cache,OK,1,8,,False,,ONE_SOURCE_ONLY
VRE,structured_finance,vnstock_finance_v1,legacy_structured_cache,PARTIAL,1,7,net_income,False,missing_or_partial_provisional_finance,PROVISIONAL_LOW
VNE,structured_finance,vnstock_finance_v1,legacy_structured_cache,PARTIAL,1,7,net_income,False,missing_or_partial_provisional_finance,PROVISIONAL_LOW
VOS,structured_finance,vnstock_finance_v1,legacy_structured_cache,PARTIAL,1,7,net_income,False,missing_or_partial_provisional_finance,PROVISIONAL_LOW
VTP,structured_finance,vnstock_finance_v1,legacy_structured_cache,PARTIAL,1,7,net_income,False,missing_or_partial_provisional_finance,PROVISIONAL_LOW
TLH,structured_finance,vnstock_finance_v1,legacy_structured_cache,PARTIAL,1,7,net_income,False,missing_or_partial_provisional_finance,PROVISIONAL_LOW
TLH,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,36,capex;cfo;equity;financial_income;gross_profit;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
TVN,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,36,capex;cfo;equity;financial_income;gross_profit;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
TVS,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,40,capex;cfo;equity;financial_income;gross_profit;net_income;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VCG,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,36,capex;cfo;equity;financial_income;gross_profit;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VCI,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,40,capex;cfo;equity;financial_income;gross_profit;net_income;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VDS,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,40,capex;cfo;equity;financial_income;gross_profit;net_income;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VFS,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,40,capex;cfo;equity;financial_income;gross_profit;net_income;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VGI,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,36,capex;cfo;equity;financial_income;gross_profit;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VIG,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,40,capex;cfo;equity;financial_income;gross_profit;net_income;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VIX,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,40,capex;cfo;equity;financial_income;gross_profit;net_income;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VJC,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,36,capex;cfo;equity;financial_income;gross_profit;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VND,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,40,capex;cfo;equity;financial_income;gross_profit;net_income;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VNE,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,36,capex;cfo;equity;financial_income;gross_profit;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VNM,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,36,capex;cfo;equity;financial_income;gross_profit;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VOS,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,36,capex;cfo;equity;financial_income;gross_profit;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VRE,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,36,capex;cfo;equity;financial_income;gross_profit;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VSC,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,36,capex;cfo;equity;financial_income;gross_profit;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VTP,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,36,capex;cfo;equity;financial_income;gross_profit;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VTZ,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,36,capex;cfo;equity;financial_income;gross_profit;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
YEG,structured_finance_long_rows,vnstock_finance_v1,legacy_structured_cache,OK,36,capex;cfo;equity;financial_income;gross_profit;receivables;revenue;total_assets;total_liabilities,,False,,ONE_SOURCE_ONLY
VIX,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
VND,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
VSC,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
VGI,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
VCG,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
VNM,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
TVN,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
VJC,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
VTZ,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
YEG,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
VCI,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
VFS,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
VDS,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
VIG,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
TVS,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
VRE,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
VNE,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
VOS,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
VTP,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
TLH,company_profile_or_metadata,current_market_balanced_ranking_03c_replay,provisional_ranking_metadata,OK,1,5,,False,,PROVISIONAL_LOW
