ticker,module,issue,severity,status,evidence,confidence,notes
,coverage_report,MISSING_DATA,MEDIUM,MANUAL_REVIEW_REQUIRED,company_profile,low,"required_fields=ticker,company_name,exchange,industry_raw,business_description; missing required values present; low confidence rows present; manual review rows present"
,coverage_report,MANUAL_REVIEW,MEDIUM,MANUAL_REVIEW_REQUIRED,market_price,low,"required_fields=ticker,date,close,volume,trading_value; stale data present; low confidence rows present; manual review rows present"
,coverage_report,EMPTY_DATASET,MEDIUM,MANUAL_REVIEW_REQUIRED,financial_statement_summary,low,"required_fields=ticker,period,revenue,net_profit,equity,total_assets,total_liabilities"
DPP,production_universe_builder,MISSING_MARKET_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
DPP,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
DPP,production_universe_builder,PROFILE_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
SDA,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
SDA,production_universe_builder,PROFILE_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
SDA,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
CLH,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
CLH,production_universe_builder,PROFILE_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
CLH,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
DND,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
DND,production_universe_builder,PROFILE_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
DND,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
DBT,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
DBT,production_universe_builder,PROFILE_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
DBT,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
CCR,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
CCR,production_universe_builder,PROFILE_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
CCR,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
NOS,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
NOS,production_universe_builder,PROFILE_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
NOS,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
DPH,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
DPH,production_universe_builder,PROFILE_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
DPH,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
DSN,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
DSN,production_universe_builder,PROFILE_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
DSN,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
WSS,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
WSS,production_universe_builder,PROFILE_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
WSS,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
STC,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
STC,production_universe_builder,PROFILE_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
STC,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
CFM,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
CFM,production_universe_builder,PROFILE_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
CFM,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
VPG,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
VPG,production_universe_builder,PROFILE_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
VPG,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
DST,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
DST,production_universe_builder,PROFILE_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
DST,production_universe_builder,MARKET_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
DCV,production_universe_builder,MISSING_FINANCIAL_DATA,MEDIUM,MANUAL_REVIEW,,MISSING_DATA,
DCV,production_universe_builder,PROFILE_DATA_QUALITY_REVIEW,LOW,MANUAL_REVIEW,,MISSING_DATA,
