dataset_name,ticker,issue,notes
company_profile,,MISSING_DATA,"required_fields=ticker,company_name,exchange,industry_raw,business_description; missing required values present; low confidence rows present; manual review rows present"
market_price,,MANUAL_REVIEW,"required_fields=ticker,date,close,volume,trading_value; stale data present; low confidence rows present; manual review rows present"
financial_statement_summary,,EMPTY_DATASET,"required_fields=ticker,period,revenue,net_profit,equity,total_assets,total_liabilities"
disclosure_status,,EMPTY_DATASET,"required_fields=ticker,date,event_type,severity"
company_profile,DPP,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,SDA,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,CLH,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,DND,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,DBT,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,CCR,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,NOS,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,DPH,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,DSN,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,WSS,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,STC,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,CFM,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,VPG,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,DST,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,DCV,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,MBN,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,HPG,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,VGC,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,VCS,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
company_profile,HT1,PARTIAL_PROFILE_DATA,industry_raw or business_description unavailable from real source
market_price,DPP,REAL_MARKET_PRICE_UNAVAILABLE,"ImportError: No charting library available. Please install one of:
1. vnstock_chart (recommended): pip install --extra-index-url https://vnstocks.com/api/simple vnstock_chart
2. vnstock_ezchart (fallback): pip install vnstock_ezchart"
market_price,VGC,REAL_MARKET_PRICE_UNAVAILABLE,REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
market_price,VCS,REAL_MARKET_PRICE_UNAVAILABLE,REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
market_price,HT1,REAL_MARKET_PRICE_UNAVAILABLE,REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
financial_statement_summary,DPP,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,income_statement:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; balance_sheet:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; cash_flow:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
financial_statement_summary,SDA,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,income_statement:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; balance_sheet:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; cash_flow:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
financial_statement_summary,CLH,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,income_statement:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; balance_sheet:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; cash_flow:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
financial_statement_summary,DND,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,income_statement:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; balance_sheet:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; cash_flow:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
financial_statement_summary,DBT,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,income_statement:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; balance_sheet:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; cash_flow:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
financial_statement_summary,CCR,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,income_statement:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; balance_sheet:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; cash_flow:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
financial_statement_summary,NOS,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,income_statement:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; balance_sheet:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; cash_flow:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
financial_statement_summary,DPH,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,income_statement:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; balance_sheet:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; cash_flow:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
financial_statement_summary,DSN,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,income_statement:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; balance_sheet:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; cash_flow:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
financial_statement_summary,WSS,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,income_statement:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; balance_sheet:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; cash_flow:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
financial_statement_summary,STC,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,income_statement:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; balance_sheet:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED; cash_flow:REAL_SOURCE_REQUEST_BUDGET_EXHAUSTED
