ticker,universe_status,profile_status,market_price_status,financial_statement_status,disclosure_status,clean_data_status,data_quality_status,l0_trash_status,l0_basic_status,classification_status,archetype_status,driver_status,indicator_status,sector_cycle_status,manual_review_required,warning_flags,notes
DPP,MANUAL_REVIEW,PARTIAL_PROFILE_DATA,REAL_MARKET_PRICE_UNAVAILABLE,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,DISCLOSURE_DATA_UNAVAILABLE,AVAILABLE,MISSING_DATA,INSUFFICIENT_DATA_FOR_L0,INSUFFICIENT_DATA_FOR_BASIC_INVESTABILITY,NOT_CLASSIFIED,UNKNOWN_ARCHETYPE_TEMPLATE,NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION,PARTIAL_INDICATORS_RESOLVED,INSUFFICIENT_DATA_FOR_SECTOR_CYCLE,True,MISSING_MARKET_DATA;MISSING_FINANCIAL_DATA;PROFILE_DATA_QUALITY_REVIEW;UPSTREAM_L0_CAUTION;LOW_DATA_CONFIDENCE;MARKET_CAP_MISSING;UNKNOWN_DISCLOSURE_STATUS;LOW_DATA_COVERAGE;INSUFFICIENT_DATA_FOR_CLASSIFICATION;NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION;UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING;UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING,real/manual dry run through Step 18; no Step 19
SDA,MANUAL_REVIEW,PARTIAL_PROFILE_DATA,PARTIAL_REAL_DATA_INGESTED,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,DISCLOSURE_DATA_UNAVAILABLE,AVAILABLE,MISSING_DATA,L0_REJECT,L0_REJECT,NOT_CLASSIFIED,UNKNOWN_ARCHETYPE_TEMPLATE,NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION,PARTIAL_INDICATORS_RESOLVED,INSUFFICIENT_DATA_FOR_SECTOR_CYCLE,True,MISSING_FINANCIAL_DATA;PROFILE_DATA_QUALITY_REVIEW;MARKET_DATA_QUALITY_REVIEW;MARKET_STALE_DATA;MARKET_LOW_CONFIDENCE;FAILED_L0_BASIC_INVESTABILITY;NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION;UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING;UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING,real/manual dry run through Step 18; no Step 19
CLH,MANUAL_REVIEW,PARTIAL_PROFILE_DATA,PARTIAL_REAL_DATA_INGESTED,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,DISCLOSURE_DATA_UNAVAILABLE,AVAILABLE,MISSING_DATA,L0_REJECT,L0_REJECT,NOT_CLASSIFIED,UNKNOWN_ARCHETYPE_TEMPLATE,NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION,PARTIAL_INDICATORS_RESOLVED,INSUFFICIENT_DATA_FOR_SECTOR_CYCLE,True,MISSING_FINANCIAL_DATA;PROFILE_DATA_QUALITY_REVIEW;MARKET_DATA_QUALITY_REVIEW;MARKET_STALE_DATA;MARKET_LOW_CONFIDENCE;FAILED_L0_BASIC_INVESTABILITY;NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION;UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING;UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING,real/manual dry run through Step 18; no Step 19
DND,MANUAL_REVIEW,PARTIAL_PROFILE_DATA,PARTIAL_REAL_DATA_INGESTED,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,DISCLOSURE_DATA_UNAVAILABLE,AVAILABLE,MISSING_DATA,L0_REJECT,L0_REJECT,NOT_CLASSIFIED,UNKNOWN_ARCHETYPE_TEMPLATE,NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION,PARTIAL_INDICATORS_RESOLVED,INSUFFICIENT_DATA_FOR_SECTOR_CYCLE,True,MISSING_FINANCIAL_DATA;PROFILE_DATA_QUALITY_REVIEW;MARKET_DATA_QUALITY_REVIEW;MARKET_STALE_DATA;MARKET_LOW_CONFIDENCE;FAILED_L0_BASIC_INVESTABILITY;NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION;UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING;UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING,real/manual dry run through Step 18; no Step 19
DBT,MANUAL_REVIEW,PARTIAL_PROFILE_DATA,PARTIAL_REAL_DATA_INGESTED,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,DISCLOSURE_DATA_UNAVAILABLE,AVAILABLE,MISSING_DATA,L0_REJECT,L0_REJECT,NOT_CLASSIFIED,UNKNOWN_ARCHETYPE_TEMPLATE,NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION,PARTIAL_INDICATORS_RESOLVED,INSUFFICIENT_DATA_FOR_SECTOR_CYCLE,True,MISSING_FINANCIAL_DATA;PROFILE_DATA_QUALITY_REVIEW;MARKET_DATA_QUALITY_REVIEW;MARKET_STALE_DATA;MARKET_LOW_CONFIDENCE;FAILED_L0_BASIC_INVESTABILITY;NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION;UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING;UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING,real/manual dry run through Step 18; no Step 19
CCR,MANUAL_REVIEW,PARTIAL_PROFILE_DATA,PARTIAL_REAL_DATA_INGESTED,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,DISCLOSURE_DATA_UNAVAILABLE,AVAILABLE,MISSING_DATA,L0_REJECT,L0_REJECT,NOT_CLASSIFIED,UNKNOWN_ARCHETYPE_TEMPLATE,NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION,PARTIAL_INDICATORS_RESOLVED,INSUFFICIENT_DATA_FOR_SECTOR_CYCLE,True,MISSING_FINANCIAL_DATA;PROFILE_DATA_QUALITY_REVIEW;MARKET_DATA_QUALITY_REVIEW;MARKET_STALE_DATA;MARKET_LOW_CONFIDENCE;FAILED_L0_BASIC_INVESTABILITY;NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION;UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING;UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING,real/manual dry run through Step 18; no Step 19
NOS,MANUAL_REVIEW,PARTIAL_PROFILE_DATA,PARTIAL_REAL_DATA_INGESTED,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,DISCLOSURE_DATA_UNAVAILABLE,AVAILABLE,MISSING_DATA,L0_REJECT,L0_REJECT,NOT_CLASSIFIED,UNKNOWN_ARCHETYPE_TEMPLATE,NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION,PARTIAL_INDICATORS_RESOLVED,INSUFFICIENT_DATA_FOR_SECTOR_CYCLE,True,MISSING_FINANCIAL_DATA;PROFILE_DATA_QUALITY_REVIEW;MARKET_DATA_QUALITY_REVIEW;MARKET_STALE_DATA;MARKET_LOW_CONFIDENCE;FAILED_L0_BASIC_INVESTABILITY;NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION;UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING;UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING,real/manual dry run through Step 18; no Step 19
DPH,MANUAL_REVIEW,PARTIAL_PROFILE_DATA,PARTIAL_REAL_DATA_INGESTED,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,DISCLOSURE_DATA_UNAVAILABLE,AVAILABLE,MISSING_DATA,L0_REJECT,L0_REJECT,NOT_CLASSIFIED,UNKNOWN_ARCHETYPE_TEMPLATE,NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION,PARTIAL_INDICATORS_RESOLVED,INSUFFICIENT_DATA_FOR_SECTOR_CYCLE,True,MISSING_FINANCIAL_DATA;PROFILE_DATA_QUALITY_REVIEW;MARKET_DATA_QUALITY_REVIEW;MARKET_STALE_DATA;MARKET_LOW_CONFIDENCE;FAILED_L0_BASIC_INVESTABILITY;NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION;UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING;UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING,real/manual dry run through Step 18; no Step 19
DSN,MANUAL_REVIEW,PARTIAL_PROFILE_DATA,PARTIAL_REAL_DATA_INGESTED,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,DISCLOSURE_DATA_UNAVAILABLE,AVAILABLE,MISSING_DATA,L0_REJECT,L0_REJECT,NOT_CLASSIFIED,UNKNOWN_ARCHETYPE_TEMPLATE,NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION,PARTIAL_INDICATORS_RESOLVED,INSUFFICIENT_DATA_FOR_SECTOR_CYCLE,True,MISSING_FINANCIAL_DATA;PROFILE_DATA_QUALITY_REVIEW;MARKET_DATA_QUALITY_REVIEW;MARKET_STALE_DATA;MARKET_LOW_CONFIDENCE;FAILED_L0_BASIC_INVESTABILITY;NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION;UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING;UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING,real/manual dry run through Step 18; no Step 19
WSS,MANUAL_REVIEW,PARTIAL_PROFILE_DATA,PARTIAL_REAL_DATA_INGESTED,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,DISCLOSURE_DATA_UNAVAILABLE,AVAILABLE,MISSING_DATA,L0_REJECT,L0_REJECT,NOT_CLASSIFIED,UNKNOWN_ARCHETYPE_TEMPLATE,NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION,PARTIAL_INDICATORS_RESOLVED,INSUFFICIENT_DATA_FOR_SECTOR_CYCLE,True,MISSING_FINANCIAL_DATA;PROFILE_DATA_QUALITY_REVIEW;MARKET_DATA_QUALITY_REVIEW;MARKET_STALE_DATA;MARKET_LOW_CONFIDENCE;FAILED_L0_BASIC_INVESTABILITY;NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION;UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING;UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING,real/manual dry run through Step 18; no Step 19
STC,MANUAL_REVIEW,PARTIAL_PROFILE_DATA,PARTIAL_REAL_DATA_INGESTED,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,DISCLOSURE_DATA_UNAVAILABLE,AVAILABLE,MISSING_DATA,L0_REJECT,L0_REJECT,NOT_CLASSIFIED,UNKNOWN_ARCHETYPE_TEMPLATE,NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION,PARTIAL_INDICATORS_RESOLVED,INSUFFICIENT_DATA_FOR_SECTOR_CYCLE,True,MISSING_FINANCIAL_DATA;PROFILE_DATA_QUALITY_REVIEW;MARKET_DATA_QUALITY_REVIEW;MARKET_STALE_DATA;MARKET_LOW_CONFIDENCE;FAILED_L0_BASIC_INVESTABILITY;NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION;UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING;UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING,real/manual dry run through Step 18; no Step 19
CFM,MANUAL_REVIEW,PARTIAL_PROFILE_DATA,PARTIAL_REAL_DATA_INGESTED,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,DISCLOSURE_DATA_UNAVAILABLE,AVAILABLE,MISSING_DATA,L0_REJECT,L0_REJECT,NOT_CLASSIFIED,UNKNOWN_ARCHETYPE_TEMPLATE,NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION,PARTIAL_INDICATORS_RESOLVED,INSUFFICIENT_DATA_FOR_SECTOR_CYCLE,True,MISSING_FINANCIAL_DATA;PROFILE_DATA_QUALITY_REVIEW;MARKET_DATA_QUALITY_REVIEW;MARKET_STALE_DATA;MARKET_LOW_CONFIDENCE;FAILED_L0_BASIC_INVESTABILITY;NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION;UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING;UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING,real/manual dry run through Step 18; no Step 19
VPG,MANUAL_REVIEW,PARTIAL_PROFILE_DATA,PARTIAL_REAL_DATA_INGESTED,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,DISCLOSURE_DATA_UNAVAILABLE,AVAILABLE,MISSING_DATA,L0_REJECT,L0_REJECT,NOT_CLASSIFIED,UNKNOWN_ARCHETYPE_TEMPLATE,NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION,PARTIAL_INDICATORS_RESOLVED,INSUFFICIENT_DATA_FOR_SECTOR_CYCLE,True,MISSING_FINANCIAL_DATA;PROFILE_DATA_QUALITY_REVIEW;MARKET_DATA_QUALITY_REVIEW;MARKET_STALE_DATA;MARKET_LOW_CONFIDENCE;FAILED_L0_BASIC_INVESTABILITY;NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION;UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING;UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING,real/manual dry run through Step 18; no Step 19
DST,MANUAL_REVIEW,PARTIAL_PROFILE_DATA,PARTIAL_REAL_DATA_INGESTED,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,DISCLOSURE_DATA_UNAVAILABLE,AVAILABLE,MISSING_DATA,L0_REJECT,L0_REJECT,NOT_CLASSIFIED,UNKNOWN_ARCHETYPE_TEMPLATE,NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION,PARTIAL_INDICATORS_RESOLVED,INSUFFICIENT_DATA_FOR_SECTOR_CYCLE,True,MISSING_FINANCIAL_DATA;PROFILE_DATA_QUALITY_REVIEW;MARKET_DATA_QUALITY_REVIEW;MARKET_STALE_DATA;MARKET_LOW_CONFIDENCE;FAILED_L0_BASIC_INVESTABILITY;NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION;UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING;UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING,real/manual dry run through Step 18; no Step 19
DCV,MANUAL_REVIEW,PARTIAL_PROFILE_DATA,PARTIAL_REAL_DATA_INGESTED,REAL_FINANCIAL_STATEMENT_UNAVAILABLE,DISCLOSURE_DATA_UNAVAILABLE,AVAILABLE,MISSING_DATA,L0_REJECT,L0_REJECT,NOT_CLASSIFIED,UNKNOWN_ARCHETYPE_TEMPLATE,NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION,PARTIAL_INDICATORS_RESOLVED,INSUFFICIENT_DATA_FOR_SECTOR_CYCLE,True,MISSING_FINANCIAL_DATA;PROFILE_DATA_QUALITY_REVIEW;MARKET_DATA_QUALITY_REVIEW;MARKET_STALE_DATA;MARKET_LOW_CONFIDENCE;FAILED_L0_BASIC_INVESTABILITY;NOT_ELIGIBLE_FOR_DRIVER_RESOLUTION;UNKNOWN_ARCHETYPE_FOR_INDICATOR_MAPPING;UNKNOWN_MICRO_SECTOR_FOR_INDICATOR_MAPPING,real/manual dry run through Step 18; no Step 19
