ticker,status,row_count,source_attempted,source_succeeded,source_empty_response,source_failed,manual_import_available,treated_as_clean,warning_flags,notes
VCB,DISCLOSURE_DATA_UNAVAILABLE,0,True,False,False,True,True,False,DISCLOSURE_DATA_UNAVAILABLE|DISCLOSURE_REQUEST_SKIPPED_DUE_TO_BUDGET,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
BID,DISCLOSURE_DATA_UNAVAILABLE,0,True,False,False,True,True,False,DISCLOSURE_DATA_UNAVAILABLE|DISCLOSURE_REQUEST_SKIPPED_DUE_TO_BUDGET,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
CTG,DISCLOSURE_DATA_UNAVAILABLE,0,True,False,False,True,True,False,DISCLOSURE_DATA_UNAVAILABLE|DISCLOSURE_REQUEST_SKIPPED_DUE_TO_BUDGET,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
MBB,DISCLOSURE_DATA_UNAVAILABLE,0,True,False,False,True,True,False,DISCLOSURE_DATA_UNAVAILABLE|DISCLOSURE_REQUEST_SKIPPED_DUE_TO_BUDGET,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
ACB,DISCLOSURE_DATA_UNAVAILABLE,0,True,False,False,True,True,False,DISCLOSURE_DATA_UNAVAILABLE|DISCLOSURE_REQUEST_SKIPPED_DUE_TO_BUDGET,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
HPG,DISCLOSURE_DATA_UNAVAILABLE,0,True,False,False,True,True,False,DISCLOSURE_DATA_UNAVAILABLE|DISCLOSURE_REQUEST_SKIPPED_DUE_TO_BUDGET,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
HSG,DISCLOSURE_DATA_UNAVAILABLE,0,True,False,False,True,True,False,DISCLOSURE_DATA_UNAVAILABLE|DISCLOSURE_REQUEST_SKIPPED_DUE_TO_BUDGET,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
VHM,DISCLOSURE_DATA_UNAVAILABLE,0,True,False,False,True,True,False,DISCLOSURE_DATA_UNAVAILABLE|DISCLOSURE_REQUEST_SKIPPED_DUE_TO_BUDGET,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
KDH,DISCLOSURE_DATA_UNAVAILABLE,0,True,False,False,True,True,False,DISCLOSURE_DATA_UNAVAILABLE|DISCLOSURE_REQUEST_SKIPPED_DUE_TO_BUDGET,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
NLG,DISCLOSURE_DATA_UNAVAILABLE,0,True,False,False,True,True,False,DISCLOSURE_DATA_UNAVAILABLE|DISCLOSURE_REQUEST_SKIPPED_DUE_TO_BUDGET,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
