ticker,dataset_name,status,reason,notes
VCB,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:revenue|FINANCIAL_FIELD_UNMAPPED:operating_profit|FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_FIELD_UNMAPPED:cash|FINANCIAL_FIELD_UNMAPPED:short_term_debt|FINANCIAL_FIELD_UNMAPPED:long_term_debt|FINANCIAL_FIELD_UNMAPPED:operating_cash_flow|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
BID,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:revenue|FINANCIAL_FIELD_UNMAPPED:operating_profit|FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_FIELD_UNMAPPED:cash|FINANCIAL_FIELD_UNMAPPED:short_term_debt|FINANCIAL_FIELD_UNMAPPED:long_term_debt|FINANCIAL_FIELD_UNMAPPED:operating_cash_flow|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
CTG,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:revenue|FINANCIAL_FIELD_UNMAPPED:operating_profit|FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_FIELD_UNMAPPED:cash|FINANCIAL_FIELD_UNMAPPED:short_term_debt|FINANCIAL_FIELD_UNMAPPED:long_term_debt|FINANCIAL_FIELD_UNMAPPED:operating_cash_flow|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
MBB,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:revenue|FINANCIAL_FIELD_UNMAPPED:operating_profit|FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_FIELD_UNMAPPED:cash|FINANCIAL_FIELD_UNMAPPED:short_term_debt|FINANCIAL_FIELD_UNMAPPED:long_term_debt|FINANCIAL_FIELD_UNMAPPED:operating_cash_flow|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
ACB,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:revenue|FINANCIAL_FIELD_UNMAPPED:operating_profit|FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_FIELD_UNMAPPED:cash|FINANCIAL_FIELD_UNMAPPED:short_term_debt|FINANCIAL_FIELD_UNMAPPED:long_term_debt|FINANCIAL_FIELD_UNMAPPED:operating_cash_flow|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
HPG,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
HSG,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
VHM,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
KDH,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
NLG,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
