dataset_name,ticker,issue,notes
market_price,,MANUAL_REVIEW,"required_fields=ticker,date,close,volume,trading_value; stale data present; low confidence rows present; manual review rows present"
financial_statement_summary,,MISSING_DATA,"required_fields=ticker,period,revenue,net_profit,equity,total_assets,total_liabilities; missing required values present; low confidence rows present; manual review rows present"
disclosure_status,,EMPTY_DATASET,"required_fields=ticker,date,event_type,severity"
financial_statement_summary,VCB,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:revenue|FINANCIAL_FIELD_UNMAPPED:operating_profit|FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_FIELD_UNMAPPED:cash|FINANCIAL_FIELD_UNMAPPED:short_term_debt|FINANCIAL_FIELD_UNMAPPED:long_term_debt|FINANCIAL_FIELD_UNMAPPED:operating_cash_flow|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; not_applicable_fields=gross_profit,inventory"
financial_statement_summary,BID,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:revenue|FINANCIAL_FIELD_UNMAPPED:operating_profit|FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_FIELD_UNMAPPED:cash|FINANCIAL_FIELD_UNMAPPED:short_term_debt|FINANCIAL_FIELD_UNMAPPED:long_term_debt|FINANCIAL_FIELD_UNMAPPED:operating_cash_flow|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; not_applicable_fields=gross_profit,inventory"
financial_statement_summary,CTG,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:revenue|FINANCIAL_FIELD_UNMAPPED:operating_profit|FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_FIELD_UNMAPPED:cash|FINANCIAL_FIELD_UNMAPPED:short_term_debt|FINANCIAL_FIELD_UNMAPPED:long_term_debt|FINANCIAL_FIELD_UNMAPPED:operating_cash_flow|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; not_applicable_fields=gross_profit,inventory"
financial_statement_summary,MBB,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:revenue|FINANCIAL_FIELD_UNMAPPED:operating_profit|FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_FIELD_UNMAPPED:cash|FINANCIAL_FIELD_UNMAPPED:short_term_debt|FINANCIAL_FIELD_UNMAPPED:long_term_debt|FINANCIAL_FIELD_UNMAPPED:operating_cash_flow|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; not_applicable_fields=gross_profit,inventory"
financial_statement_summary,ACB,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:revenue|FINANCIAL_FIELD_UNMAPPED:operating_profit|FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_FIELD_UNMAPPED:cash|FINANCIAL_FIELD_UNMAPPED:short_term_debt|FINANCIAL_FIELD_UNMAPPED:long_term_debt|FINANCIAL_FIELD_UNMAPPED:operating_cash_flow|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; not_applicable_fields=gross_profit,inventory"
financial_statement_summary,HPG,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory"
financial_statement_summary,HSG,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory"
