ticker,shadow_status,input_market_status,input_finance_status,readiness_status_from_real_data_02,market_source_confidence,finance_source_confidence,independent_current_source_family_count,missing_required_fields,warning_count,critical_issue_count,shadow_engine_ran,production_step19_allowed,investment_recommendation_allowed,valuation_allowed,notes
VIX,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,PRIMARY_OK,ONE_SOURCE_ONLY,READY_FOR_SHADOW,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,0,,2,0,True,False,False,False,Diagnostic plumbing only; market primary-only; finance provisional low.
VND,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,PRIMARY_OK,ONE_SOURCE_ONLY,READY_FOR_SHADOW,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,0,,2,0,True,False,False,False,Diagnostic plumbing only; market primary-only; finance provisional low.
VSC,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,PRIMARY_OK,PROVISIONAL_LOW,CONDITIONAL_READY,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,0,net_income,4,0,True,False,False,False,Diagnostic plumbing only; market primary-only; finance provisional low.
VGI,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,PRIMARY_OK,PROVISIONAL_LOW,CONDITIONAL_READY,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,0,net_income,4,0,True,False,False,False,Diagnostic plumbing only; market primary-only; finance provisional low.
VCG,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,PRIMARY_OK,PROVISIONAL_LOW,CONDITIONAL_READY,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,0,net_income,4,0,True,False,False,False,Diagnostic plumbing only; market primary-only; finance provisional low.
VNM,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,PRIMARY_OK,PROVISIONAL_LOW,CONDITIONAL_READY,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,0,net_income,4,0,True,False,False,False,Diagnostic plumbing only; market primary-only; finance provisional low.
TVN,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,PRIMARY_OK,PROVISIONAL_LOW,CONDITIONAL_READY,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,0,net_income,4,0,True,False,False,False,Diagnostic plumbing only; market primary-only; finance provisional low.
VJC,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,PRIMARY_OK,PROVISIONAL_LOW,CONDITIONAL_READY,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,0,net_income,4,0,True,False,False,False,Diagnostic plumbing only; market primary-only; finance provisional low.
VTZ,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,PRIMARY_OK,PROVISIONAL_LOW,CONDITIONAL_READY,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,0,net_income,4,0,True,False,False,False,Diagnostic plumbing only; market primary-only; finance provisional low.
YEG,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,PRIMARY_OK,PROVISIONAL_LOW,CONDITIONAL_READY,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,0,net_income,4,0,True,False,False,False,Diagnostic plumbing only; market primary-only; finance provisional low.
VCI,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,PRIMARY_OK,ONE_SOURCE_ONLY,READY_FOR_SHADOW,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,0,,2,0,True,False,False,False,Diagnostic plumbing only; market primary-only; finance provisional low.
