ticker,primary_micro_sector,archetype,peer_group_id,peer_group_size,valuation_context,valuation_relative_to_peer,valuation_confidence,step20_status
VIX,Tài chính::securities,securities,tài_chính_securities__securities,7,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT,STEP20_INSUFFICIENT_DATA
VND,Tài chính::securities,securities,tài_chính_securities__securities,7,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT,STEP20_INSUFFICIENT_DATA
VSC,Công nghiệp::non_financial,non_financial,công_nghiệp_non_financial__non_financial,5,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT,STEP20_INSUFFICIENT_DATA
VGI,Viễn thông::non_financial,non_financial,viễn_thông_non_financial__non_financial,1,VALUATION_CONTEXT_MANUAL_REVIEW,PEER_GROUP_TOO_SMALL,MANUAL_REVIEW,STEP20_MANUAL_REVIEW_REQUIRED
VCG,Công nghiệp::non_financial,non_financial,công_nghiệp_non_financial__non_financial,5,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT,STEP20_INSUFFICIENT_DATA
VNM,Hàng Tiêu dùng::non_financial,non_financial,hàng_tiêu_dùng_non_financial__non_financial,1,VALUATION_CONTEXT_MANUAL_REVIEW,PEER_GROUP_TOO_SMALL,MANUAL_REVIEW,STEP20_MANUAL_REVIEW_REQUIRED
TVN,Nguyên vật liệu::non_financial,non_financial,nguyên_vật_liệu_non_financial__non_financial,3,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT,STEP20_INSUFFICIENT_DATA
VJC,Dịch vụ Tiêu dùng::non_financial,non_financial,dịch_vụ_tiêu_dùng_non_financial__non_financial,2,VALUATION_CONTEXT_MANUAL_REVIEW,PEER_GROUP_TOO_SMALL,MANUAL_REVIEW,STEP20_MANUAL_REVIEW_REQUIRED
VTZ,Nguyên vật liệu::non_financial,non_financial,nguyên_vật_liệu_non_financial__non_financial,3,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT,STEP20_INSUFFICIENT_DATA
YEG,Dịch vụ Tiêu dùng::non_financial,non_financial,dịch_vụ_tiêu_dùng_non_financial__non_financial,2,VALUATION_CONTEXT_MANUAL_REVIEW,PEER_GROUP_TOO_SMALL,MANUAL_REVIEW,STEP20_MANUAL_REVIEW_REQUIRED
VCI,Tài chính::securities,securities,tài_chính_securities__securities,7,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT,STEP20_INSUFFICIENT_DATA
VFS,Tài chính::securities,securities,tài_chính_securities__securities,7,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT,STEP20_INSUFFICIENT_DATA
VDS,Tài chính::securities,securities,tài_chính_securities__securities,7,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT,STEP20_INSUFFICIENT_DATA
VIG,Tài chính::securities,securities,tài_chính_securities__securities,7,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT,STEP20_INSUFFICIENT_DATA
TVS,Tài chính::securities,securities,tài_chính_securities__securities,7,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT,STEP20_INSUFFICIENT_DATA
VRE,Tài chính::real_estate,real_estate,tài_chính_real_estate__real_estate,1,VALUATION_CONTEXT_MANUAL_REVIEW,PEER_GROUP_TOO_SMALL,MANUAL_REVIEW,STEP20_MANUAL_REVIEW_REQUIRED
VNE,Công nghiệp::non_financial,non_financial,công_nghiệp_non_financial__non_financial,5,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT,STEP20_INSUFFICIENT_DATA
VOS,Công nghiệp::non_financial,non_financial,công_nghiệp_non_financial__non_financial,5,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT,STEP20_INSUFFICIENT_DATA
VTP,Công nghiệp::non_financial,non_financial,công_nghiệp_non_financial__non_financial,5,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT,STEP20_INSUFFICIENT_DATA
TLH,Nguyên vật liệu::non_financial,non_financial,nguyên_vật_liệu_non_financial__non_financial,3,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT,STEP20_INSUFFICIENT_DATA
