ticker,liquidity_risk_bucket,liquidity_warning_flags,liquidity_confidence,liquidity_manual_review_required
VIX,LIQUIDITY_RISK_LOW,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",MEDIUM,False
VND,LIQUIDITY_RISK_LOW,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",MEDIUM,False
VSC,LIQUIDITY_RISK_MODERATE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False
VGI,LIQUIDITY_RISK_MODERATE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False
VCG,LIQUIDITY_RISK_MODERATE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False
VNM,LIQUIDITY_RISK_LOW,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",MEDIUM,False
TVN,LIQUIDITY_RISK_MODERATE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False
VJC,LIQUIDITY_RISK_LOW,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",MEDIUM,False
VTZ,LIQUIDITY_RISK_MODERATE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False
YEG,LIQUIDITY_RISK_MODERATE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False
VCI,LIQUIDITY_RISK_LOW,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",MEDIUM,False
VFS,LIQUIDITY_RISK_MODERATE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False
VDS,LIQUIDITY_RISK_MODERATE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False
VIG,LIQUIDITY_RISK_MODERATE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False
TVS,LIQUIDITY_RISK_MODERATE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False
VRE,LIQUIDITY_RISK_LOW,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",MEDIUM,False
VNE,LIQUIDITY_RISK_MODERATE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False
VOS,LIQUIDITY_RISK_MODERATE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False
VTP,LIQUIDITY_RISK_MODERATE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False
TLH,LIQUIDITY_RISK_MODERATE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False
