ticker,timing_risk_bucket,technical_warning_flags,timing_confidence,timing_manual_review_required
VIX,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
VND,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
VSC,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
VGI,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
VCG,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
VNM,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
TVN,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
VJC,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
VTZ,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
YEG,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
VCI,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
VFS,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
VDS,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
VIG,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
TVS,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
VRE,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
VNE,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
VOS,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
VTP,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
TLH,TIMING_RISK_MODERATE,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False
