ticker,company_name,survival_status,peer_rank,step20_status,valuation_context,confidence_score,manual_review_required,watchlist_status
VIX,Công ty Cổ phần Chứng khoán VIX,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_INSUFFICIENT_DATA,VALUATION_CONTEXT_INSUFFICIENT_DATA,45,True,WATCH_ONLY
VND,Công ty Cổ phần Chứng khoán VNDIRECT,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_INSUFFICIENT_DATA,VALUATION_CONTEXT_INSUFFICIENT_DATA,45,True,WATCH_ONLY
VSC,Công ty Cổ phần Container Việt Nam,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_INSUFFICIENT_DATA,VALUATION_CONTEXT_INSUFFICIENT_DATA,37,True,MANUAL_REVIEW
VGI,Tổng Công ty Cổ phần Đầu tư Quốc tế Viettel,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_MANUAL_REVIEW_REQUIRED,VALUATION_CONTEXT_MANUAL_REVIEW,42,True,MANUAL_REVIEW
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_INSUFFICIENT_DATA,VALUATION_CONTEXT_INSUFFICIENT_DATA,37,True,MANUAL_REVIEW
VNM,Công ty Cổ phần Sữa Việt Nam,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_MANUAL_REVIEW_REQUIRED,VALUATION_CONTEXT_MANUAL_REVIEW,47,True,WATCH_ONLY
TVN,Tổng Công ty Thép Việt Nam - Công ty Cổ phần,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_INSUFFICIENT_DATA,VALUATION_CONTEXT_INSUFFICIENT_DATA,37,True,MANUAL_REVIEW
VJC,Công ty Cổ phần Hàng không Vietjet,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_MANUAL_REVIEW_REQUIRED,VALUATION_CONTEXT_MANUAL_REVIEW,47,True,WATCH_ONLY
VTZ,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_INSUFFICIENT_DATA,VALUATION_CONTEXT_INSUFFICIENT_DATA,37,True,MANUAL_REVIEW
YEG,Công ty Cổ phần Tập đoàn Yeah1,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_MANUAL_REVIEW_REQUIRED,VALUATION_CONTEXT_MANUAL_REVIEW,42,True,MANUAL_REVIEW
VCI,Công ty Cổ phần Chứng khoán Vietcap,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_INSUFFICIENT_DATA,VALUATION_CONTEXT_INSUFFICIENT_DATA,45,True,WATCH_ONLY
VFS,Công ty Cổ phần Chứng khoán Nhất Việt,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_INSUFFICIENT_DATA,VALUATION_CONTEXT_INSUFFICIENT_DATA,40,True,MANUAL_REVIEW
VDS,Công ty Cổ phần Chứng khoán Rồng Việt,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_INSUFFICIENT_DATA,VALUATION_CONTEXT_INSUFFICIENT_DATA,40,True,MANUAL_REVIEW
VIG,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_INSUFFICIENT_DATA,VALUATION_CONTEXT_INSUFFICIENT_DATA,40,True,MANUAL_REVIEW
TVS,Công ty Cổ phần Chứng khoán Thiên Việt,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_INSUFFICIENT_DATA,VALUATION_CONTEXT_INSUFFICIENT_DATA,40,True,MANUAL_REVIEW
VRE,Công ty Cổ phần Vincom Retail,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_MANUAL_REVIEW_REQUIRED,VALUATION_CONTEXT_MANUAL_REVIEW,47,True,WATCH_ONLY
VNE,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_INSUFFICIENT_DATA,VALUATION_CONTEXT_INSUFFICIENT_DATA,37,True,MANUAL_REVIEW
VOS,Công ty Cổ phần Vận tải Biển Việt Nam,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_INSUFFICIENT_DATA,VALUATION_CONTEXT_INSUFFICIENT_DATA,37,True,MANUAL_REVIEW
VTP,Tổng Công ty Cổ phần Bưu chính Viettel,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_INSUFFICIENT_DATA,VALUATION_CONTEXT_INSUFFICIENT_DATA,37,True,MANUAL_REVIEW
TLH,Công ty Cổ phần Tập đoàn Thép Tiến Lên,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,UNKNOWN,STEP20_INSUFFICIENT_DATA,VALUATION_CONTEXT_INSUFFICIENT_DATA,37,True,MANUAL_REVIEW
