warning_flag,affected_ticker_count,affected_tickers
CROSSCHECK_NOT_AVAILABLE,20,"[""TLH"", ""TVN"", ""TVS"", ""VCG"", ""VCI"", ""VDS"", ""VFS"", ""VGI"", ""VIG"", ""VIX"", ""VJC"", ""VND"", ""VNE"", ""VNM"", ""VOS"", ""VRE"", ""VSC"", ""VTP"", ""VTZ"", ""YEG""]"
FINANCE_DATA_LOW_CONFIDENCE,20,"[""TLH"", ""TVN"", ""TVS"", ""VCG"", ""VCI"", ""VDS"", ""VFS"", ""VGI"", ""VIG"", ""VIX"", ""VJC"", ""VND"", ""VNE"", ""VNM"", ""VOS"", ""VRE"", ""VSC"", ""VTP"", ""VTZ"", ""YEG""]"
MISSING_REQUIRED_FINANCE_FIELD,13,"[""TLH"", ""TVN"", ""VCG"", ""VGI"", ""VJC"", ""VNE"", ""VNM"", ""VOS"", ""VRE"", ""VSC"", ""VTP"", ""VTZ"", ""YEG""]"
NO_INDEPENDENT_MARKET_CROSSCHECK,20,"[""TLH"", ""TVN"", ""TVS"", ""VCG"", ""VCI"", ""VDS"", ""VFS"", ""VGI"", ""VIG"", ""VIX"", ""VJC"", ""VND"", ""VNE"", ""VNM"", ""VOS"", ""VRE"", ""VSC"", ""VTP"", ""VTZ"", ""YEG""]"
NO_RICH_HISTORICAL_TECHNICAL_SERIES,20,"[""TLH"", ""TVN"", ""TVS"", ""VCG"", ""VCI"", ""VDS"", ""VFS"", ""VGI"", ""VIG"", ""VIX"", ""VJC"", ""VND"", ""VNE"", ""VNM"", ""VOS"", ""VRE"", ""VSC"", ""VTP"", ""VTZ"", ""YEG""]"
OFFICIAL_BCTC_NOT_VERIFIED,20,"[""TLH"", ""TVN"", ""TVS"", ""VCG"", ""VCI"", ""VDS"", ""VFS"", ""VGI"", ""VIG"", ""VIX"", ""VJC"", ""VND"", ""VNE"", ""VNM"", ""VOS"", ""VRE"", ""VSC"", ""VTP"", ""VTZ"", ""YEG""]"
OFFICIAL_BCTC_REVIEW_REQUIRED,20,"[""TLH"", ""TVN"", ""TVS"", ""VCG"", ""VCI"", ""VDS"", ""VFS"", ""VGI"", ""VIG"", ""VIX"", ""VJC"", ""VND"", ""VNE"", ""VNM"", ""VOS"", ""VRE"", ""VSC"", ""VTP"", ""VTZ"", ""YEG""]"
PEER_GROUP_TOO_SMALL,5,"[""VGI"", ""VJC"", ""VNM"", ""VRE"", ""YEG""]"
PRIMARY_ONLY_LIQUIDITY_DATA,20,"[""TLH"", ""TVN"", ""TVS"", ""VCG"", ""VCI"", ""VDS"", ""VFS"", ""VGI"", ""VIG"", ""VIX"", ""VJC"", ""VND"", ""VNE"", ""VNM"", ""VOS"", ""VRE"", ""VSC"", ""VTP"", ""VTZ"", ""YEG""]"
PRIMARY_ONLY_MARKET_DATA,20,"[""TLH"", ""TVN"", ""TVS"", ""VCG"", ""VCI"", ""VDS"", ""VFS"", ""VGI"", ""VIG"", ""VIX"", ""VJC"", ""VND"", ""VNE"", ""VNM"", ""VOS"", ""VRE"", ""VSC"", ""VTP"", ""VTZ"", ""YEG""]"
PROVISIONAL_SOURCE_CONFIDENCE,20,"[""TLH"", ""TVN"", ""TVS"", ""VCG"", ""VCI"", ""VDS"", ""VFS"", ""VGI"", ""VIG"", ""VIX"", ""VJC"", ""VND"", ""VNE"", ""VNM"", ""VOS"", ""VRE"", ""VSC"", ""VTP"", ""VTZ"", ""YEG""]"
SURVIVAL_WEAK_OR_UNKNOWN,20,"[""TLH"", ""TVN"", ""TVS"", ""VCG"", ""VCI"", ""VDS"", ""VFS"", ""VGI"", ""VIG"", ""VIX"", ""VJC"", ""VND"", ""VNE"", ""VNM"", ""VOS"", ""VRE"", ""VSC"", ""VTP"", ""VTZ"", ""YEG""]"
UNRESOLVED_FIELDS_PRESENT,13,"[""TLH"", ""TVN"", ""VCG"", ""VGI"", ""VJC"", ""VNE"", ""VNM"", ""VOS"", ""VRE"", ""VSC"", ""VTP"", ""VTZ"", ""YEG""]"
VALUATION_CONTEXT_INSUFFICIENT,20,"[""TLH"", ""TVN"", ""TVS"", ""VCG"", ""VCI"", ""VDS"", ""VFS"", ""VGI"", ""VIG"", ""VIX"", ""VJC"", ""VND"", ""VNE"", ""VNM"", ""VOS"", ""VRE"", ""VSC"", ""VTP"", ""VTZ"", ""YEG""]"
