ticker,crosscheck_status,source_conflict_status,source_conflicts,resolution_status
VIX,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
VND,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
VSC,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
VGI,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
VCG,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
VNM,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
TVN,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
VJC,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
VTZ,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
YEG,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
VCI,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
VFS,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
VDS,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
VIG,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
TVS,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
VRE,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
VNE,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
VOS,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
VTP,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
TLH,NOT_AVAILABLE,CROSSCHECK_NOT_AVAILABLE,[],MANUAL_REVIEW_REQUIRED
