ticker,current_confidence_score,previous_confidence_score,score_change,drift_status,confidence
TLH,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
TVN,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
TVS,40,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VCG,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VCI,45,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VDS,40,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VFS,40,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VGI,42,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VIG,40,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VIX,45,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VJC,47,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VND,45,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VNE,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VNM,47,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VOS,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VRE,47,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VSC,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VTP,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VTZ,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
YEG,42,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
