ticker,score_name,previous_value,current_value,change,drift_flag,confidence
TLH,confidence_score,INSUFFICIENT_HISTORY,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
TVN,confidence_score,INSUFFICIENT_HISTORY,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
TVS,confidence_score,INSUFFICIENT_HISTORY,40,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VCG,confidence_score,INSUFFICIENT_HISTORY,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VCI,confidence_score,INSUFFICIENT_HISTORY,45,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VDS,confidence_score,INSUFFICIENT_HISTORY,40,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VFS,confidence_score,INSUFFICIENT_HISTORY,40,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VGI,confidence_score,INSUFFICIENT_HISTORY,42,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VIG,confidence_score,INSUFFICIENT_HISTORY,40,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VIX,confidence_score,INSUFFICIENT_HISTORY,45,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VJC,confidence_score,INSUFFICIENT_HISTORY,47,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VND,confidence_score,INSUFFICIENT_HISTORY,45,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VNE,confidence_score,INSUFFICIENT_HISTORY,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VNM,confidence_score,INSUFFICIENT_HISTORY,47,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VOS,confidence_score,INSUFFICIENT_HISTORY,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VRE,confidence_score,INSUFFICIENT_HISTORY,47,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VSC,confidence_score,INSUFFICIENT_HISTORY,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VTP,confidence_score,INSUFFICIENT_HISTORY,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VTZ,confidence_score,INSUFFICIENT_HISTORY,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
YEG,confidence_score,INSUFFICIENT_HISTORY,42,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
