ticker,previous_status,current_status,change_type,previous_confidence_score,current_confidence_score,confidence_score_change,manual_review_change,confidence
TLH,INSUFFICIENT_HISTORY,MANUAL_REVIEW,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
TVN,INSUFFICIENT_HISTORY,MANUAL_REVIEW,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
TVS,INSUFFICIENT_HISTORY,MANUAL_REVIEW,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,40,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VCG,INSUFFICIENT_HISTORY,MANUAL_REVIEW,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VCI,INSUFFICIENT_HISTORY,WATCH_ONLY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,45,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VDS,INSUFFICIENT_HISTORY,MANUAL_REVIEW,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,40,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VFS,INSUFFICIENT_HISTORY,MANUAL_REVIEW,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,40,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VGI,INSUFFICIENT_HISTORY,MANUAL_REVIEW,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,42,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VIG,INSUFFICIENT_HISTORY,MANUAL_REVIEW,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,40,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VIX,INSUFFICIENT_HISTORY,WATCH_ONLY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,45,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VJC,INSUFFICIENT_HISTORY,WATCH_ONLY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,47,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VND,INSUFFICIENT_HISTORY,WATCH_ONLY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,45,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VNE,INSUFFICIENT_HISTORY,MANUAL_REVIEW,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VNM,INSUFFICIENT_HISTORY,WATCH_ONLY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,47,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VOS,INSUFFICIENT_HISTORY,MANUAL_REVIEW,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VRE,INSUFFICIENT_HISTORY,WATCH_ONLY,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,47,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VSC,INSUFFICIENT_HISTORY,MANUAL_REVIEW,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VTP,INSUFFICIENT_HISTORY,MANUAL_REVIEW,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
VTZ,INSUFFICIENT_HISTORY,MANUAL_REVIEW,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,37,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
YEG,INSUFFICIENT_HISTORY,MANUAL_REVIEW,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,42,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,LOW
