batch_id,batch_start_index,batch_end_index,ticker_count,success_count,failed_count,skipped_count,warning_count,cache_used,created_at
batch_0001,0,99,100,100,0,0,100,False,2026-06-12T11:53:56+00:00
batch_0002,100,199,100,100,0,0,100,False,2026-06-12T11:53:56+00:00
batch_0003,200,299,100,100,0,0,100,False,2026-06-12T11:53:56+00:00
batch_0004,300,399,100,100,0,0,100,False,2026-06-12T11:53:56+00:00
batch_0005,400,499,100,100,0,0,100,False,2026-06-12T11:53:56+00:00
batch_0006,500,599,100,100,0,0,100,False,2026-06-12T11:53:56+00:00
batch_0007,600,699,100,100,0,0,100,False,2026-06-12T11:53:57+00:00
batch_0008,700,799,100,100,0,0,100,False,2026-06-12T11:53:57+00:00
batch_0009,800,899,100,100,0,0,100,False,2026-06-12T11:53:57+00:00
batch_0010,900,999,100,100,0,0,100,False,2026-06-12T11:53:57+00:00
batch_0011,1000,1099,100,100,0,0,100,False,2026-06-12T11:53:57+00:00
batch_0012,1100,1199,100,100,0,0,100,False,2026-06-12T11:53:57+00:00
batch_0013,1200,1299,100,100,0,0,100,False,2026-06-12T11:53:57+00:00
batch_0014,1300,1399,100,100,0,0,100,False,2026-06-12T11:53:57+00:00
batch_0015,1400,1499,100,100,0,0,99,False,2026-06-12T11:53:58+00:00
batch_0016,1500,1599,100,100,0,0,98,False,2026-06-12T11:53:58+00:00
batch_0017,1600,1699,100,100,0,0,92,False,2026-06-12T11:53:58+00:00
batch_0018,1700,1742,43,43,0,0,38,False,2026-06-12T11:53:58+00:00
