ticker,company_name,screening_status,market_data_available,recent_price_available,liquidity_data_available,finance_data_available,sector_classification_available,cycle_context_available,valuation_context_available,timing_liquidity_context_available,missing_field_count,block_reason_count,source_conflict_count,data_coverage_score,coverage_status
A32,Công ty Cổ phần 32,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
AAA,Công ty Cổ phần Nhựa An Phát Xanh,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
AAH,Công ty Cổ phần Hợp Nhất,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,False,False,False,False,False,False,11,1,0,0,DATA_GAP
AAM,Công ty Cổ Phần Thủy Sản MeKong,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,9,1,0,12,DATA_GAP
AAN,Công ty Cổ phần Lương thực A An,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,False,False,False,False,False,False,11,1,0,0,DATA_GAP
AAS,Công ty Cổ phần Chứng khoán SmartInvest,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
AAT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
AAV,Công ty Cổ phần AAV Group,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
ABB,Ngân hàng Thương mại Cổ phần An Bình,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
ABC,Công ty Cổ phần Truyền thông VMG,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
ABR,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
ABW,Công ty Cổ phần Chứng khoán An Bình,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,False,False,False,False,False,False,11,1,0,0,DATA_GAP
AC4,Công ty Cổ phần ACC - 244,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,False,True,False,False,False,False,11,1,0,0,DATA_GAP
ACB,Ngân hàng Thương mại Cổ phần Á Châu,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
ACE,Công ty Cổ phần Bê tông ly tâm An Giang,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
ACG,Công ty Cổ phần Gỗ An Cường,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
ACM,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,BLOCKED_INSUFFICIENT_MARKET_DATA,False,False,True,True,False,False,False,False,10,1,0,10,DATA_GAP
