ticker,company_name,screening_status,review_status,review_priority,coverage_rank,manual_review_priority,data_coverage_score,missing_field_count,recent_trading_value,manual_bctc_required,market_source_confidence,finance_source_confidence,crosscheck_status,verification_status,reason_to_review
AAH,Công ty Cổ phần Hợp Nhất,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_FIRST,1097,1097,1097,0,11,,False,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Primary market data missing or incomplete.
AAN,Công ty Cổ phần Lương thực A An,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_FIRST,1098,1098,1098,0,11,,False,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Primary market data missing or incomplete.
ABW,Công ty Cổ phần Chứng khoán An Bình,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_FIRST,1099,1099,1099,0,11,,False,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Primary market data missing or incomplete.
AC4,Công ty Cổ phần ACC - 244,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_FIRST,1100,1100,1100,0,11,,False,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Primary market data missing or incomplete.
AFC,Công ty Cổ phần Nông Lâm Nghiệp Bình Dương,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_FIRST,1101,1101,1101,0,11,,False,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Primary market data missing or incomplete.
AGC,Công ty Cổ phần Cà phê An Giang,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_FIRST,1102,1102,1102,0,11,,False,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Primary market data missing or incomplete.
AGD,Công ty Cổ phần Gò Đàng,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_FIRST,1103,1103,1103,0,11,,False,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Primary market data missing or incomplete.
AGE,Công ty Cổ phần Môi trường Đô thị An Giang,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_FIRST,1104,1104,1104,0,11,,False,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Primary market data missing or incomplete.
AIG,Công ty Cổ phần Nguyên liệu Á Châu AIG,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_FIRST,1105,1105,1105,0,11,,False,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Primary market data missing or incomplete.
ALC,Công ty Cổ phần Âu Lạc,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_FIRST,1106,1106,1106,0,11,,False,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Primary market data missing or incomplete.
ALP,Công ty Cổ phần Đầu tư Alphanam,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_FIRST,1107,1107,1107,0,11,,False,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Primary market data missing or incomplete.
AMD,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_FIRST,1108,1108,1108,0,11,,False,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Primary market data missing or incomplete.
ANC11601,Trái Phiếu Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_FIRST,1109,1109,1109,0,11,,False,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Primary market data missing or incomplete.
APL,Công ty Cổ phần Cơ khí và Thiết bị áp lực - VVMI,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_FIRST,1110,1110,1110,0,11,,False,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Primary market data missing or incomplete.
APT,Công ty Cổ phần Kinh doanh thủy hải sản Sài Gòn,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_FIRST,1111,1111,1111,0,11,,False,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Primary market data missing or incomplete.
AQN,Công ty cổ phần 28 Quảng Ngãi,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_FIRST,1112,1112,1112,0,11,,False,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Primary market data missing or incomplete.
