field_name,present_in_normalized_schema,present_in_step25_source,blank_or_missing_count,status
ticker,True,True,0,AVAILABLE
company_name,True,True,22,AVAILABLE
screening_status,True,True,0,AVAILABLE
watchlist_status,True,False,0,SOURCE_FIELD_MISSING
manual_review_required,True,True,0,AVAILABLE
manual_bctc_required,True,True,0,AVAILABLE
market_source_confidence,True,True,0,AVAILABLE
finance_source_confidence,True,True,0,AVAILABLE
crosscheck_status,True,True,0,AVAILABLE
verification_status,True,True,0,AVAILABLE
missing_fields,True,True,0,AVAILABLE
block_reasons,True,True,0,AVAILABLE
reason_to_review,True,True,0,AVAILABLE
last_price_date,True,True,1727,AVAILABLE
last_close,True,True,1682,AVAILABLE
avg_volume_20d,True,True,728,AVAILABLE
avg_volume_60d,True,True,1727,AVAILABLE
last_volume,True,True,728,AVAILABLE
recent_trading_value,True,True,1682,AVAILABLE
stale_days,True,True,1727,AVAILABLE
market_fetch_status,True,True,1727,AVAILABLE
finance_quality_status,True,True,0,AVAILABLE
finance_source_layer,True,True,0,AVAILABLE
micro_sector,True,False,1743,SOURCE_FIELD_MISSING
sector,True,False,1743,SOURCE_FIELD_MISSING
archetype,True,False,1743,SOURCE_FIELD_MISSING
cycle_status,True,False,1743,SOURCE_FIELD_MISSING
survival_status,True,False,1743,SOURCE_FIELD_MISSING
valuation_context,True,False,1743,SOURCE_FIELD_MISSING
timing_liquidity_status,True,False,1743,SOURCE_FIELD_MISSING
confidence_score,True,False,1743,SOURCE_FIELD_MISSING
source_conflicts,True,False,1743,SOURCE_FIELD_MISSING
