ticker,company_name,screening_status,review_status,review_priority,coverage_rank,manual_review_priority,data_coverage_score,missing_field_count,recent_trading_value,manual_bctc_required,market_source_confidence,finance_source_confidence,crosscheck_status,verification_status,reason_to_review
VIX,Công ty Cổ phần Chứng khoán VIX,WATCHLIST_CANDIDATE,FIRST_REVIEW_SHORTLIST,1,1,1,75,0,633376924.75,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Survived primary-only scale filters; manual BCTC/source verification remains required.
VND,Công ty Cổ phần Chứng khoán VNDIRECT,WATCHLIST_CANDIDATE,FIRST_REVIEW_SHORTLIST,2,2,2,75,0,329848073.06,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Survived primary-only scale filters; manual BCTC/source verification remains required.
VCI,Công ty Cổ phần Chứng khoán Vietcap,WATCHLIST_CANDIDATE,FIRST_REVIEW_SHORTLIST,3,3,3,75,0,146904849.0,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Survived primary-only scale filters; manual BCTC/source verification remains required.
VFS,Công ty Cổ phần Chứng khoán Nhất Việt,WATCHLIST_CANDIDATE,FIRST_REVIEW_SHORTLIST,4,4,4,75,0,15004674.35,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Survived primary-only scale filters; manual BCTC/source verification remains required.
VDS,Công ty Cổ phần Chứng khoán Rồng Việt,WATCHLIST_CANDIDATE,FIRST_REVIEW_SHORTLIST,5,5,5,75,0,6870708.0,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Survived primary-only scale filters; manual BCTC/source verification remains required.
TVS,Công ty Cổ phần Chứng khoán Thiên Việt,WATCHLIST_CANDIDATE,FIRST_REVIEW_SHORTLIST,6,6,6,75,0,575562.75,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Survived primary-only scale filters; manual BCTC/source verification remains required.
VIG,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,WATCHLIST_CANDIDATE,FIRST_REVIEW_SHORTLIST,7,7,7,75,0,206646.0,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Survived primary-only scale filters; manual BCTC/source verification remains required.
VJC,Công ty Cổ phần Hàng không Vietjet,WATCHLIST_CANDIDATE,FIRST_REVIEW_SHORTLIST,8,8,8,73,1,195881012.5,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Survived primary-only scale filters; manual BCTC/source verification remains required.
VNM,Công ty Cổ phần Sữa Việt Nam,WATCHLIST_CANDIDATE,FIRST_REVIEW_SHORTLIST,9,9,9,73,1,172871104.0,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Survived primary-only scale filters; manual BCTC/source verification remains required.
VRE,Công ty Cổ phần Vincom Retail,WATCHLIST_CANDIDATE,FIRST_REVIEW_SHORTLIST,10,10,10,73,1,146875773.0,True,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,Survived primary-only scale filters; manual BCTC/source verification remains required.
