ticker,sample_group,provider,source,raw_columns,raw_row_count,first_date,last_date,sample_close_value_present_boolean,sample_volume_value_present_boolean
A32,BLOCKED_SAMPLE,vnstock,VCI,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume""]",87,2025-10-06,2026-06-12,True,True
AAA,BLOCKED_SAMPLE,vnstock,VCI,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume""]",87,2026-02-02,2026-06-12,True,True
AAH,BLOCKED_SAMPLE,vnstock,VCI,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume""]",87,2026-02-02,2026-06-12,True,True
AAM,BLOCKED_SAMPLE,vnstock,VCI,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume""]",87,2026-01-28,2026-06-11,True,True
AAN,BLOCKED_SAMPLE,vnstock,VCI,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume""]",16,2026-05-22,2026-06-12,True,True
AAS,BLOCKED_SAMPLE,vnstock,VCI,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume""]",87,2026-02-02,2026-06-12,True,True
AAT,BLOCKED_SAMPLE,vnstock,VCI,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume""]",87,2026-02-02,2026-06-12,True,True
AAV,BLOCKED_SAMPLE,vnstock,VCI,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume""]",87,2026-01-22,2026-06-12,True,True
ABB,BLOCKED_SAMPLE,vnstock,VCI,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume""]",87,2026-02-02,2026-06-12,True,True
ABC,BLOCKED_SAMPLE,vnstock,VCI,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume""]",87,2026-02-02,2026-06-12,True,True
ABI,BLOCKED_SAMPLE,vnstock,VCI,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume""]",87,2026-02-02,2026-06-12,True,True
ABR,BLOCKED_SAMPLE,vnstock,VCI,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume""]",87,2026-01-15,2026-06-11,True,True
ABS,BLOCKED_SAMPLE,vnstock,VCI,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume""]",87,2026-02-02,2026-06-12,True,True
ABT,BLOCKED_SAMPLE,vnstock,VCI,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume""]",87,2026-02-02,2026-06-12,True,True
ABW,BLOCKED_SAMPLE,vnstock,VCI,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume""]",87,2026-02-02,2026-06-12,True,True
AC4,BLOCKED_SAMPLE,vnstock,VCI,[],0,,,False,False
