ticker,step27_in_repair_queue,step28_fetch_ok,step28_fetch_error_type,last_price_date,last_close
A32,True,True,OK,2026-06-12,30.0
AAA,True,True,OK,2026-06-12,7.26
AAH,True,True,OK,2026-06-12,2.9
AAM,True,True,OK,2026-06-11,6.8
AAN,True,True,OK,2026-06-12,22.35
AAS,True,True,OK,2026-06-12,8.3
AAT,True,True,OK,2026-06-12,2.82
AAV,True,True,OK,2026-06-12,6.9
ABB,True,True,OK,2026-06-12,16.7
ABC,True,True,OK,2026-06-12,10.2
ABI,True,True,OK,2026-06-12,19.3
ABR,True,True,OK,2026-06-11,12.4
ABS,True,True,OK,2026-06-12,2.93
ABT,True,True,OK,2026-06-12,55.3
ABW,True,True,OK,2026-06-12,11.3
ACB,True,True,OK,2026-06-12,26.5
ACC,True,True,OK,2026-06-12,12.6
